time,open,high,low,close
2012.01.02,1.32031,1.32033,1.31628,1.31697
2012.01.02,1.317,1.32032,1.317,1.31845
2012.01.02,1.31843,1.31973,1.31797,1.31973
2012.01.02,1.31974,1.31979,1.31639,1.31712
2012.01.02,1.31712,1.3189,1.31654,1.31708
2012.01.02,1.31715,1.32008,1.31595,1.31662
2012.01.02,1.31679,1.31929,1.31592,1.31822
2012.01.02,1.3189,1.31895,1.31612,1.31766
2012.01.02,1.31762,1.31928,1.3173,1.31834
2012.01.02,1.31857,1.31963,1.31776,1.31857
2012.01.02,1.31857,1.32141,1.31821,1.31977
2012.01.02,1.31976,1.32155,1.31816,1.3192
2012.01.02,1.31918,1.32065,1.31886,1.32032
2012.01.02,1.32035,1.32124,1.31883,1.3198
2012.01.02,1.31971,1.31994,1.31723,1.3181
2012.01.02,1.31813,1.3197,1.31767,1.31934
2012.01.02,1.31936,1.32005,1.31694,1.31814
2012.01.02,1.31812,1.3193,1.31765,1.31862
2012.01.02,1.31835,1.31894,1.31572,1.31673
2012.01.02,1.31673,1.31965,1.31673,1.31875
2012.01.02,1.31863,1.31863,1.31801,1.31845
2012.01.02,1.31847,1.3185,1.31673,1.31726
2012.01.02,1.31726,1.31778,1.3164,1.31721
2012.01.02,1.31718,1.3182,1.31662,1.31725
2012.01.03,1.31724,1.31815,1.31541,1.31541
2012.01.03,1.31542,1.31624,1.31432,1.31527
2012.01.03,1.31528,1.3175,1.31525,1.31728
2012.01.03,1.31727,1.31848,1.317,1.31827
2012.01.03,1.31825,1.31846,1.31754,1.31761
2012.01.03,1.3176,1.31769,1.31637,1.31678
2012.01.03,1.31679,1.31765,1.31451,1.31484
2012.01.03,1.31476,1.31594,1.3146,1.31536
2012.01.03,1.3154,1.3177,1.31517,1.31573
2012.01.03,1.31574,1.31646,1.31477,1.31575
2012.01.03,1.3158,1.31936,1.31574,1.31863
2012.01.03,1.31864,1.32065,1.31722,1.31815
2012.01.03,1.31809,1.31826,1.31507,1.31599
2012.01.03,1.316,1.31858,1.31549,1.31695
2012.01.03,1.31698,1.31838,1.31608,1.31806
2012.01.03,1.31807,1.31852,1.31573,1.31622
2012.01.03,1.31623,1.31696,1.31501,1.31682
2012.01.03,1.31681,1.31926,1.31643,1.31748
2012.01.03,1.31749,1.3181,1.31594,1.31769
2012.01.03,1.31766,1.32138,1.31743,1.32097
2012.01.03,1.32098,1.32103,1.31781,1.31824
2012.01.03,1.31823,1.31907,1.31803,1.31895
2012.01.03,1.31898,1.31927,1.31811,1.31822
2012.01.03,1.31821,1.31949,1.31791,1.31925
2012.01.04,1.3192,1.31983,1.31881,1.31962
2012.01.04,1.31963,1.32028,1.31947,1.32008
2012.01.04,1.32009,1.32095,1.31996,1.32066
2012.01.04,1.32065,1.32071,1.31939,1.31967
2012.01.04,1.31968,1.3201,1.31922,1.31974
2012.01.04,1.31973,1.32014,1.3191,1.3192
2012.01.04,1.31919,1.31969,1.31894,1.3193
2012.01.04,1.31929,1.32002,1.31893,1.31975
