time,open,high,low,close
2020.09.23,3322.2,3326.7,3318.4,3319.2
2020.09.23,3319.2,3322.2,3314.4,3316.7
2020.09.23,3316.7,3322.4,3307.7,3308.7
2020.09.23,3308.7,3312.8,3295.7,3301.2
2020.09.23,3300.9,3306.9,3284.2,3285.2
2020.09.23,3285,3296.7,3281.2,3296.5
2020.09.23,3296.4,3297,3276.1,3279.6
2020.09.23,3279.6,3279.6,3243.9,3245.6
2020.09.23,3245.9,3249.6,3230.9,3236.1
2020.09.24,3243.3,3244,3235.8,3237.3
2020.09.24,3237.3,3240.2,3219.8,3226.4
2020.09.24,3226.3,3244,3223.3,3243.8
2020.09.24,3243.8,3248.8,3234.8,3236.3
2020.09.24,3236,3247,3235.3,3240.3
2020.09.24,3240.3,3242.3,3236,3239
2020.09.24,3239,3243,3221.5,3222.8
2020.09.24,3222.8,3235,3219.8,3235
2020.09.24,3234.8,3238.8,3220.8,3222.5
2020.09.24,3222.5,3242.3,3222.3,3239.8
2020.09.24,3239.8,3241.8,3228.3,3233.8
2020.09.24,3233.9,3237.5,3227.3,3235.3
2020.09.24,3235.2,3245.8,3234.8,3242.5
2020.09.24,3242.4,3243.5,3228,3229.5
2020.09.24,3229.8,3232.3,3211.3,3216.5
2020.09.24,3216.5,3237.8,3207.8,3231.5
2020.09.24,3231.7,3255.8,3222.3,3241.5
2020.09.24,3241.3,3255,3228.5,3254.8
2020.09.24,3255,3262.5,3245,3260.5
2020.09.24,3260.8,3277.8,3259.8,3267.8
2020.09.24,3267.8,3270.3,3238.3,3239.3
2020.09.24,3239.5,3252.5,3228.5,3244.8
2020.09.25,3257,3260.5,3255.5,3256.5
2020.09.25,3256.5,3264.8,3255.8,3263
2020.09.25,3263,3266.3,3257.5,3263.5
2020.09.25,3263.5,3268.3,3262.8,3263.3
2020.09.25,3263.3,3266.5,3260.8,3262
2020.09.25,3262,3267,3259.3,3261.7
2020.09.25,3261.8,3266.8,3260.3,3266
2020.09.25,3265.9,3267.5,3257.3,3258.3
2020.09.25,3258.3,3259.8,3251.9,3258.8
2020.09.25,3258.8,3259,3245,3247
2020.09.25,3247,3250.8,3242.3,3249.8
2020.09.25,3250,3252.8,3235,3240.8
2020.09.25,3240.5,3242.5,3220.3,3222
2020.09.25,3222,3237.5,3216.3,3236.5
2020.09.25,3236.3,3241.3,3232,3240
2020.09.25,3240,3246.5,3231.3,3244
2020.09.25,3244,3262.5,3226,3257.2
2020.09.25,3257.3,3268,3251.8,3252.8
2020.09.25,3253,3267.8,3252.8,3267
2020.09.25,3266.8,3281,3264,3279.3
2020.09.25,3279.3,3291.3,3278.5,3290.8
2020.09.25,3290.8,3305.8,3289.9,3297.5
2020.09.28,3306.2,3307.9,3304.7,3306.7
2020.09.28,3306.9,3307.4,3303.9,3304.9
2020.09.28,3304.9,3307.2,3301.7,3302.4
2020.09.28,3302.4,3310.7,3301.7,3310.2
2020.09.28,3310.2,3310.9,3306.7,3307.2
2020.09.28,3306.9,3310.7,3305.7,3309.4
2020.09.28,3309.4,3311.4,3308.7,3310.9
2020.09.28,3310.9,3320.4,3310.9,3320.2
2020.09.28,3320.4,3323.9,3318.2,3318.2
2020.09.28,3318.2,3325.7,3315.4,3322.7
2020.09.28,3322.7,3328.9,3318.4,3322.4
2020.09.28,3322.4,3328.9,3321.9,3327.7
2020.09.28,3327.7,3342.9,3326.4,3339.9
2020.09.28,3339.9,3341.9,3336.2,3341.4
2020.09.28,3341.4,3346.4,3340.2,3343.7
2020.09.28,3343.7,3348.4,3331.4,3337.2
2020.09.28,3337.7,3355.9,3333.4,3341.4
2020.09.28,3341.2,3352.7,3340.2,3347.2
2020.09.28,3347.2,3352.4,3341.7,3352.3
2020.09.28,3352.4,3358.4,3348.4,3356.7
2020.09.28,3357.2,3359.7,3352.4,3357.9
2020.09.28,3357.7,3358.2,3345.9,3351.9
2020.09.29,3360.2,3362.8,3359.8,3360.8
2020.09.29,3360.5,3365.3,3360.5,3364.5
2020.09.29,3364.5,3367.5,3362,3366.3
2020.09.29,3366.3,3367.8,3362,3364
2020.09.29,3364,3366.8,3362.8,3363.5
2020.09.29,3363.5,3364.5,3361.3,3364
2020.09.29,3364,3370.8,3363.8,3370.8
2020.09.29,3370.8,3372,3362,3367
2020.09.29,3367,3367.5,3356.3,3357.8
2020.09.29,3357.8,3358.8,3344.2,3349
2020.09.29,3349.3,3353,3341.3,3350.8
2020.09.29,3350.5,3353.8,3345.3,3352.8
2020.09.29,3352,3356.8,3351,3352.9
2020.09.29,3353,3357.8,3349.3,3350
2020.09.29,3350,3353.8,3346.3,3352.5
2020.09.29,3352.5,3354.3,3344.5,3348.5
2020.09.29,3348.8,3356.8,3336.3,3339.3
2020.09.29,3339.5,3343,3327.8,3331.5
2020.09.29,3331.3,3337,3326.8,3336.5
2020.09.29,3336.5,3344.5,3326,3342.3
2020.09.29,3342.5,3348.3,3339,3343
2020.09.29,3343.3,3347.3,3334,3334
2020.09.30,3340.7,3345.7,3338.7,3343.7
2020.09.30,3343.7,3346.9,3343.4,3345.2
2020.09.30,3345.2,3349.4,3342.7,3343.8
2020.09.30,3343.7,3355.2,3343.2,3354.9
2020.09.30,3354.9,3366.9,3337.4,3341.4
2020.09.30,3341.7,3342.3,3322.9,3323.2
2020.09.30,3322.9,3325.9,3312.7,3322.2
2020.09.30,3322.2,3326.2,3306.4,3306.4
2020.09.30,3306,3315.4,3300.4,3315.2
2020.09.30,3315.2,3328.4,3312.4,3314.4
2020.09.30,3314.4,3320.3,3313.2,3317.8
2020.09.30,3317.7,3318.4,3305.4,3316.7
2020.09.30,3316.8,3334.9,3309.2,3326.9
2020.09.30,3327.2,3330.7,3321.7,3322.9
2020.09.30,3322.8,3341.9,3319.9,3338.2
2020.09.30,3338.2,3361.9,3337.6,3360.4
2020.09.30,3360.7,3376.2,3359.9,3368.6
2020.09.30,3368.7,3380.9,3366.7,3378.2
2020.09.30,3378.4,3385.7,3377.9,3380.7
2020.09.30,3380.9,3385.2,3371.9,3384.9
2020.09.30,3385.1,3392.9,3351.9,3368.9
2020.09.30,3368.9,3373.2,3338.4,3357.7
2020.10.01,3363.4,3366.4,3359.4,3366.1
2020.10.01,3366.1,3370.5,3365.1,3370.1
2020.10.01,3370.4,3372.1,3364.4,3364.9
2020.10.01,3364.9,3380.6,3364.4,3378.9
2020.10.01,3378.9,3381.4,3376.4,3379.4
2020.10.01,3379.4,3380.6,3375.1,3377.4
2020.10.01,3377.4,3380.6,3375.4,3376.1
2020.10.01,3376.1,3379.6,3373.8,3379.4
2020.10.01,3379.4,3390.1,3378.6,3389.1
2020.10.01,3388.6,3391.9,3383.1,3386
2020.10.01,3385.9,3390.4,3374.9,3378.4
2020.10.01,3378.4,3393.1,3377.8,3391.9
2020.10.01,3391.9,3395.4,3387.4,3389.9
2020.10.01,3390,3396.5,3388.6,3394.4
2020.10.01,3394.6,3395.4,3385.1,3385.6
2020.10.01,3385.6,3396.1,3375.6,3376.6
2020.10.01,3376.5,3382.9,3364.6,3375.6
2020.10.01,3375.6,3385.1,3367.1,3381.1
2020.10.01,3381.1,3382.9,3371.4,3380.6
2020.10.01,3380.9,3385.6,3367.6,3371.1
2020.10.01,3371.4,3380.5,3359.1,3378.4
2020.10.01,3378.1,3383.3,3366.6,3380.1
2020.10.02,3375.4,3383,3371,3380.7
2020.10.02,3380.9,3381.2,3374.2,3376.1
2020.10.02,3376,3381.2,3364.2,3366.7
2020.10.02,3367,3371.7,3366,3367.7
2020.10.02,3367.7,3369.2,3360.7,3364
2020.10.02,3364.2,3371.5,3362.7,3371.5
2020.10.02,3371.6,3374,3342,3344.7
2020.10.02,3344,3345,3309.2,3321.2
2020.10.02,3321.2,3338.5,3317.2,3336
2020.10.02,3335.9,3348.2,3330,3336.7
2020.10.02,3336,3341.1,3330.2,3338
2020.10.02,3338,3343.5,3319.2,3323
2020.10.02,3323,3332,3313.5,3330.2
2020.10.02,3330,3333.7,3320,3322.5
2020.10.02,3322.5,3338.7,3317.5,3324
2020.10.02,3323.7,3352.7,3314.7,3348.6
2020.10.02,3349.2,3362.2,3345,3354.2
2020.10.02,3354,3362.1,3335.6,3336.5
2020.10.02,3336,3368.1,3328.2,3363
2020.10.02,3363.2,3367.2,3347.5,3354
2020.10.02,3353.7,3365.7,3353.2,3361
2020.10.02,3361.2,3364.5,3345.5,3347.5
2020.10.05,3364.8,3368.1,3361.3,3366
2020.10.05,3366,3373.1,3364.6,3371.3
2020.10.05,3371.5,3376.8,3369.6,3376.6
2020.10.05,3376.6,3377.1,3369.1,3370.7
2020.10.05,3370.7,3374.1,3369.8,3373.3
2020.10.05,3373.3,3376.3,3366.8,3366.8
2020.10.05,3366.8,3371,3365.6,3370.8
2020.10.05,3370.8,3373.6,3369.6,3371.1
2020.10.05,3371,3371.8,3363.8,3368.3
2020.10.05,3368.5,3371.6,3356.1,3361.6
2020.10.05,3361.3,3368.1,3360.8,3365.1
2020.10.05,3365.1,3370.3,3362.8,3369.8
2020.10.05,3369.8,3372.6,3364.3,3372.3
2020.10.05,3372.3,3375.6,3369.6,3370.1
2020.10.05,3370.3,3371.3,3367.1,3370.1
2020.10.05,3370.1,3381.6,3369.3,3375.1
2020.10.05,3376.1,3395.3,3376.1,3392.3
2020.10.05,3392.6,3398.1,3391.3,3394.4
2020.10.05,3394.6,3397,3392.6,3396
2020.10.05,3396,3397.5,3387.3,3388.3
2020.10.05,3388,3401.3,3385.1,3401.3
