time,open,high,low,close,%K,%D
2021-01-01T15:00:00+07:00,29176,29260,28943.5,29076,38.47665122,42.52041501
2021-01-01T16:00:00+07:00,29076,29390,29048.5,29293.5,55.99559062,45.46929262
2021-01-01T17:00:00+07:00,29293.5,29444,29249,29323.5,65.33830973,53.27018386
2021-01-01T18:00:00+07:00,29323.5,29504,29313.5,29400,81.60654685,67.64681573
2021-01-01T19:00:00+07:00,29400,29731,29232.5,29326.5,70.57702544,72.50729401
2021-01-01T20:00:00+07:00,29326.5,29571,29305.5,29557.5,69.00476609,73.72944613
2021-01-01T21:00:00+07:00,29557.5,29645,29364.5,29422.5,53.77600608,64.4525992
2021-01-01T22:00:00+07:00,29422.5,29488,29106,29268.5,46.23103254,56.33726824
2021-01-01T23:00:00+07:00,29268.5,29447,29204.5,29384,36.19811434,45.40171765
2021-01-02T00:00:00+07:00,29384,29426.5,29000,29156.5,31.58118863,38.00344517
2021-01-02T01:00:00+07:00,29156,29343.5,28675,29143.5,39.01417832,35.5978271
2021-01-02T02:00:00+07:00,29143.5,29195,29025.5,29109.5,42.0021898,37.53251892
2021-01-02T03:00:00+07:00,29109.5,29364.5,28954,29280.5,60.05854867,47.02497226
2021-01-02T04:00:00+07:00,29280.5,29390,29232,29245.5,69.26383797,57.10819215
2021-01-02T05:00:00+07:00,29245.5,29421,29194.5,29344.5,81.3642626,70.22888308
2021-01-02T06:00:00+07:00,29345,29415,29311.5,29410.5,87.8039171,79.47733922
2021-01-02T07:00:00+07:00,29410.5,29424,29028,29275,85.26492888,84.81103619
2021-01-02T08:00:00+07:00,29275,29500,29181.5,29461.5,85.96423289,86.34435962
2021-01-02T09:00:00+07:00,29461.5,29572,29400,29408.5,76.69531521,82.64149233
2021-01-02T10:00:00+07:00,29408.5,29469.5,29340,29443,79.35827933,80.67260914
2021-01-02T11:00:00+07:00,29443,29486.5,29297,29434,73.62132353,76.55830602
2021-01-02T12:00:00+07:00,29434,29700,29434,29698,83.51112986,78.83024424
2021-01-02T13:00:00+07:00,29698,29854,29556,29803,88.36347699,81.8319768
2021-01-02T14:00:00+07:00,29808.5,29928,29721,29847,92.540437,88.13834795
2021-01-02T15:00:00+07:00,29847,29956.5,29726,29930.5,91.35488616,90.75293339
2021-01-02T16:00:00+07:00,29931,29975,29610.5,29655,74.69037655,86.19523324
2021-01-02T17:00:00+07:00,29655,29903,29510,29717.5,60.51051753,75.51859341
2021-01-02T18:00:00+07:00,29717.5,29830,29661.5,29802,49.4232107,61.54136826
2021-01-02T19:00:00+07:00,29802,31024.5,29782.5,30691.5,61.81063341,57.24812055
2021-01-02T20:00:00+07:00,30696,31677.5,30545,31667.5,80.11562777,63.78315729
2021-01-02T21:00:00+07:00,31666,31700,31158,31400,87.95085141,76.6257042
2021-01-02T22:00:00+07:00,31400,31935.5,31328.5,31800.5,93.30111113,87.1225301
2021-01-02T23:00:00+07:00,31800.5,33159.5,31794,32592,87.85327934,89.70174729
2021-01-03T00:00:00+07:00,32591.5,33070,32491.5,32969,89.99072672,90.38170573
2021-01-03T01:00:00+07:00,32969,33486.5,32521,33096.5,86.38662519,88.07687708
2021-01-03T02:00:00+07:00,33096.5,33358,32775,33139,86.62061964,87.66599052
2021-01-03T03:00:00+07:00,33139,33174,30654,30813,57.58718755,76.8648108
2021-01-03T04:00:00+07:00,30807.5,31981.5,30475,31725,43.67269902,62.6268354
2021-01-03T05:00:00+07:00,31725,32343,31457,32192,34.71191559,45.32393405
2021-01-03T06:00:00+07:00,32192,32285,31674,32201.5,52.80262232,43.72907898
2021-01-03T07:00:00+07:00,32201.5,32537,32004,32486.5,63.80930514,50.44128102
2021-01-03T08:00:00+07:00,32486.5,32865.5,32259,32649.5,75.12579071,63.91257272
2021-01-03T09:00:00+07:00,32649.5,32960.5,32622,32779.5,84.48441986,74.4731719
2021-01-03T10:00:00+07:00,32779.5,32800,32497,32620.5,84.16578765,81.25866607
2021-01-03T11:00:00+07:00,32620.5,33348,32488,33271,85.26798762,84.63939838
2021-01-03T12:00:00+07:00,33272,34231,33188.5,33800,81.99551858,83.80976462
2021-01-03T13:00:00+07:00,33800,34171,33684.5,34037,87.09487144,84.78612588
2021-01-03T14:00:00+07:00,34037,34888,33817.5,34532,84.06014922,84.38351308
2021-01-03T15:00:00+07:00,34532,34761,33800,34445,85.19269937,85.44924001
2021-01-03T16:00:00+07:00,34445,34678.5,33861,34252.5,76.43832745,81.89705868
2021-01-03T17:00:00+07:00,34252.5,34410.5,33522,33963.5,58.82298663,73.48467115
2021-01-03T18:00:00+07:00,33961.5,34528,33860,34501.5,55.54433444,63.60188284
2021-01-03T19:00:00+07:00,34501.5,34701.5,33980,34186,52.53932015,55.63554708
2021-01-03T20:00:00+07:00,34186,34468,33889,33985,54.85041246,54.31135569
2021-01-03T21:00:00+07:00,33985,34257.5,33605.5,33962,43.38315655,50.25762972
2021-01-03T22:00:00+07:00,33956.5,34016,32852.5,33580.5,38.64349912,45.62568938
2021-01-03T23:00:00+07:00,33580.5,33926,32631,32707.5,26.79044531,36.27236699
2021-01-04T00:00:00+07:00,32707,33309.5,32488,32916.5,21.56960257,29.00118233
2021-01-04T01:00:00+07:00,32916.5,33055.5,32329.5,32799,16.5626112,21.64088636
2021-01-04T02:00:00+07:00,32799,32944,32481,32805,24.7291865,20.95380009
2021-01-04T03:00:00+07:00,32805,33865,32755.5,33747.5,47.12181252,29.47120341
2021-01-04T04:00:00+07:00,33747.5,33908,33548.5,33609,66.02391475,45.95830459
2021-01-04T05:00:00+07:00,33609,33717.5,33045.5,33196,74.92371508,62.68981412
2021-01-04T06:00:00+07:00,33196,33679.5,32729.5,33100,59.77652284,66.90805089
2021-01-04T07:00:00+07:00,33100,33164.5,32453.5,32911.5,43.25336203,59.31786665
2021-01-04T08:00:00+07:00,32911.5,33384.5,32652,33258.5,43.40389302,48.8112593
2021-01-04T09:00:00+07:00,33258.5,33695.5,33037,33550,57.86079376,48.17268294
2021-01-04T10:00:00+07:00,33550,33641,33277.5,33636,79.10107901,60.12192193
2021-01-04T11:00:00+07:00,33636,33709.5,33321,33385.5,85.38719305,74.11635528
2021-01-04T12:00:00+07:00,33385.5,33460.5,32967,32975.5,66.66805933,77.05211046
2021-01-04T13:00:00+07:00,32975.5,33559.5,32971,33348.5,52.05843653,68.0378963
2021-01-04T14:00:00+07:00,33348.5,33387.5,31827.5,32269,35.14352467,51.29000684
2021-01-04T15:00:00+07:00,32269.5,32683.5,31488,32120,34.42960115,40.54385412
2021-01-04T16:00:00+07:00,32120,32222.5,30446.5,31107,24.37526906,31.31613163
2021-01-04T17:00:00+07:00,31107,31260,27667.5,30266,31.25629785,30.02038936
2021-01-04T18:00:00+07:00,30264,30940,29458,30787.5,39.95503403,31.86220031
2021-01-04T19:00:00+07:00,30801.5,31480,30498,31290,56.95550883,42.72228024
2021-01-04T20:00:00+07:00,31290,31465.5,30648.5,31465.5,70.04841806,55.65298697
2021-01-04T21:00:00+07:00,31466,32180,31458.5,32159,85.04480856,70.68291182
2021-01-04T22:00:00+07:00,32159,32252,31615,31793,88.82915534,81.30746065
2021-01-04T23:00:00+07:00,31788,31959,30722.5,31341,77.05604649,83.64333679
2021-01-05T00:00:00+07:00,31341,31566.5,30642.5,31033,51.96523555,72.61681246
2021-01-05T01:00:00+07:00,31030.5,31481.5,31029,31192,35.48826812,54.83651672
2021-01-05T02:00:00+07:00,31192,31911,31122.5,31700.5,41.37931034,42.94427134
2021-01-05T03:00:00+07:00,31700.5,31855,31243,31280,49.43319631,42.10025826
2021-01-05T04:00:00+07:00,31280,31600,30900,31054,48.86614699,46.55955121
2021-01-05T05:00:00+07:00,31054,31523,30987,31384,42.91237781,47.0705737
