time,open,high,low,close,%K,%D
1625104800,34933.7,34940.87,34529.5,34609.99,53.51870343,62.50807131
1625105700,34610.54,34610.54,34445.78,34509.05,33.58968292,53.81353779
1625106600,34448.34,34459.98,34224.27,34310.92,12.36626221,33.15821619
1625107500,34349.46,34376.51,34280.01,34314.84,10.80583728,18.92059414
1625108400,34323.34,34419.21,34155,34244.7,11.05536434,11.40915461
1625109300,34248.24,34363.01,34248.24,34274.73,16.27125346,12.71081836
1625110200,34277.63,34345.66,34169.26,34279.83,26.209249,17.84528893
1625111100,34198.8,34286.85,34130,34130,22.40454847,21.62835031
1625112000,34116.87,34249.55,34053.76,34205.93,27.52320931,25.37900226
1625112900,34199.43,34300.28,34165.49,34185.62,28.09257233,26.0067767
1625113800,34161.13,34279.98,34127.08,34266.34,52.36800912,35.99459692
1625114700,34230.67,34343.58,34230.67,34342.53,71.70088614,50.7204892
1625115600,34343.46,34343.46,34254.46,34320.61,88.17946918,70.74945481
1625116500,34291.9,34297.67,34192.74,34238.96,81.12959051,80.33664861
1625117400,34244.6,34309.07,34243.64,34301.92,74.83619038,81.38175002
1625118300,34290.16,34422.2,34290.16,34347.86,66.6787922,74.2148577
1625119200,34340,34471.38,34317.05,34387.97,72.80833983,71.44110747
1625120100,34383.78,34394.39,34182.27,34215.26,49.69279846,63.05997683
1625121000,34204.86,34280.55,34148.77,34162.49,28.57633731,50.35915853
1625121900,34140.49,34153.17,33467,33551.61,8.029265699,28.76613382
1625122800,33551.61,33624.8,33333.19,33500,9.110880248,15.23882775
1625123700,33497.21,33594.29,33454.11,33538.21,14.1331553,10.42443375
1625124600,33525.59,33637.93,33450.81,33596.23,20.58031453,14.60811669
1625125500,33606.13,33609.42,33340.63,33340.73,16.0015843,16.90501804
1625126400,33342.84,33536.08,33223.55,33460.69,28.6375934,21.73983074
1625127300,33471.24,33552.56,33441.13,33485.24,40.4331264,28.3574347
1625128200,33476.15,33476.15,33267.29,33427.67,56.54632624,41.87234868
1625129100,33428.47,33475,33300.73,33452.69,57.26466898,51.41470721
1625130000,33450.82,33528.33,33365.76,33436.9,57.8292937,57.21342964
1625130900,33416.01,33416.51,33244.91,33370.81,55.05062463,56.71486244
1625131800,33370.42,33445.49,33241.54,33275.05,39.15122936,50.67704923
1625132700,33255.14,33322.98,33102.68,33277.26,31.20751771,41.8031239
1625133600,33237.86,33397.49,33152.12,33255.95,29.56929461,33.30934723
1625134500,33210.3,33295.63,32990.28,33151.34,37.46828277,32.74836503
1625135400,33154.76,33346.99,33118.22,33320,47.94081121,38.32612953
1625136300,33345.94,33352.43,33188.67,33193.46,52.56986907,45.99298768
1625137200,33193.46,33504.77,33158,33502.52,73.96360288,58.15809439
1625138100,33457.91,33543.55,33400,33526.89,82.14903898,69.56083698
1625139000,33525.41,33566.34,33465.62,33521.47,95.51284758,83.87516314
1625139900,33539.36,33739,33526.69,33739,95.658623,91.10683652
1625140800,33716.59,33716.59,33463.26,33475.38,81.53785435,90.90310831
1625141700,33484.17,33586.8,33447.6,33585.71,69.80273898,82.33307211
1625142600,33589.1,33870.73,33588.82,33781.39,62.76471284,71.36843539
1625143500,33772.52,33799.81,33638.92,33669.14,62.00835467,64.85860216
1625144400,33668.98,33736.42,33568,33689.88,62.83411717,62.53572823
1625145300,33722.95,33782.49,33656.35,33702.77,56.64059115,60.49435433
1625146200,33720.05,33816.94,33572.17,33611.37,43.96354643,54.47941825
1625147100,33611.37,33658.3,33416.1,33416.1,24.87721362,41.82711707
1625148000,33418.22,33621.16,33400,33585.13,19.5761232,29.47229442
1625148900,33590.22,33599.92,33158.29,33176.54,15.72429711,20.05921131
1625149800,33201.55,33201.55,33047.4,33118.68,18.81185591,18.03742541
1625150700,33087.63,33242.52,33087.41,33220.72,13.46825034,16.00146779
1625151600,33214.65,33674,33178.46,33463.73,34.69221287,22.32410637
1625152500,33452.58,33669.28,33418.87,33593.79,60.67104411,36.27716911
1625153400,33594.33,33609.56,33388.28,33511.04,75.87828492,57.08051397
1625154300,33495.11,33532.7,33401.11,33456.64,74.71243524,70.42058809
1625155200,33434.87,33548.84,33198.6,33248.45,50.35404051,66.98158689
1625156100,33243.21,33360.28,33215.88,33308.22,33.45295069,52.83980881
1625157000,33312.25,33468.26,33312.25,33411.33,29.72595214,37.84431445
