,status,open_time,open_price,high_setup,real_high,high_bar,low_setup,real_low,low_bar,DD_point,DD_bar,TP_get,TP_bar,TP_same,side,result,profit,prob
0,Sell loss,2020-01-15T10:30:00Z,84.027,84.361,84.361,33,84.059,84.059,53,84.407,44,84.018,0,84.018,Sell,loss,-1.258278146,-0.005447092
1,Buy win,2020-01-16T08:30:00Z,84.407,84.361,84.361,77,84.059,84.059,97,84.295,10,84.407,12,84.407,Buy,win,0,0
2,Sell win,2020-01-17T16:00:00Z,84.277,84.548,84.548,16,84.308,84.308,54,84.46,51,84.255,66,84.255,Sell,win,0.091666667,0.000396825
3,Sell win,2020-01-22T15:00:00Z,83.725,84.45,84.296,78,83.96,83.96,27,84.142,0,83.752352,2,0,Sell,win,0.055820408,0.000241647
4,Sell win,2020-01-24T19:00:00Z,83.04,83.532,83.532,21,83.086,83.086,54,83.192,2,82.810372,6,0,Sell,win,0.514860987,0.002228835
5,Sell win,2020-01-27T14:00:00Z,82.515,82.901,82.901,19,82.661,82.661,29,82.781,0,82.51268,1,0,Sell,win,0.009666667,4.18E-05
6,Buy win,2020-01-28T15:00:00Z,82.839,82.722,82.722,17,82.413,82.413,12,82.68,0,82.912962,12,0,Buy,win,0.239359223,0.001036187
7,Sell win,2020-01-31T15:00:00Z,82.153,82.644,82.644,28,82.154,82.154,42,82.254,0,81.85118,5,0,Sell,win,0.615959184,0.00266649
8,Buy win,2020-02-04T08:00:00Z,82.149,82.124,82.124,34,81.659,81.659,14,81.968,0,82.41137,16,0,Buy,win,0.564236559,0.002442583
9,Buy win,2020-02-11T05:00:00Z,82.64,82.629,82.629,46,82.318,82.318,30,82.459,17,82.821198,54,0,Buy,win,0.582630225,0.002522209
10,Sell win,2020-02-18T08:00:00Z,82.739,83.092,82.902,31,82.762,82.762,11,82.864,0,82.67548,4,0,Sell,win,0.192484848,0.000833268
11,Sell win,2020-02-25T09:00:00Z,83.057,84.71,83.541,131,83.151,83.151,31,83.335,11,82.90998,12,0,Sell,win,0.094304041,0.000408243
12,Sell win,2020-02-26T18:30:00Z,82.728,83.261,83.261,8,82.831,82.831,50,82.973,0,82.56526,20,0,Sell,win,0.378465116,0.001638377
13,Buy loss,2020-03-03T16:00:00Z,81.312,81.261,81.261,26,80.387,80.387,18,80.243,39,81.441,0,81.441,Buy,loss,-1.223112128,-0.005294858
14,Sell win,2020-03-03T16:00:00Z,80.243,81.261,81.261,65,80.387,80.387,57,80.679,0,79.846868,14,81.441,Sell,win,0.453240275,0.001962079
15,Sell win,2020-03-05T09:00:00Z,79.85,80.559,80.559,42,79.907,79.907,68,80.017,0,79.504064,15,0,Sell,win,0.530576687,0.002296869
16,Sell win,2020-03-06T07:30:00Z,78.966,79.388,79.388,15,78.997,78.997,22,79.109,0,78.755362,4,0,Sell,win,0.538716113,0.002332104
17,Buy win,2020-03-10T01:00:00Z,75.914,75.783,75.783,19,74.613,74.613,8,75.433,2,76.50606,8,0,Buy,win,0.506034188,0.002190624
18,Sell loss,2020-03-12T01:00:00Z,75.11,76.946,76.691,57,75.208,75.208,68,76.731,64,75.051,0,75.051,Sell,loss,-0.932681243,-0.004037581
19,Buy win,2020-03-13T09:00:00Z,76.731,76.946,76.691,121,75.208,75.208,132,76.449,0,77.607494,7,75.051,Buy,win,0.504311853,0.002183168
20,Sell loss,2020-03-15T23:00:00Z,76.547,77.444,77.444,21,76.571,76.571,15,77.565,5,76.031486,0,0,Sell,loss,-1.166093929,-0.005048026
21,Buy loss,2020-03-16T08:30:00Z,77.565,77.444,77.444,26,76.571,76.571,20,76.391,14,77.983514,0,78.204,Buy,loss,-1.344788087,-0.005821593
22,Sell win,2020-03-16T08:30:00Z,76.391,77.444,77.444,40,76.571,76.571,34,76.667,0,76.031486,3,78.204,Sell,win,0.411814433,0.001782746
23,Sell win,2020-03-17T22:00:00Z,75.458,76.489,76.489,42,75.497,75.497,51,75.802,0,75.292,16,75.292,Sell,win,0.16733871,0.00072441
24,Buy win,2020-03-24T14:00:00Z,77.082,76.984,76.984,10,76.057,76.294,66,76.647,6,77.41042,29,0,Buy,win,0.354282632,0.001533691
