time,open,high,low,close
2020-05-05T09:45:00+07:00,862.83,862.83,858.72,859.22
2020-05-05T10:00:00+07:00,859.31,864.35,855.91,864.29
2020-05-05T10:15:00+07:00,863.67,864.55,859.16,860.33
2020-05-05T10:30:00+07:00,859.68,862.4,858.42,862.4
2020-05-05T10:45:00+07:00,862.24,862.45,860.25,860.46
2020-05-05T11:00:00+07:00,860.38,862.02,859.34,861.63
2020-05-05T11:15:00+07:00,862.9,862.9,860.29,861.09
2020-05-05T11:30:00+07:00,860.65,860.99,858.57,859.68
2020-05-05T11:45:00+07:00,859.19,861.44,857.83,860.91
2020-05-05T12:00:00+07:00,860.96,862.53,859.66,861.14
2020-05-05T12:15:00+07:00,860.83,861.68,859.09,860.1
2020-05-05T12:30:00+07:00,860.37,860.37,860.37,860.37
2020-05-05T14:15:00+07:00,861.36,861.49,860.54,861.49
2020-05-05T14:30:00+07:00,861,863.49,860.64,861.29
2020-05-05T14:45:00+07:00,862.38,864.34,861.55,863.83
2020-05-05T15:00:00+07:00,863.78,863.78,859.91,860.39
2020-05-05T15:15:00+07:00,860.58,860.86,857.74,858.16
2020-05-05T15:30:00+07:00,858.08,860.09,857.35,859.15
2020-05-05T15:45:00+07:00,858.63,860.11,857.74,857.97
2020-05-05T16:00:00+07:00,859.3,859.63,857.69,859.06
2020-05-05T16:15:00+07:00,859.41,859.97,857.87,859.1
2020-05-05T16:30:00+07:00,858.39,858.39,856.57,856.57
2020-05-07T09:45:00+07:00,852.75,852.75,850.21,850.82
2020-05-07T10:00:00+07:00,850.21,855.24,850.17,854.63
2020-05-07T10:15:00+07:00,853.55,853.84,847.18,847.56
2020-05-07T10:30:00+07:00,846.98,851.04,846.71,849.22
2020-05-07T10:45:00+07:00,848.43,849.43,847.42,848.37
2020-05-07T11:00:00+07:00,847.63,848.95,845.96,846.73
2020-05-07T11:15:00+07:00,846.41,849.29,845.69,848.29
2020-05-07T11:30:00+07:00,848.14,849.17,846.44,847.58
2020-05-07T11:45:00+07:00,846.93,848.17,846.26,847.2
2020-05-07T12:00:00+07:00,846.35,847.47,844.84,845.17
2020-05-07T12:15:00+07:00,845.59,846.15,844.31,844.8
2020-05-07T12:30:00+07:00,846.51,846.51,846.51,846.51
2020-05-07T14:15:00+07:00,846.36,847.31,846.09,846.26
2020-05-07T14:30:00+07:00,846,847.31,841.52,842.52
2020-05-07T14:45:00+07:00,842.34,843.11,839.43,840.33
2020-05-07T15:00:00+07:00,840.02,840.89,838.64,839.42
2020-05-07T15:15:00+07:00,839.82,840.3,838.17,840.3
2020-05-07T15:30:00+07:00,840.42,841.34,838.67,841.34
2020-05-07T15:45:00+07:00,840.52,842.67,839.46,842.13
2020-05-07T16:00:00+07:00,841.3,842.95,840.58,842.2
2020-05-07T16:15:00+07:00,841.62,843.84,840.59,843.6
2020-05-07T16:30:00+07:00,843.88,843.88,842.56,842.56
2020-05-08T09:45:00+07:00,848.77,850.65,848.75,850.09
2020-05-08T10:00:00+07:00,850.1,852.46,848.89,849.36
2020-05-08T10:15:00+07:00,849.69,849.81,846.87,848.25
2020-05-08T10:30:00+07:00,848.23,848.3,846.33,847.71
