,time,open,high,low,close,EMA,EMA75,EMA60,EMA45,EMA30,ParabolicSAR,loop,step,open_price,Max_bar,Max_TP,Long_ba,close_price,DD_bar,DD_point,status,Index,TotalDD_bar,ac,accum_winrate,side,result,profit,prob,results
0,2015-02-12T13:00:00+07:00,1.47907,1.48057,1.47424,1.47546,1.45395062,1.455015336,1.45656408,1.458804436,1.461220027,1.459309258,3,2,1.41707,3,1.39647,86,1.47546,46,1.48946,Sell,1,86,,,Sell,loss,-0.05838999999999994,-4.120473935655962,Sellloss
1,2015-03-03T09:00:00+07:00,1.44082,1.44175,1.42124,1.42929,1.448416645,1.447393256,1.445884442,1.44369471,1.440765473,1.4443,3,1,1.47546,0,1.48057,77,1.42929,0,1.42124,Buy,2,77,,,Buy,loss,-0.046170000000000044,-3.129193607417351,Buyloss
2,2015-04-06T04:00:00+07:00,1.43928,1.44265,1.43712,1.43843,1.410427774,1.411327515,1.413320101,1.416830574,1.422305503,1.42195,3,2,1.42929,53,1.37294,144,1.43843,0,1.44265,Sell,3,144,,,Sell,loss,-0.009140000000000148,-0.6394783423937863,Sellloss
3,2015-04-17T08:00:00+07:00,1.38288,1.3858,1.38156,1.38466,1.399639259,1.398258579,1.396448095,1.3938196,1.390040063,1.386706136,3,1,1.43843,4,1.44449,55,1.38466,50,1.37048,Buy,4,55,,,Buy,loss,-0.053770000000000095,-3.7381033487900064,Buyloss
4,2015-06-04T08:00:00+07:00,1.44891,1.45995,1.44783,1.45776,1.421475116,1.423395505,1.425798972,1.428986021,1.43347695,1.43081639,3,2,1.38466,48,1.36785,205,1.45776,0,1.45995,Sell,5,205,,,Sell,loss,-0.07309999999999994,-5.279274334493662,Sellloss
5,2015-10-13T00:00:00+07:00,1.54281,1.5451,1.54159,1.54252,1.57407415,1.572254887,1.569438838,1.565273543,1.55919193,1.555509413,3,1,1.45776,345,1.65852,556,1.54252,102,1.43169,Buy,6,556,,,Buy,win,0.08475999999999995,5.814400175611895,Buywin
6,2015-12-14T05:00:00+07:00,1.52404,1.53348,1.52326,1.52867,1.494178374,1.494842105,1.496851891,1.500789223,1.507178627,1.49894853,3,2,1.54252,227,1.43479,266,1.52867,9,1.58223,Sell,7,266,,,Sell,win,0.013849999999999918,0.8978813888960868,Sellwin
7,2016-02-24T05:00:00+07:00,1.52891,1.53347,1.52598,1.52886,1.556293618,1.55531712,1.553344848,1.549784144,1.54365195,1.534232076,3,1,1.52867,248,1.62522,300,1.52886,76,1.48631,Buy,8,300,,,Buy,win,0.0001900000000001345,0.012429105039029647,Buywin
8,2016-05-04T12:00:00+07:00,1.53196,1.53532,1.52978,1.53506,1.488510871,1.490505199,1.493770987,1.499125429,1.507887441,1.510150407,3,2,1.52886,249,1.44348,303,1.53506,5,1.54049,Sell,9,303,,,Sell,loss,-0.006199999999999983,-0.40553091846212097,Sellloss
9,2016-06-16T00:00:00+07:00,1.51947,1.52117,1.51528,1.51914,1.532058611,1.530976967,1.529325172,1.527166044,1.524742053,1.527466694,3,1,1.53506,84,1.5646,183,1.51914,182,1.51372,Buy,10,183,,,Buy,loss,-0.015920000000000156,-1.0370930126509814,Buyloss
