time,open,high,low,close,%K,%D
2020-01-02T21:00:00+07:00,1.45471,1.45499,1.45186,1.4523,28.58215363,33.07023366
2020-01-02T22:00:00+07:00,1.4523,1.45388,1.45088,1.45365,39.86708083,34.73284816
2020-01-02T23:00:00+07:00,1.45365,1.45413,1.45137,1.45138,26.34179303,31.59700916
2020-01-03T00:00:00+07:00,1.45138,1.45225,1.45101,1.45165,27.87824379,31.36237255
2020-01-03T01:00:00+07:00,1.45165,1.45187,1.4507,1.45111,11.98681199,22.0689496
2020-01-03T02:00:00+07:00,1.45111,1.45114,1.44983,1.45051,13.79312635,17.88606071
2020-01-03T03:00:00+07:00,1.45051,1.45092,1.45037,1.45056,14.11593574,13.29862469
2020-01-03T04:00:00+07:00,1.45056,1.45126,1.45016,1.45017,15.61342815,14.50749675
2020-01-03T05:00:00+07:00,1.45017,1.45068,1.44961,1.45043,22.4365056,17.38862317
2020-01-03T06:00:00+07:00,1.45043,1.45095,1.45042,1.45043,33.34324744,23.79772706
2020-01-03T07:00:00+07:00,1.45043,1.45114,1.45031,1.45097,56.13479932,37.30485079
2020-01-03T08:00:00+07:00,1.45097,1.45104,1.45028,1.45061,64.24242424,51.240157
2020-01-03T09:00:00+07:00,1.45061,1.45172,1.45009,1.45116,72.16333956,64.18018771
2020-01-03T10:00:00+07:00,1.45116,1.45216,1.4511,1.45164,69.64833443,68.68469941
2020-01-03T11:00:00+07:00,1.45164,1.45216,1.45109,1.45133,69.41410811,70.40859403
2020-01-03T12:00:00+07:00,1.45133,1.45157,1.45103,1.45103,60.06441224,66.37561826
2020-01-03T13:00:00+07:00,1.45103,1.45112,1.45022,1.45048,41.38486312,56.95446116
2020-01-03T14:00:00+07:00,1.45048,1.45079,1.44587,1.44588,21.47006341,40.97311293
2020-01-03T15:00:00+07:00,1.44588,1.44799,1.44567,1.44647,10.44207287,24.43233314
2020-01-03T16:00:00+07:00,1.44647,1.44748,1.44546,1.4464,9.290084764,13.73407368
2020-01-03T17:00:00+07:00,1.4464,1.44682,1.44501,1.44628,16.16562305,11.9659269
2020-01-03T18:00:00+07:00,1.44628,1.44726,1.44513,1.44713,24.28280449,16.5795041
2020-01-03T19:00:00+07:00,1.44713,1.44766,1.44636,1.44733,45.10538236,28.51793663
2020-01-03T20:00:00+07:00,1.44733,1.44769,1.44604,1.44691,61.80869069,43.73229251
2020-01-03T21:00:00+07:00,1.44691,1.44937,1.4462,1.44893,79.55204275,62.15537193
2020-01-03T22:00:00+07:00,1.44893,1.45031,1.44834,1.44922,79.92043608,73.76038984
2020-01-03T23:00:00+07:00,1.44922,1.45098,1.44894,1.45072,87.86754265,82.44667383
2020-01-04T00:00:00+07:00,1.45072,1.4517,1.45026,1.45061,84.81214018,84.20003963
2020-01-04T01:00:00+07:00,1.45061,1.45159,1.45042,1.45042,84.06872143,85.58280142
2020-01-04T02:00:00+07:00,1.45042,1.45149,1.45034,1.4508,76.89453597,81.92513253
2020-01-04T03:00:00+07:00,1.4508,1.45103,1.44971,1.44973,59.52158228,73.49494656
2020-01-04T04:00:00+07:00,1.44973,1.45108,1.44922,1.45016,46.58023331,60.99878385
2020-01-06T05:00:00+07:00,1.44969,1.4499,1.44893,1.4492,25.55893005,43.88691521
