time,open,high,low,close,basic,upper,lower,%K,%D
2022-07-01T08:45:00+07:00,1.04678,1.0471,1.04674,1.04697,1.047485,1.048459977,1.046510023,33.81937656,28.84755565
2022-07-01T09:00:00+07:00,1.04697,1.04727,1.04673,1.04706,1.0474265,1.048354945,1.046498055,48.63419138,35.85619966
2022-07-01T09:15:00+07:00,1.04706,1.04717,1.04687,1.0469,1.0473475,1.04816635,1.04652865,56.62858128,46.36071641
2022-07-01T09:30:00+07:00,1.0469,1.04695,1.04619,1.04646,1.047264,1.048087223,1.046440777,49.37051676,51.54442981
2022-07-01T09:45:00+07:00,1.04646,1.04673,1.0463,1.04663,1.04721,1.048050619,1.046369381,40.39184112,48.79697972
2022-07-01T10:00:00+07:00,1.04663,1.04674,1.04607,1.04625,1.0471525,1.048085514,1.046219486,26.91358025,38.89197938
2022-07-01T10:15:00+07:00,1.04625,1.0466,1.04607,1.04614,1.0470755,1.048073588,1.046077412,20.70145903,29.3356268
2022-07-01T10:30:00+07:00,1.04614,1.0463,1.0457,1.04572,1.0469715,1.048073957,1.045869043,7.654545455,18.42319491
2022-07-01T10:45:00+07:00,1.04572,1.04573,1.04499,1.04544,1.046859,1.048096189,1.045621811,11.22597403,13.19399284
2022-07-01T11:00:00+07:00,1.04544,1.04563,1.04482,1.04482,1.046714,1.048173375,1.045254625,9.104761905,9.328427128
2022-07-01T11:15:00+07:00,1.04482,1.04515,1.04472,1.04491,1.0465735,1.048154415,1.044992585,11.9402229,10.75698628
2022-07-01T11:30:00+07:00,1.04491,1.04553,1.04479,1.04542,1.0464655,1.048051734,1.044879266,18.13672682,13.06057054
2022-07-01T11:45:00+07:00,1.04542,1.04612,1.04537,1.0454,1.0463445,1.047866899,1.044822101,34.32720301,21.46805091
2022-07-01T12:00:00+07:00,1.0454,1.04602,1.04523,1.04594,1.046292,1.04779402,1.04478998,60.00602773,37.48998585
2022-07-01T12:15:00+07:00,1.04594,1.04615,1.04551,1.04614,1.0462365,1.047673445,1.044799555,78.33832834,57.55718636
2022-07-01T12:30:00+07:00,1.04614,1.04643,1.04569,1.04638,1.0462135,1.04762558,1.04480142,94.46492532,77.60309379
2022-07-01T12:45:00+07:00,1.04638,1.04704,1.04627,1.04631,1.0461715,1.047518115,1.044824885,85.30680903,86.03668756
2022-07-01T13:00:00+07:00,1.04631,1.04703,1.04624,1.04633,1.0461435,1.047451938,1.044835062,72.46440282,84.07871239
2022-07-01T13:15:00+07:00,1.04633,1.04637,1.04549,1.04564,1.046082,1.047363415,1.044800585,43.3731361,67.04811599
2022-07-01T13:30:00+07:00,1.04564,1.04567,1.04405,1.04499,1.0459925,1.047315767,1.044669233,33.96300904,49.93351599
2022-07-01T13:45:00+07:00,1.04499,1.04644,1.04486,1.04613,1.0459505,1.047198161,1.044702839,36.89358795,38.07657769
2022-07-01T14:00:00+07:00,1.04613,1.04636,1.04413,1.04415,1.045805,1.047173992,1.044436008,34.78634973,35.21431557
2022-07-01T14:15:00+07:00,1.04415,1.04463,1.04328,1.0445,1.045685,1.04706968,1.04430032,37.17617234,36.28537
2022-07-01T14:30:00+07:00,1.0445,1.04566,1.04433,1.04564,1.045644,1.046982244,1.044305756,38.88228131,36.94826779
2022-07-01T14:45:00+07:00,1.04564,1.04584,1.04455,1.04462,1.0455435,1.046872323,1.044214677,51.89873418,42.65239594
2022-07-01T15:00:00+07:00,1.04462,1.04534,1.04366,1.04523,1.0454925,1.046786793,1.044198207,60.13343197,50.30481582
2022-07-01T15:15:00+07:00,1.04523,1.04574,1.04453,1.0455,1.0454605,1.046720365,1.044200635,64.1451672,58.72577778
2022-07-01T15:30:00+07:00,1.0455,1.04588,1.04518,1.04554,1.0454515,1.046706383,1.044196617,78.23837433,67.50565783
2022-07-01T15:45:00+07:00,1.04554,1.04601,1.04534,1.04585,1.045472,1.046738801,1.044205199,88.19830802,76.86061652
2022-07-01T16:00:00+07:00,1.04585,1.04678,1.04525,1.04535,1.0454985,1.046731355,1.044265645,77.34761357,81.26143197
2022-07-01T16:15:00+07:00,1.04535,1.04572,1.04505,1.04545,1.0455255,1.04672892,1.04432208,62.74901497,76.09831219
2022-07-01T16:30:00+07:00,1.04545,1.04691,1.04541,1.04622,1.0455655,1.046804878,1.044326122,52.65292712,64.24985189
2022-07-01T16:45:00+07:00,1.04622,1.04635,1.04558,1.04559,1.045575,1.046812069,1.044337931,44.27479092,53.22557767
2022-07-01T17:00:00+07:00,1.04559,1.04651,1.04539,1.04625,1.0455905,1.046852981,1.044328019,52.15053763,49.69275189
2022-07-01T17:15:00+07:00,1.04625,1.04686,1.04621,1.04651,1.045609,1.046913299,1.044304701,57.34767025,51.25766627
2022-07-01T17:30:00+07:00,1.04651,1.04741,1.04583,1.04613,1.0455965,1.046875551,1.044317449,59.88147202,56.4598933
2022-07-01T17:45:00+07:00,1.04613,1.04614,1.0448,1.04505,1.0455335,1.046789689,1.044277311,41.56894369,52.93269532
2022-07-01T18:00:00+07:00,1.04505,1.04598,1.0445,1.04557,1.0454955,1.046697839,1.044293161,27.66065563,43.03702378
2022-07-01T18:15:00+07:00,1.04557,1.04597,1.04493,1.04538,1.0454825,1.04668393,1.04428107,25.52961778,31.5864057
2022-07-01T18:30:00+07:00,1.04538,1.0454,1.0436,1.04393,1.0454295,1.046795421,1.044063579,25.22390887,26.13806076
2022-07-01T18:45:00+07:00,1.04393,1.04415,1.04316,1.0436,1.045303,1.046843456,1.043762544,17.88902261,22.88084975
2022-07-01T19:00:00+07:00,1.0436,1.04393,1.04232,1.0424,1.0452155,1.047155082,1.043275918,8.537436781,17.21678942
2022-07-01T19:15:00+07:00,1.0424,1.0426,1.04153,1.04157,1.045069,1.047565333,1.042572667,5.950597974,10.79235245
2022-07-01T19:30:00+07:00,1.04157,1.04222,1.04139,1.04211,1.0448925,1.047684094,1.042100906,7.013935157,7.167323304
2022-07-01T19:45:00+07:00,1.04211,1.04223,1.04065,1.04067,1.044695,1.04803985,1.04135015,6.475813897,6.480115676
2022-07-01T20:00:00+07:00,1.04067,1.04127,1.04009,1.04016,1.0444415,1.048312801,1.040570199,6.783152486,6.757633847
2022-07-01T20:15:00+07:00,1.04016,1.04078,1.03924,1.04015,1.044174,1.048435462,1.039912538,9.825892857,7.69495308
2022-07-01T20:30:00+07:00,1.04015,1.04074,1.03968,1.0399,1.043892,1.048487888,1.039296112,16.9932762,11.20077385
2022-07-01T20:45:00+07:00,1.0399,1.04098,1.0396,1.03988,1.0435935,1.048412032,1.038774968,23.5205314,16.77990015
2022-07-01T21:00:00+07:00,1.03988,1.04133,1.03734,1.03771,1.0432115,1.048591148,1.037831852,17.58381461,19.36587407
2022-07-01T21:15:00+07:00,1.03771,1.03878,1.03652,1.03729,1.0428035,1.048658875,1.036948125,15.56206041,18.88880214
2022-07-01T21:30:00+07:00,1.03729,1.03811,1.03684,1.03774,1.0423795,1.048409394,1.036349606,16.88177478,16.67588327
2022-07-01T21:45:00+07:00,1.03774,1.03998,1.03714,1.03903,1.0420515,1.048060797,1.036042203,31.18503119,21.20962212
2022-07-01T22:00:00+07:00,1.03903,1.03932,1.0384,1.03887,1.0416825,1.047519101,1.035845899,42.13444213,30.0670827
2022-07-01T22:15:00+07:00,1.03887,1.04063,1.03884,1.0403,1.041372,1.046794323,1.035949677,64.33676799,45.88541377
2022-07-01T22:30:00+07:00,1.0403,1.04186,1.04024,1.04156,1.0411435,1.046110601,1.036176399,78.28375205,61.58498739
2022-07-01T22:45:00+07:00,1.04156,1.042,1.04071,1.04075,1.0409285,1.045561643,1.036295357,86.7581809,76.45956698
2022-07-01T23:00:00+07:00,1.04075,1.04105,1.04014,1.0403,1.040665,1.04478308,1.03654692,73.69383918,79.57859071
2022-07-01T23:15:00+07:00,1.0403,1.04109,1.04019,1.04042,1.040417,1.043921044,1.036912956,59.01920439,73.15707482
2022-07-01T23:30:00+07:00,1.04042,1.04118,1.03996,1.04103,1.040272,1.043402678,1.037141322,51.74291939,61.48532099
2022-07-01T23:45:00+07:00,1.04103,1.0413,1.03998,1.04013,1.0400985,1.042831566,1.037365434,36.92810458,49.23007612
2022-07-02T00:00:00+07:00,1.04013,1.04015,1.03943,1.03969,1.039963,1.042486926,1.037439074,24.89601901,37.85568099
2022-07-02T00:15:00+07:00,1.03969,1.03977,1.03933,1.03962,1.0398655,1.042281948,1.037449052,12.31929628,24.71447329
2022-07-02T00:30:00+07:00,1.03962,1.04037,1.03962,1.04036,1.039778,1.041980259,1.037575741,26.96960649,21.39497393
2022-07-02T00:45:00+07:00,1.04036,1.04125,1.04013,1.04108,1.0397985,1.042040858,1.037556142,51.94585448,30.41158575
2022-07-02T01:00:00+07:00,1.04108,1.04162,1.04108,1.04157,1.039869,1.042237501,1.037500499,79.64444839,52.85330312
2022-07-02T01:15:00+07:00,1.04157,1.04238,1.04141,1.04214,1.0399685,1.042534799,1.037402201,92.92674291,74.83901526
2022-07-02T01:30:00+07:00,1.04214,1.04283,1.04213,1.04283,1.040115,1.042967497,1.037262503,96.64924714,89.74014615
2022-07-02T01:45:00+07:00,1.04283,1.04322,1.04215,1.04238,1.04024,1.043254837,1.037225163,88.31556051,92.63051685
2022-07-02T02:00:00+07:00,1.04238,1.04298,1.04216,1.04298,1.0405035,1.04350897,1.03749803,87.20019357,90.72166707
2022-07-02T02:15:00+07:00,1.04298,1.04304,1.04216,1.04222,1.04075,1.043454396,1.038045604,68.78398731,81.43324713
2022-07-02T02:30:00+07:00,1.04222,1.04287,1.04219,1.04264,1.040995,1.043439598,1.038550402,60.10847292,72.0308846
2022-07-02T02:45:00+07:00,1.04264,1.04294,1.04237,1.04286,1.0411865,1.043584993,1.038788007,52.63183741,60.50809921
2022-07-02T03:00:00+07:00,1.04286,1.04303,1.04272,1.043,1.041393,1.043666043,1.039119957,69.53289216,60.75773416
2022-07-02T03:15:00+07:00,1.043,1.04326,1.04295,1.04325,1.0415405,1.043892193,1.039188807,86.96686491,69.71053149
2022-07-02T03:30:00+07:00,1.04325,1.04328,1.04267,1.04267,1.041596,1.043998752,1.039193248,79.52738393,78.67571367
2022-07-02T03:45:00+07:00,1.04267,1.04276,1.04241,1.04266,1.0416915,1.04410397,1.03927903,58.33191274,74.94205386
