time,open,high,low,close,EMA30,EMA100,EMA60,EMA40,EMA75,ParabolicSAR
2014-02-10T06:00:00Z,1.36222,1.36504,1.36217,1.36318,1.357659639,1.358692141,1.357748397,1.35747899,1.358150848,1.352046311
2014-02-10T10:00:00Z,1.36318,1.3641,1.36226,1.36337,1.35802805,1.358784772,1.357932712,1.357766356,1.358288194,1.352825932
2014-02-10T14:00:00Z,1.36337,1.36516,1.36291,1.36416,1.358423659,1.358891212,1.358136885,1.358078241,1.358442715,1.353558776
2014-02-10T18:00:00Z,1.36416,1.36471,1.36312,1.36438,1.358807939,1.358999901,1.358341578,1.358385644,1.35859896,1.354486874
2014-02-10T22:00:00Z,1.36438,1.36786,1.364,1.36654,1.359306782,1.35914921,1.358610378,1.358783417,1.358807934,1.355340724
2014-02-11T02:00:00Z,1.36654,1.36711,1.36613,1.36636,1.359761828,1.359291998,1.358864464,1.359153007,1.359006673,1.356592652
2014-02-11T06:00:00Z,1.36636,1.36832,1.36562,1.36698,1.360227517,1.359444236,1.359130548,1.359534811,1.359216497,1.357719387
2014-02-11T10:00:00Z,1.36698,1.36804,1.36469,1.36499,1.360534774,1.359554053,1.359322661,1.359800918,1.359368432,1.35899146
2014-02-11T14:00:00Z,1.36499,1.36801,1.36293,1.36487,1.360814466,1.359659319,1.359504541,1.36004819,1.35951321,1.360110885
2014-02-11T18:00:00Z,1.36487,1.36497,1.36349,1.36379,1.361006436,1.359741115,1.359645048,1.360230718,1.359625757,1.361095979
2014-02-11T22:00:00Z,1.36379,1.364,1.36262,1.36344,1.36116344,1.35981436,1.359769472,1.360387268,1.359726132,1.361962861
2014-02-12T02:00:00Z,1.36344,1.36365,1.36255,1.36335,1.361304508,1.359884373,1.359886867,1.360531792,1.359821497,1.36832
2014-02-12T06:00:00Z,1.36335,1.36465,1.36266,1.36443,1.361506153,1.359974385,1.360035822,1.360721948,1.359942773,1.3682046
2014-02-12T10:00:00Z,1.36443,1.36525,1.35639,1.35775,1.36126382,1.359930338,1.359960877,1.360576975,1.359885069,1.368091508
2014-02-12T14:00:00Z,1.35775,1.35983,1.35621,1.35849,1.361084864,1.359901816,1.359912651,1.360475171,1.359848356,1.367623448
2014-02-12T18:00:00Z,1.35849,1.35982,1.35842,1.35928,1.360968421,1.359889503,1.359891909,1.36041687,1.359833399,1.366938641
2014-02-12T22:00:00Z,1.35928,1.36063,1.35847,1.36056,1.360942072,1.35990278,1.359913813,1.360423852,1.359852521,1.366294922
2014-02-13T02:00:00Z,1.36056,1.36174,1.36055,1.3615,1.360978067,1.359934409,1.359965819,1.360476347,1.359895875,1.365689827
2014-02-13T06:00:00Z,1.3615,1.36866,1.36147,1.36732,1.361387224,1.360080658,1.36020694,1.360810184,1.360091247,1.35621
2014-02-13T10:00:00Z,1.36732,1.36922,1.36574,1.36662,1.361724822,1.36021015,1.360417204,1.36109359,1.360263056,1.356459
2014-02-13T14:00:00Z,1.36662,1.36823,1.3663,1.36701,1.362065802,1.3603448,1.360633362,1.361382195,1.360440607,1.35696944
2014-02-13T18:00:00Z,1.36701,1.36839,1.36663,1.3679,1.362442202,1.360494408,1.360871612,1.361700137,1.360636907,1.357459462
2014-02-13T22:00:00Z,1.3679,1.36907,1.36751,1.36804,1.36280335,1.360643826,1.361106641,1.362009398,1.360831725,1.357929884
2014-02-14T02:00:00Z,1.36804,1.36875,1.36736,1.36803,1.363140553,1.360790087,1.361333637,1.362303086,1.361021154,1.358381489
2014-02-14T06:00:00Z,1.36803,1.37139,1.36754,1.36913,1.363526969,1.360955234,1.361589255,1.362636106,1.361234544,1.358815029
2014-02-14T10:00:00Z,1.36913,1.37148,1.36839,1.36908,1.363885229,1.36111612,1.361834853,1.362950443,1.361441004,1.359569527
2014-02-14T14:00:00Z,1.36908,1.37065,1.36827,1.36952,1.364248763,1.361282533,1.362086825,1.363270909,1.361653609,1.360522365
2014-02-14T18:00:00Z,1.36952,1.37013,1.36909,1.36909,1.364561101,1.361437137,1.362316438,1.363554767,1.361849303,1.361398976
2014-02-16T22:00:00Z,1.37093,1.37242,1.3695,1.37216,1.365051352,1.361649471,1.362639177,1.363974534,1.362120638,1.362205458
2014-02-17T02:00:00Z,1.37216,1.3724,1.37046,1.37063,1.365411265,1.361827303,1.362901171,1.364299191,1.362344568,1.363226912
2014-02-17T06:00:00Z,1.37063,1.37187,1.36935,1.37001,1.365707957,1.361989337,1.363134248,1.364577767,1.36254629,1.364146221
2014-02-17T10:00:00Z,1.37001,1.37109,1.36935,1.37024,1.366000347,1.362152716,1.363367223,1.364853974,1.362748756,1.364973599
2014-02-17T14:00:00Z,1.37024,1.37107,1.36919,1.36959,1.366231938,1.362299989,1.363571249,1.365084999,1.362928789,1.365718239
2014-02-17T18:00:00Z,1.36959,1.37101,1.36959,1.3705,1.366507297,1.362462365,1.363798421,1.365349146,1.363128031,1.366388415
2014-02-17T22:00:00Z,1.3705,1.37091,1.36945,1.37017,1.3667436,1.362614992,1.364007325,1.365584309,1.363313346,1.366991573
2014-02-18T02:00:00Z,1.37017,1.37172,1.36997,1.37093,1.36701369,1.362779645,1.364234298,1.365845075,1.363513784,1.367534416
2014-02-18T06:00:00Z,1.37093,1.37269,1.37043,1.37242,1.367362485,1.362970544,1.364502682,1.366165803,1.363748159,1.368022975
2014-02-18T10:00:00Z,1.37242,1.37487,1.37071,1.3743,1.367810066,1.363194889,1.364823905,1.366562593,1.364025839,1.368583018
2014-02-18T14:00:00Z,1.3743,1.37703,1.37422,1.37537,1.368297804,1.363435981,1.365169679,1.366992223,1.364324369,1.369463195
2014-02-18T18:00:00Z,1.37537,1.37599,1.37537,1.37575,1.368778591,1.363679823,1.365516575,1.367419431,1.364625044,1.370673884
2014-02-18T22:00:00Z,1.37575,1.37732,1.37568,1.37692,1.369303843,1.363942004,1.365890457,1.367882874,1.364948595,1.371690862
2014-02-19T02:00:00Z,1.37692,1.37698,1.3759,1.37652,1.369769401,1.364191073,1.366238967,1.368304197,1.365253106,1.372704107
2014-02-19T06:00:00Z,1.37652,1.37673,1.37478,1.37485,1.370097182,1.364402141,1.366521296,1.368623504,1.365505656,1.373534968
2014-02-19T10:00:00Z,1.37485,1.37547,1.37391,1.37463,1.370389622,1.364604673,1.366787155,1.368916504,1.36574577,1.37732
2014-02-19T14:00:00Z,1.37463,1.37652,1.37422,1.37522,1.370701259,1.364814878,1.367063642,1.369223992,1.365995092,1.3772518
2014-02-19T18:00:00Z,1.37522,1.37523,1.37242,1.37327,1.370866984,1.364982306,1.367267129,1.369421358,1.366186537,1.377184964
2014-02-19T22:00:00Z,1.37327,1.37426,1.37284,1.37422,1.371083308,1.36516523,1.367495092,1.369655438,1.366397944,1.376994365
2014-02-20T02:00:00Z,1.37422,1.37577,1.37405,1.37536,1.371359224,1.365367107,1.367752958,1.369933709,1.366633787,1.376811391
2014-02-20T06:00:00Z,1.37536,1.37624,1.36855,1.37014,1.371280564,1.36546162,1.367831222,1.369943772,1.366726056,1.376635735
2014-02-20T10:00:00Z,1.37014,1.3721,1.36894,1.3714,1.37128827,1.365579212,1.367948231,1.370014808,1.366849055,1.37624
2014-02-20T14:00:00Z,1.3714,1.37286,1.36876,1.3701,1.371211607,1.365668732,1.36801878,1.370018964,1.366934606,1.37624
2014-02-20T18:00:00Z,1.3701,1.37214,1.37,1.37182,1.371250858,1.365790539,1.368143411,1.370106819,1.367063169,1.3757786
2014-02-20T22:00:00Z,1.37182,1.37213,1.3715,1.37175,1.371283061,1.365908548,1.368261659,1.370186974,1.367186506,1.375344884
2014-02-21T02:00:00Z,1.37175,1.37205,1.37141,1.37147,1.371295121,1.366018676,1.368366851,1.370249561,1.36729923,1.374937191
2014-02-21T06:00:00Z,1.37147,1.37248,1.37019,1.37169,1.371320597,1.36613098,1.368475807,1.370319826,1.367414777,1.37455396
2014-02-21T10:00:00Z,1.37169,1.37217,1.37039,1.37146,1.371329591,1.366236505,1.368573649,1.370375444,1.36752123,1.374193722
2014-02-21T14:00:00Z,1.37146,1.37586,1.37081,1.37352,1.371470908,1.366380732,1.368735825,1.370528837,1.367679092,1.36855
2014-02-21T18:00:00Z,1.37352,1.37478,1.37345,1.37364,1.371610849,1.36652448,1.368896617,1.370680601,1.367835958,1.3686962
2014-02-23T22:00:00Z,1.37295,1.37424,1.37281,1.37304,1.371703053,1.366653501,1.369032466,1.370795694,1.367972907,1.368839476
2014-02-24T02:00:00Z,1.37304,1.37419,1.37302,1.37376,1.371835759,1.366794223,1.369187467,1.370940294,1.368125199,1.368979886
2014-02-24T06:00:00Z,1.37376,1.37714,1.37319,1.37622,1.372118613,1.366980872,1.369418042,1.371197841,1.36833822,1.369117489
2014-02-24T10:00:00Z,1.37622,1.37663,1.37163,1.37239,1.372136122,1.367087984,1.369515483,1.371255995,1.368444845,1.369438389
2014-02-24T14:00:00Z,1.37239,1.37475,1.37083,1.37364,1.372233146,1.367217727,1.369650713,1.371372288,1.36858156,1.369746454
