time,open,high,low,close,%K,%D,ATR
2020-01-03T02:00:00+07:00,1.31398,1.31408,1.3128,1.3129,23.64979178,25.01835745,0.002705714
2020-01-03T03:00:00+07:00,1.3129,1.31457,1.31287,1.31389,26.3990022,23.09337918,0.002602143
2020-01-03T04:00:00+07:00,1.31389,1.31422,1.31349,1.31356,38.34423039,29.46434145,0.002512857
2020-01-03T05:00:00+07:00,1.31356,1.31468,1.3131,1.3133,44.79040577,36.51121279,0.002472143
2020-01-03T06:00:00+07:00,1.3133,1.31483,1.31308,1.31472,65.84770071,49.66077896,0.002475714
2020-01-03T07:00:00+07:00,1.31472,1.31572,1.31399,1.31549,74.3055451,61.64788386,0.002528571
2020-01-03T08:00:00+07:00,1.31549,1.31602,1.31345,1.31378,70.10687639,70.0867074,0.002549286
2020-01-03T09:00:00+07:00,1.31378,1.31437,1.31226,1.3128,43.36701683,62.59314611,0.002541429
2020-01-03T10:00:00+07:00,1.3128,1.31378,1.3127,1.31361,24.69182709,46.0552401,0.002434286
2020-01-03T11:00:00+07:00,1.31361,1.31375,1.31246,1.3126,19.76950355,29.27611582,0.002225
2020-01-03T12:00:00+07:00,1.3126,1.31293,1.31158,1.31212,19.03632356,21.16588473,0.001970714
2020-01-03T13:00:00+07:00,1.31212,1.31237,1.31047,1.31233,22.96567435,20.59050048,0.001632143
2020-01-03T14:00:00+07:00,1.31233,1.31235,1.30827,1.30915,25.27514391,22.42571394,0.001787143
2020-01-03T15:00:00+07:00,1.30915,1.31179,1.30866,1.30978,30.4060047,26.21560765,0.001877143
2020-01-03T16:00:00+07:00,1.30978,1.31007,1.30668,1.3068,15.1485688,23.60990581,0.002027857
2020-01-03T17:00:00+07:00,1.3068,1.3088,1.30679,1.30783,16.56188028,20.70548459,0.00205
2020-01-03T18:00:00+07:00,1.30783,1.30789,1.30534,1.30589,9.992276896,13.90090866,0.00218
2020-01-03T19:00:00+07:00,1.30589,1.30823,1.3054,1.30803,23.25408568,16.60274762,0.002269286
2020-01-03T20:00:00+07:00,1.30803,1.31098,1.3072,1.30724,27.74643467,20.33093241,0.002414286
2020-01-03T21:00:00+07:00,1.30724,1.30897,1.3068,1.30696,34.70559129,28.56870388,0.002445714
2020-01-03T22:00:00+07:00,1.30696,1.30943,1.30691,1.30717,31.61938534,31.3571371,0.002442143
2020-01-03T23:00:00+07:00,1.30717,1.30991,1.30694,1.30898,41.77597295,36.03364986,0.002503571
2020-01-04T00:00:00+07:00,1.30898,1.3094,1.30804,1.30883,48.38970264,40.59502031,0.002523571
2020-01-04T01:00:00+07:00,1.30883,1.30902,1.30728,1.30828,53.43690794,47.86752784,0.002555714
