time,open,high,low,close,%K,%D
2020-01-02T15:00:00Z,142.88,142.995,142.672,142.775,8.948402252,7.687668024
2020-01-02T15:30:00Z,142.775,142.907,142.674,142.805,15.54833526,10.91785013
2020-01-02T16:00:00Z,142.805,142.816,142.481,142.556,13.85822149,12.78498633
2020-01-02T16:30:00Z,142.556,142.556,142.27,142.344,13.38577343,14.26411006
2020-01-02T17:00:00Z,142.344,142.508,142.316,142.478,16.08624673,14.44341388
2020-01-02T17:30:00Z,142.478,142.548,142.426,142.545,27.29595668,18.92265895
2020-01-02T18:00:00Z,142.545,142.575,142.42,142.57,42.26860824,28.55027055
2020-01-02T18:30:00Z,142.57,142.647,142.559,142.594,61.3526047,43.63905654
2020-01-02T19:00:00Z,142.594,142.6,142.506,142.567,72.23917174,58.62012823
2020-01-02T19:30:00Z,142.567,142.627,142.511,142.515,67.87422685,67.15533443
2020-01-02T20:00:00Z,142.515,142.63,142.511,142.63,70.0640164,70.05913833
2020-01-02T20:30:00Z,142.63,142.659,142.56,142.633,72.45592314,70.13138879
2020-01-02T21:00:00Z,142.633,142.66,142.586,142.624,84.04697526,75.52230493
2020-01-02T21:30:00Z,142.624,142.648,142.583,142.612,75.80504916,77.43598252
2020-01-02T22:00:00Z,142.612,142.639,142.529,142.571,61.55902263,73.80368235
2020-01-02T22:30:00Z,142.571,142.708,142.541,142.556,41.04583005,59.46996728
2020-01-02T23:00:00Z,142.556,142.738,142.522,142.733,51.01248015,51.20577761
2020-01-02T23:30:00Z,142.733,142.783,142.69,142.701,60.45045318,50.83625446
2020-01-03T00:00:00Z,142.701,142.734,142.618,142.689,76.750745,62.73789278
2020-01-03T00:30:00Z,142.689,142.753,142.594,142.61,55.42784163,64.20967994
2020-01-03T01:00:00Z,142.61,142.668,142.517,142.558,37.70489442,56.62782702
2020-01-03T01:30:00Z,142.558,142.577,142.099,142.154,19.05698153,37.39657253
2020-01-03T02:00:00Z,142.154,142.225,141.993,142.003,8.256752994,21.67287632
2020-01-03T02:30:00Z,142.003,142.096,141.773,141.86,6.078092056,11.13060886
2020-01-03T03:00:00Z,141.86,141.948,141.811,141.837,5.781392828,6.705412626
2020-01-03T03:30:00Z,141.837,142.11,141.832,142.109,19.2731446,10.37754316
2020-01-03T04:00:00Z,142.109,142.172,142.036,142.097,40.20776623,21.75410122
2020-01-03T04:30:00Z,142.097,142.117,141.912,141.934,51.27444597,36.91845226
2020-01-03T05:00:00Z,141.934,141.996,141.784,141.818,40.26505991,43.91575737
2020-01-03T05:30:00Z,141.818,141.949,141.814,141.87,23.75957075,38.43302554
2020-01-03T06:00:00Z,141.87,141.881,141.652,141.743,16.14261168,26.72241411
2020-01-03T06:30:00Z,141.743,141.922,141.742,141.919,32.36143443,24.08787229
2020-01-03T07:00:00Z,141.919,141.919,141.564,141.619,29.21694544,25.90699718
2020-01-03T07:30:00Z,141.619,141.658,141.195,141.313,28.60023456,30.05953815
2020-01-03T08:00:00Z,141.313,141.72,141.261,141.709,33.02762064,30.28160022
2020-01-03T08:30:00Z,141.709,141.717,141.412,141.445,40.2464253,33.9580935
2020-01-03T09:00:00Z,141.445,141.496,141.258,141.342,41.79775864,38.3572682
2020-01-03T09:30:00Z,141.342,141.413,141.2,141.22,19.81788921,33.95402438
2020-01-03T10:00:00Z,141.22,141.474,141.22,141.435,23.41935995,28.3450026
2020-01-03T10:30:00Z,141.435,141.448,141.235,141.312,23.8725518,22.36993365
2020-01-03T11:00:00Z,141.312,141.336,141.227,141.277,30.95642138,26.08277771
2020-01-03T11:30:00Z,141.277,141.277,141.001,141.072,20.89584243,25.2416052
2020-01-03T12:00:00Z,141.072,141.276,141.025,141.194,27.27582233,26.37602871
2020-01-03T12:30:00Z,141.194,141.407,141.186,141.375,46.49428576,31.55531684
2020-01-03T13:00:00Z,141.375,141.759,141.375,141.575,66.73262671,46.83424494
2020-01-03T13:30:00Z,141.575,141.575,141.38,141.386,70.06201807,61.09631018
2020-01-03T14:00:00Z,141.386,141.619,141.343,141.389,58.70281035,65.16581838
2020-01-03T14:30:00Z,141.389,141.584,141.387,141.418,46.95716453,58.57399765
2020-01-03T15:00:00Z,141.418,141.551,141.175,141.442,45.26637164,50.30878217
2020-01-03T15:30:00Z,141.442,141.484,141.195,141.222,32.26447329,41.49600315
2020-01-03T16:00:00Z,141.222,141.388,141.164,141.359,33.05396884,36.86160459
2020-01-03T16:30:00Z,141.359,141.4,141.291,141.3,28.60789361,31.30877858
2020-01-03T17:00:00Z,141.3,141.354,141.206,141.258,33.17583364,31.61256536
2020-01-03T17:30:00Z,141.258,141.339,141.207,141.309,33.99428602,31.92600442
2020-01-03T18:00:00Z,141.309,141.342,141.153,141.159,24.01035183,30.3934905
2020-01-03T18:30:00Z,141.159,141.352,141.015,141.342,44.22557158,34.07673648
2020-01-03T19:00:00Z,141.342,141.399,141.266,141.33,56.46515491,41.56702611
2020-01-03T19:30:00Z,141.33,141.356,141.251,141.263,77.18321609,59.29131419
2020-01-03T20:00:00Z,141.263,141.333,141.248,141.284,72.22222222,68.62353107
2020-01-03T20:30:00Z,141.284,141.343,141.261,141.31,70.48611111,73.29718314
2020-01-03T21:00:00Z,141.31,141.356,141.298,141.342,69.70888521,70.80573951
2020-01-03T21:30:00Z,141.342,141.384,141.288,141.331,66.70132802,68.96544145
2020-01-05T22:00:00Z,141.128,141.189,140.955,140.97,42.2591903,59.55646784
2020-01-05T22:30:00Z,140.97,141.029,140.868,140.876,22.02543429,43.6619842
2020-01-05T23:00:00Z,140.876,141.054,140.817,140.999,12.38188551,25.55550336
2020-01-05T23:30:00Z,140.999,141.237,140.997,141.192,33.26223972,22.55651984
