time,open,high,low,close,%K,%D
2009-02-05T13:00:00+07:00,44.75,45,44.75,44.75,70,NaN
2009-02-06T09:00:00+07:00,45.25,46,45.25,45.75,78.57142857,76.56084656
2009-02-06T13:00:00+07:00,45.75,46.25,45.75,45.75,75.79365079,74.78835979
2009-02-10T09:00:00+07:00,45.75,46,45,45,66.07142857,73.47883598
2009-02-10T13:00:00+07:00,45,45.5,44.75,44.75,37.5,59.78835979
2009-02-11T09:00:00+07:00,44.25,45.25,44.25,45,25,42.85714286
2009-02-11T13:00:00+07:00,45,45.75,45,45.25,29.16666667,30.55555556
2009-02-12T09:00:00+07:00,45.25,45.5,45,45.25,48.21428571,34.12698413
2009-02-12T13:00:00+07:00,45.25,45.5,45,45.25,57.93650794,45.10582011
2009-02-13T09:00:00+07:00,45.75,46.5,45.75,46.25,70.8994709,59.01675485
2009-02-13T13:00:00+07:00,46.25,47,46.25,47,85.18518519,71.34038801
2009-02-16T09:00:00+07:00,47,47.25,46.5,47.25,96.2962963,84.12698413
2009-02-16T13:00:00+07:00,47,47.5,46.75,47.25,96.66666667,92.71604938
2009-02-17T09:00:00+07:00,46.75,47,46,46.25,72.85714286,88.60670194
2009-02-17T13:00:00+07:00,46,46,45.25,45.5,43.22751323,70.91710758
2009-02-18T09:00:00+07:00,45.25,45.75,45.25,45.5,16.93121693,44.33862434
2009-02-18T13:00:00+07:00,45.5,46.25,45.5,46,18.51851852,26.22574956
2009-02-19T09:00:00+07:00,46,46.5,45.75,46.25,33.86243386,23.10405644
2009-02-19T13:00:00+07:00,46.25,46.75,46.25,46.75,63.49206349,38.62433862
2009-02-20T09:00:00+07:00,46,46.25,45.5,45.5,57.93650794,51.76366843
2009-02-20T13:00:00+07:00,45.5,45.75,45.5,45.75,45.55555556,55.66137566
2009-02-23T09:00:00+07:00,45.75,46,45,45.25,16.98412698,40.15873016
2009-02-23T13:00:00+07:00,45.25,46,45.25,45.5,20.95238095,27.83068783
2009-02-24T09:00:00+07:00,45,45,44.25,44.75,22.61904762,20.18518519
2009-02-24T13:00:00+07:00,44.75,45.5,44.5,45.25,36.9047619,26.82539683
2009-02-25T09:00:00+07:00,45.5,45.75,44.75,45,41.66666667,33.73015873
2009-02-25T13:00:00+07:00,45,45.25,44.75,45,47.61904762,42.06349206
2009-02-26T09:00:00+07:00,45.25,45.5,44.5,44.75,39.68253968,42.98941799
2009-02-26T13:00:00+07:00,44.5,45.25,44.5,45.25,45.3968254,44.23280423
2009-02-27T09:00:00+07:00,45.25,45.5,44.75,45,44.44444444,43.17460317
2009-02-27T13:00:00+07:00,45,45,44.5,44.5,33.33333333,41.05820106
2009-03-02T09:00:00+07:00,43.75,44,41.75,42,15.55555556,31.11111111
2009-03-02T13:00:00+07:00,42,42,41.25,41.5,4.183006536,17.69063181
2009-03-03T09:00:00+07:00,40.25,41.25,40.25,41,8.944911298,9.561157796
2009-03-03T13:00:00+07:00,41,41,40.25,40.5,8.477075041,7.201664291
2009-03-04T09:00:00+07:00,40.5,41.5,40.5,41.25,15.40517962,10.94238865
2009-03-04T13:00:00+07:00,41.5,42.5,41.5,42,36.56920078,20.15048515
2009-03-05T09:00:00+07:00,42.25,43,41.75,42.75,65.11784512,39.03074184
2009-03-05T13:00:00+07:00,42.75,43,42,42,77.44107744,59.70937445
2009-03-06T09:00:00+07:00,41.75,42,41.25,41.75,68.18181818,70.24691358
2009-03-06T13:00:00+07:00,41.75,42,41.25,41.5,42.64069264,62.75452942
2009-03-09T09:00:00+07:00,41.5,41.75,41,41,21.42857143,44.08369408
2009-03-09T13:00:00+07:00,41,41.25,40.25,40.75,10.82251082,24.96392496
2009-03-10T09:00:00+07:00,41.25,41.25,40.75,41,20.34632035,17.53246753
2009-03-10T13:00:00+07:00,41,41.5,41,41.25,39.39393939,23.52092352
2009-03-11T09:00:00+07:00,42.5,42.5,41.75,42,59.25925926,39.66650633
2009-03-11T13:00:00+07:00,41.75,42,41.25,41.25,59.78835979,52.81385281
2009-03-12T09:00:00+07:00,41.25,41.25,40.75,41.25,50.26455026,56.43738977
2009-03-12T13:00:00+07:00,41,41.5,41,41.5,38.62433862,49.55908289
2009-03-13T09:00:00+07:00,42.25,42.5,41.75,42.5,57.14285714,48.67724868
2009-03-13T13:00:00+07:00,42.25,42.75,42,42.5,76.78571429,57.51763668
2009-03-16T09:00:00+07:00,42.75,43.5,42.5,43,89.77272727,74.56709957
2009-03-16T13:00:00+07:00,43,43.5,43,43.25,86.43939394,84.33261183
