time,open,high,low,close,Basis,Upper1,Lower1,Upper2.5,Lower2.5,Upper2,Lower2
1389088800,0.89193,0.89401,0.8912,0.89155,0.8939735,0.897408367,0.890538633,0.902560668,0.885386332,0.900843234,0.887103766
1389103200,0.89155,0.89353,0.88934,0.89227,0.894119,0.897414151,0.890823849,0.902356877,0.885881123,0.900709302,0.887528698
1389117600,0.89227,0.89305,0.89157,0.89268,0.894405,0.897288955,0.891521045,0.901614887,0.887195113,0.900172909,0.888637091
1389132000,0.89268,0.89294,0.89022,0.8924,0.894446,0.89729512,0.89159688,0.9015688,0.8873232,0.90014424,0.88874776
1389146400,0.8924,0.89374,0.89127,0.89242,0.8945165,0.897296328,0.891736672,0.90146607,0.88756693,0.900076156,0.888956844
1389160800,0.89242,0.89334,0.8908,0.89203,0.8946445,0.897241967,0.892047033,0.901138167,0.888150833,0.899839434,0.889449566
1389175200,0.89203,0.8939,0.89119,0.89352,0.8944555,0.896989618,0.891921382,0.900790795,0.888120205,0.899523736,0.889387264
1389189600,0.89352,0.89528,0.88973,0.89044,0.8940165,0.896445537,0.891587463,0.900089094,0.887943906,0.898874575,0.889158425
1389204000,0.89044,0.89204,0.88966,0.8901,0.893529,0.895703403,0.891354597,0.898965008,0.888092992,0.897877806,0.889180194
1389218400,0.8901,0.89128,0.88829,0.8894,0.893096,0.895185611,0.891006389,0.898320027,0.887871973,0.897275222,0.888916778
1389232800,0.8894,0.88943,0.88648,0.88742,0.892756,0.895164019,0.890347981,0.898776047,0.886735953,0.897572037,0.887939963
1389247200,0.88742,0.88845,0.88673,0.88767,0.892315,0.894805041,0.889824959,0.898540103,0.886089897,0.897295082,0.887334918
1389261600,0.88767,0.88995,0.88672,0.8891,0.892051,0.894587574,0.889514426,0.898392436,0.885709564,0.897124149,0.886977851
1389276000,0.8891,0.88968,0.8874,0.88945,0.8917565,0.894235383,0.889277617,0.897953708,0.885559292,0.896714267,0.886798733
1389290400,0.88945,0.89055,0.88836,0.88976,0.8914985,0.893902083,0.889094917,0.897507458,0.885489542,0.896305667,0.886691333
1389304800,0.88976,0.8902,0.88757,0.88977,0.891151,0.893258757,0.889043243,0.896420392,0.885881608,0.895366514,0.886935486
1389319200,0.88977,0.89104,0.88895,0.89017,0.890826,0.892517793,0.889134207,0.895055483,0.886596517,0.894209586,0.887442414
1389333600,0.89017,0.89064,0.88887,0.88947,0.8906625,0.892319062,0.889005938,0.894803906,0.886521094,0.893975625,0.887349375
1389348000,0.88947,0.89466,0.88795,0.8913,0.8906425,0.892288798,0.888996202,0.894758246,0.886526754,0.893935097,0.887349903
