time,open,high,low,close,%K,%D
2020-12-01T11:00:00+07:00,915.1,921,915.1,920.6,85.18817204,78.91577061
2020-12-01T11:30:00+07:00,920.8,922.9,919.2,921,87.06486785,86.09151509
2020-12-01T12:00:00+07:00,921.2,922.5,919.7,922.3,91.32458663,87.85920884
2020-12-01T14:00:00+07:00,922.9,922.9,919.4,920.7,85.10663791,87.8320308
2020-12-01T14:30:00+07:00,920.4,921.3,918.2,921,82.90598291,86.44573581
2020-12-01T15:00:00+07:00,920.9,921,914.1,918.8,69.2987568,79.10379254
2020-12-01T15:30:00+07:00,918.7,920.3,914.5,916.5,52.10761461,68.1041181
2020-12-01T16:00:00+07:00,916.3,916.3,912.3,914.8,34.75557461,52.05398201
2020-12-01T16:30:00+07:00,914.6,916,914.1,915.9,30.28587764,39.04968896
2020-12-02T09:30:00+07:00,912,912.7,909,910.9,26.47274633,30.50473286
2020-12-02T10:00:00+07:00,910.8,918.9,910.5,915.8,38.67010816,31.80957738
2020-12-02T10:30:00+07:00,916,920,914.3,918.4,53.82162331,39.65482594
2020-12-02T11:00:00+07:00,918.8,921.4,918.5,920.2,78.65137242,57.0477013
2020-12-02T11:30:00+07:00,920.3,921.2,917.8,919.5,86.81818182,73.09705918
2020-12-02T12:00:00+07:00,919.7,919.7,917,918,81.26911315,82.24622246
2020-12-02T14:00:00+07:00,919.9,919.9,913,913.5,53.14571325,73.74433607
2020-12-02T14:30:00+07:00,913,918,911,915.3,38.70195808,57.70559483
2020-12-02T15:00:00+07:00,915.2,920.6,913.3,917.5,37.00800833,42.95189322
2020-12-02T15:30:00+07:00,917.1,919.8,916.1,917.6,57.94054801,44.55017148
2020-12-02T16:00:00+07:00,917.3,917.8,914.2,914.3,55.61683007,50.18846214
2020-12-02T16:30:00+07:00,914,915.6,913.8,914.4,46.18055556,53.24597788
2020-12-03T09:30:00+07:00,919,921,916.7,919,47.93921356,49.91219973
2020-12-03T10:00:00+07:00,919,920,916,919,60.5549543,51.55824114
2020-12-03T10:30:00+07:00,919.1,920.4,916.8,916.8,62.63828764,57.04415184
2020-12-03T11:00:00+07:00,916.7,919.6,916.7,918.1,57.87037037,60.35453744
2020-12-03T11:30:00+07:00,918,918.3,915.6,918.2,49.84567901,56.78477901
2020-12-03T12:00:00+07:00,918.3,918.7,916.9,917.4,48.45679012,52.05761317
2020-12-03T14:00:00+07:00,918.5,919.5,917.6,918.9,51.46604938,49.92283951
2020-12-03T14:30:00+07:00,918.9,927.8,918.8,926.8,66.01775956,55.31353302
2020-12-03T15:00:00+07:00,927,930.9,926.9,929,82.71165934,66.73182276
2020-12-03T15:30:00+07:00,929.3,930,927,928,86.22356411,78.317661
2020-12-03T16:00:00+07:00,928.1,929.3,927.3,928.4,82.69014038,83.87512128
2020-12-03T16:30:00+07:00,928.3,928.5,923.5,925.5,71.95354088,80.28908179
2020-12-04T09:30:00+07:00,925.1,930.8,923.8,930,74.80424873,76.48264333
2020-12-04T10:00:00+07:00,930.1,934.4,929.5,933.5,78.31761931,75.0251363
2020-12-04T10:30:00+07:00,933.8,935,932.6,933.4,88.55597121,80.55927975
2020-12-04T11:00:00+07:00,933.5,934.5,931.6,933.8,89.13176439,85.3351183
2020-12-04T11:30:00+07:00,934,940,933.9,939.2,90.23796744,89.30856768
2020-12-04T12:00:00+07:00,939.6,941.5,937.1,938,85.15342637,88.17438607
2020-12-04T14:00:00+07:00,938,939.4,936.2,937,73.48017209,82.95718863
2020-12-04T14:30:00+07:00,937,937.6,933.9,936.4,57.95454545,72.19604797
2020-12-04T15:00:00+07:00,936.2,939.2,936,938.8,55.83466241,62.42312665
2020-12-04T15:30:00+07:00,938.5,938.9,934.7,936.2,47.74056353,53.84325713
2020-12-04T16:00:00+07:00,936.1,937.5,932.8,937.1,53.29611909,52.29044834
2020-12-04T16:30:00+07:00,936.7,938.7,936.2,938.6,62.01322435,54.34996899
2020-12-08T09:30:00+07:00,938,938,927.1,932.2,65.97509183,60.42814509
2020-12-08T10:00:00+07:00,932.2,933.8,928.5,933.1,61.20707265,63.06512961
2020-12-08T10:30:00+07:00,933.2,941,932.2,940.6,63.37284004,63.51833484
2020-12-08T11:00:00+07:00,940.8,944.5,939.7,943.7,81.12401955,68.56797741
2020-12-08T11:30:00+07:00,943.8,948.3,943.7,947.1,95.62140788,80.03942249
2020-12-08T12:00:00+07:00,947.5,951.5,946.5,950,94.40672745,90.38405163
2020-12-08T14:00:00+07:00,949.8,950.5,947.8,949.5,92.48506307,94.17106614
2020-12-08T14:30:00+07:00,949.6,955.8,949.6,954.2,91.05922612,92.65033888
2020-12-08T15:00:00+07:00,954.5,955.4,951.1,953.4,86.62156892,90.05528604
2020-12-08T15:30:00+07:00,953.9,955.3,946.6,951.5,74.66361397,84.114803
2020-12-08T16:00:00+07:00,951,953.5,949.8,952.7,66.74435931,76.0098474
2020-12-08T16:30:00+07:00,952.6,952.8,950.1,950.6,54.51534985,65.30777438
2020-12-09T09:30:00+07:00,958,962.2,955.4,962,69.5001858,63.58663166
2020-12-09T10:00:00+07:00,961.9,963.8,958.5,961.1,75.49951172,66.50501579
2020-12-09T10:30:00+07:00,961.2,962.6,955,958.3,81.24485334,75.41485029
2020-12-09T11:00:00+07:00,958.5,960.9,957.7,960.4,73.39969768,76.71468758
2020-12-09T11:30:00+07:00,960.1,960.5,950,950.3,46.02356017,66.8893704
2020-12-09T12:00:00+07:00,950.2,955.2,950,953.6,34.48111711,51.30145832
2020-12-09T14:00:00+07:00,951.4,953.8,951,952.5,16.03404647,32.17957458
2020-12-09T14:30:00+07:00,953,957,952,954.2,28.15344548,26.22286969
2020-12-09T15:00:00+07:00,954.1,959.5,953.1,958.2,45.48953934,29.89234377
2020-12-09T15:30:00+07:00,958.5,959.4,956.4,959,70.4547301,48.03257164
2020-12-09T16:00:00+07:00,958.8,959.3,953,953.9,68.98324242,61.64250395
2020-12-09T16:30:00+07:00,953.5,957.1,952.9,956.1,61.17371861,66.87056371
2020-12-14T09:30:00+07:00,958,960.9,954.2,957.2,47.51143791,59.22279965
2020-12-14T10:00:00+07:00,957.4,960.3,953.8,956.5,51.13888889,53.2746818
2020-12-14T10:30:00+07:00,956.1,957.7,954.9,955.5,43.75,47.4667756
2020-12-14T11:00:00+07:00,955.6,955.7,948.7,948.8,26.10655738,40.33181542
2020-12-14T11:30:00+07:00,948.8,951.8,945.1,949.6,20.60022826,30.15226188
2020-12-14T12:00:00+07:00,949.5,950,944.8,946.9,14.28302396,20.32993653
2020-12-14T14:00:00+07:00,946,949.3,946,948.9,24.60411516,19.82912246
2020-12-14T14:30:00+07:00,949,951,948,948.3,25.81380819,21.56698244
2020-12-14T15:00:00+07:00,948.1,949,941.9,946,35.10239296,28.50677211
2020-12-14T15:30:00+07:00,946,946.3,941.1,941.8,26.86498008,29.26039374
2020-12-14T16:00:00+07:00,941.7,944,941.5,942.9,22.22222222,28.06319842
2020-12-14T16:30:00+07:00,942.8,944.5,942.5,944.3,19.19191919,22.75970716
2020-12-15T09:30:00+07:00,935.1,938,935,935.4,17.78739779,19.7338464
2020-12-15T10:00:00+07:00,935.3,939.4,933.2,939,26.48506145,21.15479281
2020-12-15T10:30:00+07:00,938.8,939.6,934.7,936.8,26.3301197,23.53419298
2020-12-15T11:00:00+07:00,936.8,937.4,933.8,934.6,29.50753226,27.44090447
2020-12-15T11:30:00+07:00,934.6,934.9,931.2,933.2,22.68577047,26.17447414
2020-12-15T12:00:00+07:00,933,934.2,930.8,932.6,18.88448327,23.69259533
2020-12-15T14:00:00+07:00,933,935.3,932.9,933,23.08802309,21.55275894
2020-12-15T14:30:00+07:00,933,939,932.1,937.4,41.98078344,27.98442993
2020-12-15T15:00:00+07:00,937.4,941.2,936.8,940.8,67.21388368,44.09423007
2020-12-15T15:30:00+07:00,941,945.4,939.4,943.5,87.87598413,65.69021709
2020-12-15T16:00:00+07:00,943.5,944.5,942,942.6,87.36250531,80.81745771
2020-12-15T16:30:00+07:00,942.6,944.3,942,943.9,84.8851581,86.70788252
2020-12-16T09:30:00+07:00,949,951.2,947.8,951.2,89.22305764,87.15690702
2020-12-16T10:00:00+07:00,951.1,952,946.7,948.4,86.71679198,86.94166924
2020-12-16T10:30:00+07:00,948.4,949.5,945.2,945.9,70.14285714,82.02756892
2020-12-16T11:00:00+07:00,946,947.5,945,946.5,51.80952381,69.55639098
2020-12-16T11:30:00+07:00,946.6,948.8,946.3,947.5,39.9047619,53.95238095
2020-12-16T12:00:00+07:00,947.3,948.2,941,942,29.93506494,40.54978355
2020-12-16T14:00:00+07:00,941.8,942.2,939.7,942.1,23.09833024,30.97938569
2020-12-16T14:30:00+07:00,942.3,945.2,941.9,943.2,24.01408116,25.68249211
2020-12-16T15:00:00+07:00,943.1,949.7,942,947.8,47.98377813,31.69872984
2020-12-16T15:30:00+07:00,948,950,946.3,947.2,64.09235748,45.36340559
2020-12-16T16:00:00+07:00,947.1,948.2,946,947.8,77.48543689,63.18719083
2020-12-16T16:30:00+07:00,947.8,948.5,946.1,948,75.58831755,72.38870398
2020-12-17T09:30:00+07:00,945,952,943.4,952,84.64980622,79.24118689
2020-12-17T10:00:00+07:00,952,956,950.5,954.8,88.59494415,82.94435598
2020-12-17T10:30:00+07:00,954.7,955,952.7,953.7,90.74074074,87.99516371
2020-12-17T11:00:00+07:00,953.6,954.3,949.8,952.3,80.95238095,86.76268861
2020-12-17T11:30:00+07:00,952.4,952.6,950.4,951.7,72.75132275,81.48148148
2020-12-17T12:00:00+07:00,951.8,952,948.3,951.9,61.08706109,71.5969216
2020-12-17T14:00:00+07:00,952.6,957.2,951.5,954,58.89040215,64.24292866
2020-12-17T14:30:00+07:00,954.3,954.4,948,950.6,46.35302005,55.44349443
2020-12-17T15:00:00+07:00,950.8,951.8,949.1,951.4,43.08744504,49.44362241
2020-12-17T15:30:00+07:00,951.4,952.8,949.5,950.8,31.88405797,40.44150769
2020-12-17T16:00:00+07:00,950.5,951.1,946.4,947,24.31561997,33.09570766
2020-12-17T16:30:00+07:00,947,947.2,943.1,943.1,11.99677939,22.73215244
2020-12-18T09:30:00+07:00,941,948.1,940.6,948.1,22.34365513,19.55201816
2020-12-18T10:00:00+07:00,948,949.9,946.1,947.7,39.89071038,24.74371497
2020-12-18T10:30:00+07:00,947.9,948,943.3,943.4,48.77959927,37.00465493
2020-12-18T11:00:00+07:00,943.3,944.3,941,942.2,34.02256302,40.89762422
2020-12-18T11:30:00+07:00,942.1,943,937.4,939.2,19.42365591,34.07527273
2020-12-18T12:00:00+07:00,939.2,940.5,938,939.7,16.66810036,23.37143976
2020-12-18T14:00:00+07:00,939.5,941.7,939.1,940.3,20.05283019,18.71486215
2020-12-18T14:30:00+07:00,940.2,940.6,938.3,939.5,25.39775772,20.70622942
2020-12-18T15:00:00+07:00,939.4,941.9,938.9,939.7,32.95490058,26.13516283
2020-12-18T15:30:00+07:00,939.7,945.6,939.3,945.1,54.9757546,37.77613764
2020-12-18T16:00:00+07:00,945,945.6,940.7,940.9,56.70297319,48.21120946
2020-12-18T16:30:00+07:00,940.9,944.4,940,943.8,68.12665225,59.93512668
2020-12-21T09:30:00+07:00,910,916.3,907.3,911.9,40.98978266,55.27313603
2020-12-21T10:00:00+07:00,912.1,917.4,911.6,915.8,36.5153737,48.5439362
2020-12-21T10:30:00+07:00,915.9,922.2,915.4,921.7,23.93385553,33.81300396
2020-12-21T11:00:00+07:00,921.8,923,916.1,916.7,28.37601665,29.60841529
2020-12-21T11:30:00+07:00,916.7,918,913.1,914.5,36.26490369,29.52492529
2020-12-21T12:00:00+07:00,914.5,915.8,910.5,911.5,26.39893328,30.34661787
2020-12-21T14:00:00+07:00,910.5,911.8,906.9,908.7,21.67999895,28.11461197
2020-12-21T14:30:00+07:00,909,913.2,907.5,912.2,17.36645963,21.81513062
2020-12-21T15:00:00+07:00,912.2,912.5,908,908.1,18.30339656,19.11661838
2020-12-21T15:30:00+07:00,908.1,908.3,897.7,898,15.12917468,16.93301029
2020-12-21T16:00:00+07:00,897.9,900,888,888.2,4.420640056,12.6177371
2020-12-21T16:30:00+07:00,888.2,889.4,874.5,875,1.247699674,6.932504802
2020-12-22T09:30:00+07:00,884,893.5,883.4,892.1,16.13380998,7.267383236
2020-12-22T10:00:00+07:00,892.1,892.3,875.9,887,28.19667589,15.19272851
2020-12-22T10:30:00+07:00,887,891.2,883.5,889.1,46.85097999,30.39382195
2020-12-22T11:00:00+07:00,889.2,890.4,884.3,890,58.60536595,44.55100727
2020-12-22T11:30:00+07:00,890,892,888.4,891.4,75.63401038,60.36345211
2020-12-22T12:00:00+07:00,891.5,901.4,889.6,897,84.13074241,72.79003958
2020-12-22T14:00:00+07:00,895,900.6,893,899.2,86.17425902,81.9796706
2020-12-22T14:30:00+07:00,899,905,897.1,901.4,84.3544303,84.88647724
2020-12-22T15:00:00+07:00,901.4,906.5,900,900.7,79.42466465,83.31778466
2020-12-22T15:30:00+07:00,900.7,903.6,896.5,902.3,75.23747525,79.67219007
2020-12-22T16:00:00+07:00,902.5,906,900.2,903.1,72.63951497,75.76721829
2020-12-22T16:30:00+07:00,903.2,905,901.9,904.9,77.98758127,75.2881905
2020-12-23T09:30:00+07:00,903,904,896,898.5,60.87477954,70.50062526
2020-12-23T10:00:00+07:00,898.5,909.9,896.2,909.5,68.31060866,69.05765649
2020-12-23T10:30:00+07:00,909.4,912.4,905.6,911.7,72.22117776,67.13552199
2020-12-23T11:00:00+07:00,912,913.5,903.5,906.8,84.8560984,75.12929494
2020-12-23T11:30:00+07:00,906.7,907.3,897.8,903.5,66.76771196,74.61499604
2020-12-23T12:00:00+07:00,903.5,903.5,898.1,899,40.25213322,63.95864786
2020-12-23T14:00:00+07:00,900,903.2,899.9,901.5,27.53633098,44.85205872
2020-12-23T14:30:00+07:00,901.4,901.7,892,893.7,15.88627561,27.89157994
2020-12-23T15:00:00+07:00,893.5,899.5,892.3,898.4,24.43464036,22.61908232
2020-12-23T15:30:00+07:00,898.4,903.8,893.3,896,27.87844906,22.73312168
2020-12-23T16:00:00+07:00,896,901.5,894.2,897.3,40.21454156,30.84254366
2020-12-23T16:30:00+07:00,897,897.8,887.5,887.6,26.47568542,31.52289201
2020-12-24T09:30:00+07:00,894.5,896,890,894.3,29.08218086,31.92413595
2020-12-24T10:00:00+07:00,894.4,895.2,886.8,891.1,22.541802,26.03322276
2020-12-24T10:30:00+07:00,891.2,893.1,888.8,892,34.12868624,28.58422303
2020-12-24T11:00:00+07:00,892.1,898.7,890.5,896,45.99306389,34.22118404
2020-12-24T11:30:00+07:00,896,898,891.7,895.8,62.77177538,47.63117517
2020-12-24T12:00:00+07:00,895.7,902.9,894,902.4,83.2785288,64.01445602
2020-12-24T14:00:00+07:00,904,906.9,902.6,906.2,89.55241957,78.53424125
2020-12-24T14:30:00+07:00,906.2,909.3,905,906,91.82460504,88.21851781
2020-12-24T15:00:00+07:00,906.2,908.7,904.2,904.9,84.5264684,88.63449767
2020-12-24T15:30:00+07:00,905,909.1,904.5,907.2,81.24043944,85.86383763
2020-12-24T16:00:00+07:00,907.2,910.5,904.2,907.1,72.74551171,79.50413985
2020-12-24T16:30:00+07:00,906.8,907.3,904.8,906.9,62.03122599,72.00572571
2020-12-25T09:30:00+07:00,907,915.6,906.5,914.2,62.51282214,65.76318661
2020-12-25T10:00:00+07:00,914.4,916.5,909.6,912.3,65.47669988,63.34024934
2020-12-25T10:30:00+07:00,912.2,914.3,910.6,913.9,77.47824847,68.48925683
2020-12-25T11:00:00+07:00,913.9,916,911.5,913.5,73.02480717,71.99325184
2020-12-25T11:30:00+07:00,913.3,916.5,912.8,914.6,78.07358766,76.19221443
2020-12-25T12:00:00+07:00,914.7,915.5,913,914.2,74.00854701,75.03564728
2020-12-25T14:00:00+07:00,914.7,915.7,913.5,915.7,78.03578154,76.70597207
2020-12-25T14:30:00+07:00,915.6,916.3,908.8,911.4,62.2911928,71.44517378
2020-12-25T15:00:00+07:00,911.3,915.3,911,914.3,63.87849439,68.06848958
2020-12-25T15:30:00+07:00,914.2,920.4,913.6,919.6,66.09941782,64.08970167
2020-12-25T16:00:00+07:00,919.5,919.9,917,917.8,80.70607553,70.22799591
2020-12-25T16:30:00+07:00,917.8,920.9,916.6,920.5,89.12795668,78.64448335
2020-12-28T09:30:00+07:00,920,925.9,920,924.2,87.62367527,85.81923583
2020-12-28T10:00:00+07:00,924.2,924.3,916.1,918.5,75.04073909,83.93079035
2020-12-28T10:30:00+07:00,918.5,920.5,917,919.5,54.37395998,72.34612478
2020-12-28T11:00:00+07:00,919.5,919.6,906.9,907.1,25.19463583,51.53644497
2020-12-28T11:30:00+07:00,906.9,908,901.9,906.9,18.85994749,32.80951444
2020-12-28T12:00:00+07:00,907,907.2,903.8,906.9,14.73579783,19.59679372
2020-12-28T14:00:00+07:00,907,910.2,906.6,908.6,26.39208909,19.9959448
2020-12-28T14:30:00+07:00,908.7,915,906.6,911.8,38.09171245,26.40653312
2020-12-28T15:00:00+07:00,912,912.4,906.1,908.2,46.68177061,37.05519072
2020-12-28T15:30:00+07:00,908.3,911,907,908.3,48.06745929,44.28031411
2020-12-28T16:00:00+07:00,908.3,908.5,901.4,901.9,30.64888169,41.79937053
2020-12-28T16:30:00+07:00,901.8,905.6,901.7,905.3,24.17717087,34.29783728
2020-12-29T09:30:00+07:00,908.5,910.8,903.4,905,21.69340463,25.50648573
2020-12-29T10:00:00+07:00,904.9,914,904.9,912.1,48.77479275,31.54845608
2020-12-29T10:30:00+07:00,912.3,913.3,906.5,909.3,60.11544012,43.52787917
2020-12-29T11:00:00+07:00,909.2,911.9,907.7,911,74.40960124,61.0999447
2020-12-29T11:30:00+07:00,910.8,915,907.2,908.5,60.75789535,65.09431223
