time,open,high,low,close,%K,%D
2020-12-29T15:30:00+07:00,904,905,904,904.9,90.77271934,69.31740217
2020-12-29T16:00:00+07:00,905.9,910,905.9,910,99.31972789,87.55218327
2020-12-29T16:30:00+07:00,910,912,910,912,99.31972789,96.47072504
2020-12-30T09:30:00+07:00,915,922.4,915,917.6,92.23300971,96.9574885
2020-12-30T10:00:00+07:00,917.6,917.6,913,913.5,76.1098213,89.22085297
2020-12-30T10:30:00+07:00,914,914.6,912,913.5,58.13002332,75.49095144
2020-12-30T11:00:00+07:00,912.1,915.5,912,913.2,41.16583082,58.46855848
2020-12-30T11:30:00+07:00,914.2,914.2,909,909,23.95568589,41.08384668
2020-12-30T12:00:00+07:00,909,909.8,901,901,8.602150538,24.57455575
2020-12-30T14:00:00+07:00,900,901.5,897.8,898.9,2.071563089,11.54313317
2020-12-30T14:30:00+07:00,900,904,900,904,13.74764595,8.140453192
2020-12-30T15:00:00+07:00,902.8,902.8,900.2,902,22.28423132,12.70114679
2020-12-30T15:30:00+07:00,901,901,896.7,899,26.06508553,20.6989876
2020-12-30T16:00:00+07:00,899.9,900.4,899,899.5,27.1743908,25.17456921
2020-12-30T16:30:00+07:00,899.3,899.8,896,896,18.63780543,23.95909392
2021-01-04T09:30:00+07:00,884,885,878.2,883.2,19.56045588,21.79088404
2021-01-04T10:00:00+07:00,884.8,887.8,881.5,885,16.71658822,18.30494984
2021-01-04T10:30:00+07:00,885.6,890.4,885.6,888.7,32.48235398,22.91979936
2021-01-04T11:00:00+07:00,889.2,892.1,887.3,888.4,41.44802697,30.21565639
2021-01-04T11:30:00+07:00,887.8,893,887.8,893,64.83983984,46.25674027
2021-01-04T12:00:00+07:00,893.6,893.6,890,891.5,76.62228344,60.97005008
2021-01-04T14:00:00+07:00,891.6,894.8,891.6,892.8,86.96849922,76.14354083
2021-01-04T14:30:00+07:00,894.9,902.9,894.9,902.4,85.90012315,83.16363527
2021-01-04T15:00:00+07:00,904.2,906.9,902.8,905.9,89.94004642,87.6028896
2021-01-04T15:30:00+07:00,905.1,910.9,905,910.2,96.0699958,90.63672179
2021-01-04T16:00:00+07:00,910,910.6,908.5,910,95.58396772,93.86466998
2021-01-04T16:30:00+07:00,909.9,913.1,909.9,913.1,97.32916842,96.32771065
2021-01-05T09:30:00+07:00,905.1,909.5,904,908.9,84.85336285,92.588833
2021-01-05T10:00:00+07:00,909.6,919.8,907.6,915,76.28118471,86.15457199
2021-01-05T10:30:00+07:00,916.4,917.8,912,913.5,62.99004547,74.70819768
2021-01-05T11:00:00+07:00,915.2,915.7,907.5,910,55.907173,65.05946773
2021-01-05T11:30:00+07:00,911,915.4,911,914.2,54.21940928,57.70554258
2021-01-05T12:00:00+07:00,912,918,912,917.8,62.09049432,57.4056922
2021-01-05T14:00:00+07:00,916,922,916,922,82.76559981,66.35850114
2021-01-05T14:30:00+07:00,923,926.5,922,924.4,90.89573527,78.58394313
2021-01-05T15:00:00+07:00,924.8,925.7,923,925.5,94.16525184,89.27552897
2021-01-05T15:30:00+07:00,926,930,925.7,930,94.16525184,93.07541298
2021-01-05T16:00:00+07:00,930,936,929.1,936,97.84946237,95.39332201
2021-01-05T16:30:00+07:00,935.4,943,935.4,940.2,95.55555556,95.85675659
2021-01-06T09:30:00+07:00,940.3,940.3,934.8,939.5,89.72222222,94.37574671
2021-01-06T10:00:00+07:00,938.6,941.8,933.9,937,78.16152858,87.81310212
2021-01-06T10:30:00+07:00,937,939.2,933,936,65.81940228,77.90105103
2021-01-06T11:00:00+07:00,936,938.2,935,937,51.65273561,65.21122216
2021-01-06T11:30:00+07:00,936.9,937.8,934,937,45.03161107,54.16791632
2021-01-06T12:00:00+07:00,937.2,940.7,935,939.5,53.10606061,49.93013577
2021-01-06T14:00:00+07:00,941,942,938.4,938.6,60.51346801,52.88371323
2021-01-06T14:30:00+07:00,939,945.9,937,943.8,72.81293325,62.14415396
2021-01-06T15:00:00+07:00,942.5,942.6,937,940,64.99844382,66.1082817
2021-01-06T15:30:00+07:00,939.4,941.8,928.2,932,51.41401193,63.07512967
2021-01-06T16:00:00+07:00,931.8,931.8,924.4,929.5,31.87000828,49.42748801
2021-01-06T16:30:00+07:00,929.7,932.8,929.6,931.6,26.22607629,36.5033655
2021-01-07T09:30:00+07:00,942,942,937.4,940.6,48.74009711,35.61206056
2021-01-07T10:00:00+07:00,940.9,942,936.1,938.2,66.969484,47.3118858
2021-01-07T10:30:00+07:00,941.1,941.1,935,936.3,78.34457209,64.68471774
2021-01-07T11:00:00+07:00,936.7,939,936.7,937,68.56671554,71.29359055
2021-01-07T11:30:00+07:00,936.3,938.4,936,938.4,58.6208281,68.51070524
2021-01-07T12:00:00+07:00,940,944,939.6,940.3,55.71257894,60.96670753
2021-01-07T14:00:00+07:00,941.9,949,941.9,948.6,68.2010582,60.84482175
2021-01-07T14:30:00+07:00,948.1,948.5,945,946.7,79.44647945,67.78670553
2021-01-07T15:00:00+07:00,946.3,946.3,939,942.3,75.97069597,74.53941121
2021-01-07T15:30:00+07:00,941.5,945.1,938,945.1,65.1048951,73.50735684
2021-01-07T16:00:00+07:00,942.4,944.7,941.8,943.8,55.24475524,65.44011544
2021-01-07T16:30:00+07:00,944,945,942.8,943,54.96392496,58.43785844
2021-01-08T09:30:00+07:00,948.1,956,948.1,956,66.78210678,58.996929
2021-01-08T10:00:00+07:00,956.5,957.9,951.2,956.2,79.69211135,67.1460477
2021-01-08T10:30:00+07:00,955.8,958.8,954.8,958,95.58380136,80.6860065
2021-01-08T11:00:00+07:00,957.8,962,957.5,957.9,88.4657458,87.91388617
2021-01-08T11:30:00+07:00,957.5,961.8,957,961,88.91523546,90.98826087
2021-01-08T12:00:00+07:00,961.5,963.7,959.3,962.6,87.55052958,88.31050361
2021-01-08T14:00:00+07:00,963.9,967.3,963.9,965,88.5352518,88.33367228
2021-01-08T14:30:00+07:00,964.5,964.6,958.8,962.9,76.69385113,84.2598775
2021-01-08T15:00:00+07:00,961.5,962.4,960.3,961.3,60.20970874,75.14627056
2021-01-08T15:30:00+07:00,961.5,961.5,954.3,959.5,46.34304207,61.08220065
2021-01-08T16:00:00+07:00,959.5,964.2,957.7,963.8,51.6081653,52.72030537
2021-01-08T16:30:00+07:00,963.8,966,961.7,961.7,58.77492877,52.24204538
2021-01-11T09:30:00+07:00,963.8,969,963.4,968.6,77.8678993,62.75033112
2021-01-11T10:00:00+07:00,968.2,970.7,966.3,968.4,82.16746152,72.9367632
2021-01-11T10:30:00+07:00,969,971.9,966,967.3,83.62005171,81.21847084
2021-01-11T11:00:00+07:00,966.9,970.3,966.5,967,68.51400929,78.10050751
2021-01-11T11:30:00+07:00,966.7,969,964.3,969,61.81625702,71.31677267
2021-01-11T12:00:00+07:00,968.4,969.6,967,969.2,60.77227382,63.70084671
2021-01-11T14:00:00+07:00,967,967,965.2,966.6,53.53973168,58.70942084
2021-01-11T14:30:00+07:00,966.1,966.1,957,958.7,35.839599,50.05053483
2021-01-11T15:00:00+07:00,959.3,967.5,959.3,962.9,29.95683654,39.77872241
2021-01-11T15:30:00+07:00,964.9,964.9,956.3,958.7,25.88415483,30.56019679
2021-01-11T16:00:00+07:00,958.7,963.5,958.7,963.5,43.05207463,32.96435533
2021-01-11T16:30:00+07:00,963.5,964.7,960.9,961.1,41.72932331,36.88851759
2021-01-12T09:30:00+07:00,961.1,964,960,960,46.72619048,43.83586281
2021-01-12T10:00:00+07:00,961,963,958,959.8,38.86351052,42.43967477
2021-01-12T10:30:00+07:00,960.5,960.5,955.2,956.7,29.84095413,38.47688504
2021-01-12T11:00:00+07:00,956.2,961.4,955.7,960,35.67115463,34.79187309
2021-01-12T11:30:00+07:00,959.5,959.5,957.5,958.5,34.60526316,33.37245731
2021-01-12T12:00:00+07:00,958.3,960,957.6,957.8,40.45321637,36.90987805
2021-01-12T14:00:00+07:00,958,963.2,958,963.2,56.94444444,44.00097466
2021-01-12T14:30:00+07:00,963.5,965.9,962.8,964,71.56862745,56.32209609
2021-01-12T15:00:00+07:00,964.6,964.8,959.8,961.5,76.33053221,68.28120137
2021-01-12T15:30:00+07:00,962.2,964.3,962,964.1,69.10161655,72.33359207
2021-01-12T16:00:00+07:00,964.4,966.9,963.5,965.2,68.94372568,71.45862481
2021-01-12T16:30:00+07:00,965.4,965.6,964,964,72.78901966,70.27812063
2021-01-13T09:30:00+07:00,968.9,970,967.5,968.7,75.76956931,72.50077155
2021-01-13T10:00:00+07:00,968.5,970,966.1,968.2,74.63661051,74.39839983
2021-01-13T10:30:00+07:00,968.7,971.8,968.7,970.5,83.03075045,77.81231009
2021-01-13T11:00:00+07:00,970.3,970.6,969.7,970.3,80.86886006,79.51207367
2021-01-13T11:30:00+07:00,970,975.9,970,975.9,88.36886006,84.08949019
2021-01-13T12:00:00+07:00,976,976.9,974.6,976,90.81196581,86.68322864
2021-01-13T14:00:00+07:00,976.4,976.9,975.5,976,93.56368564,90.91483717
2021-01-13T14:30:00+07:00,976.4,980.5,976.4,979.4,90.16862391,91.51475845
2021-01-13T15:00:00+07:00,979,979,971.6,972.8,68.50195724,84.07808893
2021-01-13T15:30:00+07:00,973,973.3,964.6,970.9,52.03470766,70.23509627
2021-01-13T16:00:00+07:00,969.5,971.3,968,968.5,30.27253669,50.26973386
2021-01-13T16:30:00+07:00,969.1,970,968.9,969.5,31.65618449,37.98780961
2021-01-14T09:30:00+07:00,971.3,973.5,968.3,968.3,27.01345213,29.6473911
2021-01-14T10:00:00+07:00,967,970.5,963.2,968,34.37133208,31.01365623
2021-01-14T10:30:00+07:00,968,969.5,965.1,965.5,31.54216109,30.97564844
2021-01-14T11:00:00+07:00,965.4,966.3,960.6,964,31.76287599,32.55878972
2021-01-14T11:30:00+07:00,963.9,966.6,963.9,965.5,28.89039412,30.7318104
2021-01-14T12:00:00+07:00,966.3,966.3,961.6,961.7,25.15073213,28.60133408
2021-01-14T14:00:00+07:00,961.4,963.6,961.4,963,25.35396646,26.4650309
2021-01-14T14:30:00+07:00,961,965,959.9,965,38.06560208,29.52343355
2021-01-14T15:00:00+07:00,964.2,965.7,962.4,962.6,47.79473419,37.07143424
