time,open,high,low,close,%K,%D
2009-02-06T09:00:00+07:00,303.18,307.13,303.18,306.37,75.54510726,76.04149512
2009-02-06T13:00:00+07:00,307.17,310.13,306.84,309.27,77.91111263,75.87974924
2009-02-10T09:00:00+07:00,310.85,311.91,306.71,307.14,81.17285526,78.20969172
2009-02-10T13:00:00+07:00,307.42,310.16,307.4,307.98,73.51577261,77.53324683
2009-02-11T09:00:00+07:00,304.06,306.76,303.8,306.62,56.01145914,70.23336234
2009-02-11T13:00:00+07:00,306.13,310,306.13,308.72,55.94355228,61.82359468
2009-02-12T09:00:00+07:00,307.41,308.48,305.08,306.24,43.38550355,51.78017165
2009-02-12T13:00:00+07:00,305.91,307.24,305.12,305.65,39.94673605,46.42526396
2009-02-13T09:00:00+07:00,307.38,310.02,307.14,309.71,51.39681356,44.90968438
2009-02-13T13:00:00+07:00,309,310.81,308.87,310.03,70.16385401,53.83580121
2009-02-16T09:00:00+07:00,310.78,311.36,307.15,308.89,80.69076718,67.41714492
2009-02-16T13:00:00+07:00,308.84,311.18,307.88,310.58,78.18540812,76.34667644
2009-02-17T09:00:00+07:00,307.85,308.4,304.22,305.38,54.80509614,71.22709048
2009-02-17T13:00:00+07:00,304.48,304.66,302.21,303.46,39.13590026,57.37546817
2009-02-18T09:00:00+07:00,301.13,303.03,301.01,302.68,15.3476555,36.42955063
2009-02-18T13:00:00+07:00,302.87,305.02,302.87,304.22,20.45329657,24.97895078
2009-02-19T09:00:00+07:00,304.65,307.31,304.45,306.45,40.43722602,25.41272603
2009-02-19T13:00:00+07:00,306.17,308.26,306.03,306.03,58.13926389,39.67659549
2009-02-20T09:00:00+07:00,304.55,306.03,301.83,302.21,53.13536466,50.57061819
2009-02-20T13:00:00+07:00,302.3,302.88,300.55,300.62,28.90033842,46.72498899
2009-02-23T09:00:00+07:00,299.74,301.31,298.29,299.19,8.828905728,30.28820293
2009-02-23T13:00:00+07:00,299.54,302.7,299.47,300.76,11.56977201,16.43300538
2009-02-24T09:00:00+07:00,296.67,296.91,294.31,296.02,16.13061597,12.17643123
2009-02-24T13:00:00+07:00,295.37,298.03,295.17,298.03,27.59066706,18.43035168
2009-02-25T09:00:00+07:00,300.7,301.45,299.22,300.11,42.37586493,28.69904932
2009-02-25T13:00:00+07:00,300.36,301.29,300.03,300.73,63.01893913,44.32849037
2009-02-26T09:00:00+07:00,301.42,302.99,299.69,300.24,71.3225184,58.90577415
2009-02-26T13:00:00+07:00,300.06,300.24,298.19,299.2,65.45738849,66.59961534
2009-02-27T09:00:00+07:00,300.14,300.83,298.2,300.27,54.39527751,63.72506147
2009-02-27T13:00:00+07:00,299.39,300.35,298.86,299.58,41.27539784,53.70935461
2009-03-02T09:00:00+07:00,297.27,297.32,290.69,290.99,24.91023035,40.19363524
2009-03-02T13:00:00+07:00,290.05,290.54,287.17,288.24,13.07681568,26.42081462
2009-03-03T09:00:00+07:00,283.04,286.79,281.83,285.34,9.581932638,15.85632622
