time,open,high,low,close,%K,%D
2021-01-01T15:00:00+07:00,1.6225,1.6225,1.58,1.61,70.42404724,82.16033595
2021-01-01T16:00:00+07:00,1.61,1.62,1.58,1.58,42.02898551,65.61944155
2021-01-01T17:00:00+07:00,1.58,1.6425,1.58,1.63,44.05797101,52.17033459
2021-01-01T18:00:00+07:00,1.63,1.6325,1.61,1.625,50.66666667,45.58454106
2021-01-01T19:00:00+07:00,1.625,1.6375,1.5925,1.6,61.33333333,52.01932367
2021-01-01T20:00:00+07:00,1.6,1.615,1.59,1.61,50.66666667,54.22222222
2021-01-01T21:00:00+07:00,1.61,1.65,1.5975,1.65,60,57.33333333
2021-01-01T22:00:00+07:00,1.65,1.66,1.635,1.65,77.9047619,62.85714286
2021-01-01T23:00:00+07:00,1.65,1.6775,1.635,1.6575,87.61904762,75.17460317
2021-01-02T00:00:00+07:00,1.6575,1.73,1.625,1.675,74.52380952,80.01587302
2021-01-02T01:00:00+07:00,1.675,1.8325,1.67,1.7575,68.64741641,76.93009119
2021-01-02T02:00:00+07:00,1.7575,1.81,1.725,1.73,59.80060058,67.65727551
2021-01-02T03:00:00+07:00,1.73,1.81,1.73,1.78,64.46210373,64.30337358
2021-01-02T04:00:00+07:00,1.78,1.78,1.73,1.77,65.06024096,63.10764843
2021-01-02T05:00:00+07:00,1.77,1.81,1.765,1.81,76.9107198,68.8110215
2021-01-02T06:00:00+07:00,1.81,1.87,1.8,1.845,79.59732831,73.85609636
2021-01-02T07:00:00+07:00,1.845,1.8475,1.7375,1.7775,67.61367942,74.70724251
2021-01-02T08:00:00+07:00,1.7775,1.8575,1.74,1.85,67.46715928,71.559389
2021-01-02T09:00:00+07:00,1.85,1.8975,1.815,1.815,56.02678571,63.70254147
2021-01-02T10:00:00+07:00,1.815,1.9025,1.8125,1.8675,70.97988817,64.82461105
2021-01-02T11:00:00+07:00,1.8675,1.87,1.8175,1.84,63.1155303,63.37406806
2021-01-02T12:00:00+07:00,1.84,1.8475,1.79,1.7925,57.73892774,63.94478207
2021-01-02T13:00:00+07:00,1.7925,1.8125,1.7675,1.7675,31.47630148,50.77691984
2021-01-02T14:00:00+07:00,1.7675,1.7875,1.75,1.75,10.76923077,33.32815333
2021-01-02T15:00:00+07:00,1.75,1.7825,1.75,1.76,2.777777778,15.00777001
2021-01-02T16:00:00+07:00,1.76,1.79,1.725,1.73,4.138321995,5.895110181
2021-01-02T17:00:00+07:00,1.73,1.77,1.72,1.745,13.147331,6.687810259
2021-01-02T18:00:00+07:00,1.745,1.775,1.7425,1.7625,30.60764846,15.96443382
2021-01-02T19:00:00+07:00,1.7625,1.805,1.7175,1.805,62.58043758,35.44513902
2021-01-02T20:00:00+07:00,1.805,1.85,1.7925,1.8075,76.21293801,56.46700802
2021-01-02T21:00:00+07:00,1.8075,1.81,1.75,1.775,70.44025157,69.74454239
2021-01-02T22:00:00+07:00,1.775,1.795,1.7625,1.775,51.57232704,66.07517221
2021-01-02T23:00:00+07:00,1.775,1.8025,1.7575,1.8,49.68553459,57.2327044
2021-01-03T00:00:00+07:00,1.8,1.915,1.8,1.9125,68.04840861,56.43542342
2021-01-03T01:00:00+07:00,1.9125,1.995,1.8725,1.89,72.63061886,63.45485402
2021-01-03T02:00:00+07:00,1.89,1.93,1.88,1.92,74.68291942,71.78731563
2021-01-03T03:00:00+07:00,1.92,1.92,1.77,1.77,43.60902256,63.64085361
2021-01-03T04:00:00+07:00,1.77,1.83,1.75,1.83,35.44575725,51.24589974
2021-01-03T05:00:00+07:00,1.83,1.83,1.78,1.8,19.44146079,32.8320802
2021-01-03T06:00:00+07:00,1.8,1.82,1.77,1.8,26.94633409,27.27785071
2021-01-03T07:00:00+07:00,1.8,1.85,1.8,1.815,28.80707839,25.06495776
2021-01-03T08:00:00+07:00,1.815,1.84,1.8125,1.8125,42.83769063,32.86370104
2021-01-03T09:00:00+07:00,1.8125,1.9575,1.8125,1.95,65.57843137,45.7410668
2021-01-03T10:00:00+07:00,1.95,1.96,1.8875,1.9525,84.85087719,64.42233307
2021-01-03T11:00:00+07:00,1.9525,1.9925,1.93,1.98,95.18637503,81.87189453
2021-01-03T12:00:00+07:00,1.98,1.99,1.96,1.96,90.50118984,90.17948069
2021-01-03T13:00:00+07:00,1.96,2.1,1.96,2.0825,89.78799381,91.82518623
2021-01-03T14:00:00+07:00,2.0825,2.1,2.055,2.0625,86.07014303,88.78644223
2021-01-03T15:00:00+07:00,2.0625,2.26,2.0625,2.225,88.55330802,88.13714829
2021-01-03T16:00:00+07:00,2.225,2.29,2.1475,2.1475,76.18835413,83.60393506
2021-01-03T17:00:00+07:00,2.1475,2.2475,2.1425,2.2175,74.74747475,79.8297123
2021-01-03T18:00:00+07:00,2.2175,2.38,2.21,2.26,65.97513598,72.30365495
2021-01-03T19:00:00+07:00,2.26,2.33,2.23,2.2525,66.9832486,69.23528644
2021-01-03T20:00:00+07:00,2.2525,2.2575,2.09,2.11,43.27199816,58.74346091
2021-01-03T21:00:00+07:00,2.11,2.1375,2,2.0525,26.85162029,45.70228902
2021-01-03T22:00:00+07:00,2.0525,2.1075,2,2.08,13.92165759,28.01509202
2021-01-03T23:00:00+07:00,2.08,2.115,1.9425,1.9425,11.62280702,17.46536163
2021-01-04T00:00:00+07:00,1.9425,2.005,1.9,1.96,12.61194945,12.71880469
2021-01-04T01:00:00+07:00,1.96,2.0175,1.9425,1.99,18.22598454,14.15358034
2021-01-04T02:00:00+07:00,1.99,2.01,1.94,1.945,25.20272873,18.68022091
2021-01-04T03:00:00+07:00,1.945,2.0175,1.94,1.99,33.56181151,25.66350826
2021-01-04T04:00:00+07:00,1.99,2.0875,1.985,2.02,42.26356589,33.67603537
2021-01-04T05:00:00+07:00,2.02,2.11,2.01,2.11,68.62015504,48.14851081
2021-01-04T06:00:00+07:00,2.11,2.18,2.08,2.1725,86.95833333,65.94735142
2021-01-04T07:00:00+07:00,2.1725,2.26,2.105,2.23,95.83333333,83.80394057
2021-01-04T08:00:00+07:00,2.23,2.35,2.17,2.31,92.1803653,91.65734399
2021-01-04T09:00:00+07:00,2.31,2.4,2.3,2.3,84.67502342,90.89624068
2021-01-04T10:00:00+07:00,2.3025,2.35,2.265,2.305,77.90419008,84.9198596
2021-01-04T11:00:00+07:00,2.305,2.37,2.26,2.34,74.7774971,79.11890353
2021-01-04T12:00:00+07:00,2.34,2.3525,2.28,2.285,66.65783898,73.11317539
2021-01-04T13:00:00+07:00,2.28,2.39,2.26,2.26,43.22033898,61.55189169
2021-01-04T14:00:00+07:00,2.26,2.335,2.0875,2.1,18.04407713,42.6407517
2021-01-04T15:00:00+07:00,2.1,2.23,1.975,2.105,11.81917754,24.36119788
2021-01-04T16:00:00+07:00,2.105,2.12,1.8775,1.995,19.46145396,16.44156954
2021-01-04T17:00:00+07:00,1.99,2.09,1.83,2.01,28.79832921,20.02632023
2021-01-04T18:00:00+07:00,2.01,2.045,1.96,2.04,32.21794828,26.82591048
2021-01-04T19:00:00+07:00,2.04,2.17,2.02,2.1,47.07567185,36.03064978
2021-01-04T20:00:00+07:00,2.1,2.1675,2.06,2.12,64.79275869,48.02879294
2021-01-04T21:00:00+07:00,2.12,2.28,2.085,2.24,81.30174292,64.39005782
2021-01-04T22:00:00+07:00,2.24,2.4,2.23,2.265,81.90780353,76.00076838
2021-01-04T23:00:00+07:00,2.265,2.28,2.105,2.17,66.63432571,76.61462405
2021-01-05T00:00:00+07:00,2.17,2.28,2.14,2.17,47.04826907,65.19679944
2021-01-05T01:00:00+07:00,2.17,2.28,2.17,2.23,39.28612381,50.98957286
2021-01-05T02:00:00+07:00,2.23,2.44,2.23,2.39,54.48643802,46.94027697
2021-01-05T03:00:00+07:00,2.39,2.4325,2.265,2.265,59.62252231,51.13169471
2021-01-05T04:00:00+07:00,2.265,2.32,2.17,2.1825,49.00082919,54.36992984
2021-01-05T05:00:00+07:00,2.1825,2.44,2.18,2.39,47.80311406,52.14215519
2021-01-05T06:00:00+07:00,2.39,2.48,2.39,2.4575,62.79669454,53.2002126
2021-01-05T07:00:00+07:00,2.4575,2.5625,2.38,2.44,81.00440863,63.86807241
2021-01-05T08:00:00+07:00,2.44,2.49,2.3525,2.46,78.47236491,74.09115603
2021-01-05T09:00:00+07:00,2.46,2.51,2.35,2.3525,62.59106615,74.02261323
2021-01-05T10:00:00+07:00,2.3525,2.415,2.14,2.1525,40.64732314,60.5702514
2021-01-05T11:00:00+07:00,2.1525,2.28,2.1275,2.21,22.34071211,41.85970047
2021-01-05T12:00:00+07:00,2.21,2.2575,2.0875,2.1,8.294225668,23.76075364
2021-01-05T13:00:00+07:00,2.1,2.23,2.08,2.1925,16.02896261,15.55463346
2021-01-05T14:00:00+07:00,2.1925,2.26,2.17,2.1725,18.91110363,14.41143063
2021-01-05T15:00:00+07:00,2.1725,2.26,2.17,2.26,47.92491033,27.62165885
2021-01-05T16:00:00+07:00,2.26,2.3475,2.255,2.2825,64.43762496,43.75787964
2021-01-05T17:00:00+07:00,2.2825,2.3325,2.26,2.2925,81.71339564,64.69197698
2021-01-05T18:00:00+07:00,2.2925,2.39,2.2775,2.37,82.01642594,76.05581551
2021-01-05T19:00:00+07:00,2.37,2.41,2.2975,2.37,84.56055886,82.76346015
2021-01-05T20:00:00+07:00,2.37,2.3725,2.21,2.21,58.08080808,74.88593096
2021-01-05T21:00:00+07:00,2.21,2.295,2.17,2.26,40.27777778,60.97304824
2021-01-05T22:00:00+07:00,2.26,2.265,2.19,2.2,16.66666667,38.34175084
2021-01-05T23:00:00+07:00,2.2,2.28,2.185,2.28,31.94444444,29.62962963
2021-01-06T00:00:00+07:00,2.28,2.32,2.19,2.32,44.13580247,30.91563786
2021-01-06T01:00:00+07:00,2.32,2.3725,2.28,2.3,61.36831276,45.81618656
2021-01-06T02:00:00+07:00,2.3,2.3,2.23,2.23,54.09053498,53.19821674
2021-01-06T03:00:00+07:00,2.23,2.2375,2.21,2.215,34.73251029,50.06378601
2021-01-06T04:00:00+07:00,2.215,2.2225,2.21,2.21,16.98630137,35.26978221
2021-01-06T05:00:00+07:00,2.21,2.23,2.1875,2.21,13.04035542,21.58638903
2021-01-06T06:00:00+07:00,2.21,2.225,2.125,2.17,16.27845066,15.43503582
2021-01-06T07:00:00+07:00,2.17,2.17,2.0575,2.0575,12.62548263,13.98142957
2021-01-06T08:00:00+07:00,2.0575,2.12,2.0575,2.09,14.85162181,14.58518503
2021-01-06T09:00:00+07:00,2.09,2.1,2.03,2.07,12.9468599,13.47465478
2021-01-06T10:00:00+07:00,2.07,2.07,1.9675,1.9725,13.59410909,13.79753027
2021-01-06T11:00:00+07:00,1.97,2.0625,1.97,2.0475,20.48264014,15.67453638
2021-01-06T12:00:00+07:00,2.0475,2.05,1.9825,1.99,18.73400626,17.60358516
