time,open,high,low,close,Basis,Upper,Lower,%K,%D
2022-09-01T11:45:00+07:00,20072,20097,20043,20054,20090.8,20212.67961,19968.92039,61.71290789,49.52621891
2022-09-01T12:00:00+07:00,20050,20082,20041,20082,20089.45,20211.09123,19967.80877,73.36441336,61.00937274
2022-09-01T12:15:00+07:00,20103,20137,20099,20135,20091.6,20214.85486,19968.34514,86.04247604,73.7065991
2022-09-01T12:30:00+07:00,20116,20119,20083,20101,20099.95,20199.76478,20000.13522,82.22934473,80.54541138
2022-09-01T12:45:00+07:00,20116,20116,20028,20038,20098.75,20200.91041,19996.58959,56.76180768,75.01120948
2022-09-01T13:00:00+07:00,20035,20052,19997,20019,20095.75,20203.42892,19988.07108,29.12953255,56.04022832
2022-09-01T13:15:00+07:00,20009,20022,19971,20019,20089.9,20200.85927,19978.94073,17.93475343,34.60869789
2022-09-01T13:30:00+07:00,20032,20036,19996,19996,20082.15,20196.55503,19967.74497,20.50728009,22.52385535
2022-09-01T13:45:00+07:00,19997,20009,19950,19958,20073.45,20197.43141,19949.46859,16.87561055,18.43921469
2022-09-01T14:00:00+07:00,19965,19965,19884,19924,20060.55,20190.22725,19930.87275,15.17356427,17.5188183
2022-09-01T14:15:00+07:00,19943,19951,19913,19914,20046.9,20177.92809,19915.87191,16.12188101,16.05701861
2022-09-01T14:30:00+07:00,19911,19911,19810,19874,20034.2,20179.75631,19888.64369,23.95498333,18.41680954
2022-09-01T14:45:00+07:00,19897,19938,19873,19898,20022.9,20173.80779,19871.99221,30.7588439,23.61190275
2022-09-01T15:00:00+07:00,19890,19926,19847,19926,20012.7,20160.82441,19864.57559,49.12613309,34.61332011
2022-09-01T15:15:00+07:00,19924,19926,19875,19881,20000.2,20148.47623,19851.92377,56.47147504,45.45215068
2022-09-01T15:30:00+07:00,19883,19913,19823,19882,19991.95,20147.09442,19836.80558,60.48110654,55.35957156
2022-09-01T15:45:00+07:00,19897,19932,19874,19932,19987.85,20144.77071,19830.92929,67.12907287,61.36055149
2022-09-01T16:00:00+07:00,19933,19977,19858,19858,19980.15,20146.41037,19813.88963,57.91996047,61.84337996
2022-09-01T16:15:00+07:00,19865,19893,19833,19893,19972.1,20138.86798,19805.33202,54.32147563,59.79016966
2022-09-01T16:30:00+07:00,19905,19927,19889,19921,19965.25,20128.56059,19801.93941,43.93939394,52.06027668
2022-09-01T16:45:00+07:00,19927,19957,19900,19932,19959.15,20117.79208,19800.50792,59.28030303,52.5137242
2022-09-01T17:00:00+07:00,19938,19955,19927,19954,19952.75,20101.04144,19804.45856,72.13804714,58.45258137
2022-09-01T17:15:00+07:00,19950,20000,19937,19968,19944.4,20067.34291,19821.45709,77.87203371,69.76346129
2022-09-01T17:30:00+07:00,19962,19996,19949,19993,19939,20041.79105,19836.20895,86.18659827,78.73222637
2022-09-01T17:45:00+07:00,19995,20025,19974,20023,19938.25,20038.32372,19838.17628,90.97733902,85.01199033
2022-09-01T18:00:00+07:00,20014,20037,19972,20003,19937.45,20035.15665,19839.74335,87.06153426,88.07515718
2022-09-01T18:15:00+07:00,19991,20031,19973,19994,19936.2,20030.27359,19842.12641,74.83030303,84.28972544
2022-09-01T18:30:00+07:00,19994,20103,19991,20084,19940.6,20052.07269,19829.12731,71.25108225,77.71430651
2022-09-01T18:45:00+07:00,20122,20122,20063,20075,19946.45,20072.31258,19820.58742,71.10966811,72.3970178
2022-09-01T19:00:00+07:00,20079,20101,20027,20030,19951.75,20082.22739,19821.27261,64.998557,69.11976912
2022-09-01T19:15:00+07:00,20032,20047,19955,19977,19954.9,20084.61954,19825.18046,40.16899534,58.75907348
