time,open,high,low,close,Basis,Upper,Lower,%K,%D
2021-07-06T16:00:00+07:00,958.03,958.32,955.37,956.78,953.645,959.95,947.34,46.71646229,61.8884607
2021-07-07T09:00:00+07:00,951.5,952.28,950.89,951.66,954.265,959.95,948.58,34.39850245,48.91899078
2021-07-07T10:00:00+07:00,952.48,953.23,949.02,952.31,954.485,959.95,949.02,24.45843287,35.19113254
2021-07-07T11:00:00+07:00,952.37,954.3,950.75,951.37,954.485,959.95,949.02,20.94741987,26.60145173
2021-07-07T12:00:00+07:00,951.22,952.68,950.41,951.07,954.33,959.64,949.02,25.33810087,23.58131787
2021-07-07T14:00:00+07:00,952.2,954.02,951.48,952.12,954.295,959.57,949.02,34.41439008,26.89997027
2021-07-07T15:00:00+07:00,952.64,953.45,947.56,948.78,953.515,959.47,947.56,32.95200739,30.90149945
2021-07-07T16:00:00+07:00,949.21,949.41,946.05,948.23,952.76,959.47,946.05,34.41241795,33.92627181
2021-07-08T09:00:00+07:00,940.33,941.35,940.33,941.35,949.325,958.32,940.33,17.32527552,28.22990029
2021-07-08T10:00:00+07:00,942.18,942.18,935.77,940.21,945.035,954.3,935.77,19.40123449,23.71297599
2021-07-08T11:00:00+07:00,939.72,942.61,935.15,935.15,944.725,954.3,935.15,10.59315369,15.77322123
2021-07-08T12:00:00+07:00,935.2,936.7,933.5,934.84,943.9,954.3,933.5,10.91704766,13.63714528
2021-07-08T14:00:00+07:00,932.2,932.71,929.02,931.58,941.52,954.02,929.02,9.08658543,10.19892893
2021-07-08T15:00:00+07:00,931.27,931.78,927.49,930.35,940.755,954.02,927.49,15.39170007,11.79844439
2021-07-08T16:00:00+07:00,930.02,931.12,928.22,929.76,940.47,953.45,927.49,17.58865062,14.02231204
2021-07-09T09:00:00+07:00,927.6,928.09,927.6,927.64,938.45,949.41,927.49,11.85241197,14.94425422
2021-07-09T10:00:00+07:00,926.07,934.82,926.07,932.23,934.34,942.61,926.07,29.013964,19.48500887
2021-07-09T11:00:00+07:00,932.64,938.18,929.21,929.64,934.34,942.61,926.07,33.83614443,24.90084013
2021-07-09T12:00:00+07:00,930.35,931.98,929.4,931.98,934.34,942.61,926.07,49.56080374,37.47030406
2021-07-09T14:00:00+07:00,931.39,935.58,930.69,935.24,932.125,938.18,926.07,51.33498486,44.91064434
2021-07-09T15:00:00+07:00,935.55,935.55,932.67,934.71,932.125,938.18,926.07,65.29039361,55.39539407
2021-07-09T16:00:00+07:00,934.51,935.69,933.61,934.18,932.125,938.18,926.07,67.49181678,61.37239842
2021-07-12T09:00:00+07:00,937.99,939.9,937.99,939.16,932.985,939.9,926.07,73.23509598,68.67243546
2021-07-12T10:00:00+07:00,939.22,939.79,931.5,933.36,932.985,939.9,926.07,59.11650696,66.61447324
2021-07-12T11:00:00+07:00,932.69,933.73,930.68,933.41,932.985,939.9,926.07,50.51738448,60.95632914
2021-07-12T12:00:00+07:00,933.88,934.29,932.23,933.3,934.555,939.9,929.21,29.00541946,46.21310363
2021-07-12T14:00:00+07:00,933.66,935.68,930.11,931.85,934.65,939.9,929.4,25.26642279,34.92974224
2021-07-12T15:00:00+07:00,931.72,933.21,929.23,933.04,934.565,939.9,929.23,27.42308978,27.23164401
2021-07-12T16:00:00+07:00,933.51,933.51,931.68,932.24,934.565,939.9,929.23,33.50648337,28.73199865
2021-07-13T09:00:00+07:00,937.27,937.27,937.27,937.27,934.565,939.9,929.23,60.91540404,40.6149924
2021-07-13T10:00:00+07:00,937.43,943.51,936.04,940.67,936.37,943.51,929.23,75.59290383,56.67159708
2021-07-13T11:00:00+07:00,940.96,944.43,940.05,943.23,936.83,944.43,929.23,90.73910266,75.74913684
2021-07-13T12:00:00+07:00,942.88,944.55,941.91,943.32,936.89,944.55,929.23,87.55339947,84.62846865
2021-07-13T14:00:00+07:00,944.09,945.68,941.83,943.58,937.455,945.68,929.23,86.92130708,88.40460307
2021-07-13T15:00:00+07:00,943.52,945.85,942.43,943.91,937.54,945.85,929.23,82.96097301,85.81189319
2021-07-13T16:00:00+07:00,943.73,945.19,942.17,944.31,937.54,945.85,929.23,77.29610149,82.39279386
2021-07-14T09:00:00+07:00,943.5,944.35,943.5,944.25,938.765,945.85,931.68,71.29051393,77.18252948
2021-07-14T10:00:00+07:00,943.76,944.99,938.93,939.14,940.945,945.85,936.04,45.56065431,64.71575657
2021-07-14T11:00:00+07:00,938.29,939.93,936.84,938.49,940.945,945.85,936.04,27.18222421,48.01113082
2021-07-14T12:00:00+07:00,938.67,939.88,936.93,938.03,941.345,945.85,936.84,11.86638822,28.20308891
2021-07-14T14:00:00+07:00,938.4,942.8,937.75,940.51,941.345,945.85,936.84,25.86505247,21.6378883
2021-07-14T15:00:00+07:00,940.32,941.57,938.55,940.79,941.345,945.85,936.84,35.91614317,24.54919462
2021-07-14T16:00:00+07:00,940.18,943.62,939.77,940.68,941.345,945.85,936.84,50.04470022,37.27529862
2021-07-15T09:00:00+07:00,944.05,945.32,942.74,942.74,941.08,945.32,936.84,58.11751063,48.02611801
2021-07-15T10:00:00+07:00,944.24,944.76,941.05,942.06,941.08,945.32,936.84,60.94051501,56.36757529
2021-07-15T11:00:00+07:00,942.4,948.15,941.87,946.5,942.495,948.15,936.84,69.66562563,62.90788376
2021-07-15T12:00:00+07:00,945.99,947.65,944.88,947.65,942.495,948.15,936.84,77.92706123,69.51106729
2021-07-15T14:00:00+07:00,946.7,947.13,943.09,944.66,942.54,948.15,936.93,75.89699444,74.49656043
2021-07-15T15:00:00+07:00,945.08,945.87,942.85,943.69,942.95,948.15,937.75,60.68719397,71.50374988
2021-07-15T16:00:00+07:00,944.58,946.13,942.55,942.55,943.35,948.15,938.55,32.95206483,56.51208441
2021-07-16T09:00:00+07:00,939.33,941.87,939,939.41,943.575,948.15,939,17.58366949,37.07430943
2021-07-16T10:00:00+07:00,940.3,942.03,937.65,941.09,942.9,948.15,937.65,17.28494323,22.60689252
2021-07-16T11:00:00+07:00,940.72,941.37,938.75,941.08,942.9,948.15,937.65,27.15830581,20.67563951
2021-07-16T12:00:00+07:00,939.7,943.24,939.7,941.87,942.9,948.15,937.65,42.16639466,28.86988124
2021-07-16T14:00:00+07:00,942.4,942.77,939.7,941.04,942.65,947.65,937.65,50.28542377,39.87004141
2021-07-16T15:00:00+07:00,940.68,942.46,939.32,941.62,942.39,947.13,937.65,60.47594537,50.97592126
2021-07-16T16:00:00+07:00,941.32,943.21,940.76,942.35,941.89,946.13,937.65,70.61395296,60.4584407
2021-07-19T09:00:00+07:00,932.69,933.19,931.81,932.62,938.97,946.13,931.81,52.76148863,61.28379565
2021-07-19T10:00:00+07:00,931.5,935.47,929.83,932.43,936.535,943.24,929.83,35.56559198,52.98034452
2021-07-19T11:00:00+07:00,932.1,933.16,930.65,931.64,936.535,943.24,929.83,13.34875181,33.89194414
2021-07-19T12:00:00+07:00,931.38,933.04,930.95,932,936.535,943.24,929.83,16.39262581,21.76898987
2021-07-19T14:00:00+07:00,931.19,932.1,927.61,929.21,935.425,943.24,927.61,16.70070783,15.48069515
