time,open,high,low,close,EMA90,EMA75,EMA60,EMA45,EMA30,ParabolicSAR
2020-05-31T08:00:00Z,9566.5,9603.5,9493,9590,9261.731338,9285.233394,9305.577053,9331.95956,9386.109503,9359.7583
2020-05-31T12:00:00Z,9590.5,9638,9436,9477,9266.462518,9290.279883,9311.197477,9338.265666,9391.973406,9367.523134
2020-05-31T16:00:00Z,9477,9531.5,9464,9518,9271.990814,9296.272518,9317.977888,9346.080202,9400.104154,9375.132671
2020-05-31T20:00:00Z,9518,9521,9389,9447.5,9275.848159,9300.252189,9322.224514,9350.489759,9403.161951,9382.590018
2020-06-01T00:00:00Z,9447.5,9562.5,9415,9546.5,9281.796551,9306.732394,9329.577809,9359.011943,9412.409567,9389
2020-06-01T04:00:00Z,9546.5,9613,9527,9561.5,9287.94388,9313.436805,9337.181815,9367.815772,9422.028304,9389
2020-06-01T08:00:00Z,9561.5,9573.5,9507.5,9514,9292.912146,9318.714784,9342.979133,9374.171608,9427.961962,9396.18
2020-06-01T12:00:00Z,9514,9588,9496,9539.5,9298.331659,9324.524921,9349.42244,9381.359799,9435.157965,9403.2164
2020-06-01T16:00:00Z,9544.5,9613,9536,9572.5,9304.357337,9331.050581,9356.736458,9389.670242,9444.018741,9410.112072
2020-06-01T20:00:00Z,9572.5,10425.5,9563,10205,9324.151681,9354.04925,9384.548378,9425.119362,9493.114306,9416.869831
2020-06-02T00:00:00Z,10205,10230.5,10040.5,10091,9341.00549,9373.442691,9407.710726,9454.070694,9531.687577,9457.215037
2020-06-02T04:00:00Z,10090.5,10128.5,10065.5,10114,9357.994381,9392.931041,9430.867751,9482.763273,9569.25612,9495.946436
2020-06-02T08:00:00Z,10114,10145,10088,10106,9374.434065,9411.696013,9453.003235,9509.860522,9603.884758,9533.128578
2020-06-02T12:00:00Z,10106,10179.5,9280.5,9460,9376.314635,9412.967171,9453.232637,9507.692673,9594.60187,10425.5
2020-06-02T16:00:00Z,9462.5,9545.5,9426.5,9510.5,9379.263764,9415.533824,9455.110256,9507.814731,9589.175943,10402.6
2020-06-02T20:00:00Z,9510.5,9548.5,9430,9522.5,9382.411813,9418.348724,9457.319755,9508.453221,9584.874269,10380.158
2020-06-03T00:00:00Z,9522.5,9533.5,9470,9490,9384.776388,9420.234284,9458.391239,9507.650907,9578.753349,10358.16484
2020-06-03T04:00:00Z,9490,9540,9395,9505,9387.418666,9422.46496,9459.919395,9507.53565,9573.995068,10336.61154
2020-06-03T08:00:00Z,9505,9624,9491,9623,9392.596277,9427.742198,9465.2663,9512.555839,9577.156677,10315.48931
2020-06-03T12:00:00Z,9623,9645,9501,9556,9396.187568,9431.117404,9468.241175,9514.444716,9575.79173,10294.78953
2020-06-03T16:00:00Z,9556,9620,9524,9580,9400.227402,9435.035367,9471.905399,9517.294945,9576.063231,10274.50374
2020-06-03T20:00:00Z,9580,9691.5,9560.5,9666.5,9406.079547,9441.126541,9478.28555,9523.782122,9581.897861,10254.62366
2020-06-04T00:00:00Z,9666.5,9690,9605,9669,9411.858018,9447.123211,9484.538483,9530.095942,9587.517354,10235.14119
2020-06-04T04:00:00Z,9669,9679.5,9617,9654,9417.17982,9452.567337,9490.094598,9535.483075,9591.806557,10216.04836
2020-06-04T08:00:00Z,9654,9654,9451,9622.5,9421.692351,9457.039249,9494.435759,9539.26642,9593.786779,10197.3374
2020-06-04T12:00:00Z,9622.5,9846,9608.5,9836.5,9430.809003,9467.025059,9505.65098,9552.189619,9609.445697,10179.00065
2020-06-04T16:00:00Z,9836.5,9890,9730,9819.5,9439.351662,9476.300715,9515.941112,9563.811809,9622.997587,10161.03064
2020-06-04T20:00:00Z,9819.5,9859.5,9740.5,9791.5,9447.091186,9484.595433,9524.975829,9573.711296,9633.868711,10143.42002
2020-06-05T00:00:00Z,9791.5,9846.5,9756.5,9793,9454.693578,9492.711343,9533.763507,9583.245588,9644.135245,10126.16162
2020-06-05T04:00:00Z,9793,9824,9722,9771.5,9461.656356,9500.047886,9541.558146,9591.430562,9652.352326,10109.24839
2020-06-05T08:00:00Z,9771.5,9859.5,9588,9696.5,9466.817755,9505.217679,9546.638207,9595.998798,9655.200563,10092.67342
2020-06-05T12:00:00Z,9696.5,9723.5,9624.5,9712.5,9472.217365,9510.672477,9552.076299,9601.064068,9658.897301,10076.42995
2020-06-05T16:00:00Z,9712.5,9753.5,9695.5,9727.5,9477.827972,9516.378464,9557.827895,9606.561282,9663.323282,10060.51135
2020-06-05T20:00:00Z,9727.5,9738,9617,9617,9480.886698,9519.026399,9559.767964,9607.01514,9660.334683,10044.91113
2020-06-06T00:00:00Z,9617,9636.5,9530,9628,9484.119957,9521.894126,9562.00508,9607.927525,9658.248574,10029.62291
2020-06-06T04:00:00Z,9628,9631,9575,9606.5,9486.809629,9524.120596,9563.46393,9607.865459,9654.909957,10014.64045
2020-06-06T08:00:00Z,9606.5,9698.5,9575.5,9687,9491.209417,9528.406896,9567.514293,9611.306091,9656.980282,9999.957638
2020-06-06T12:00:00Z,9687,9733.5,9623.5,9648,9494.655364,9531.554083,9570.153169,9612.901478,9656.400909,9985.568485
2020-06-06T16:00:00Z,9648,9671.5,9581,9659.5,9498.278323,9534.921081,9573.082573,9614.927501,9656.60085,9971.467116
2020-06-06T20:00:00Z,9659.5,9723,9630.5,9665.5,9501.953525,9538.357368,9576.112653,9617.126305,9657.174989,9957.647773
2020-06-07T00:00:00Z,9665.5,9702.5,9623,9687,9506.02048,9542.269016,9579.748303,9620.164292,9659.099183,9944.104818
2020-06-07T04:00:00Z,9687,9716,9635,9655.5,9509.305744,9545.248779,9582.231965,9621.700627,9658.866978,9930.832721
2020-06-07T08:00:00Z,9655.5,9679.5,9540.5,9571.5,9510.672651,9545.939601,9581.880098,9619.517991,9653.230399,9917.826067
2020-06-07T12:00:00Z,9571.5,9602,9376,9498,9510.394131,9544.678032,9579.129931,9614.2346,9643.215534,9905.079546
2020-06-07T16:00:00Z,9498,9820,9458,9782.5,9516.37448,9550.936505,9585.797802,9621.550487,9652.201629,9892.587955
2020-06-07T20:00:00Z,9782.5,9818.5,9683.5,9753.5,9521.58603,9556.267123,9591.296234,9627.287423,9658.737008,9880.346196
2020-06-08T00:00:00Z,9753.5,9786.5,9708.5,9728,9526.122601,9560.78641,9595.778325,9631.66623,9663.205588,9868.349272
2020-06-08T04:00:00Z,9728,9762.5,9720,9730,9530.603423,9565.239399,9600.179036,9635.941612,9667.514905,9856.592286
2020-06-08T08:00:00Z,9730,9819.5,9634,9743,9535.271479,9569.917309,9604.86169,9640.596324,9672.384911,9845.070441
2020-06-08T12:00:00Z,9743,9755.5,9653,9707,9539.045732,9573.524749,9608.210487,9643.48344,9674.618142,9833.779032
2020-06-08T16:00:00Z,9707,9750,9663.5,9696.5,9542.506266,9576.760939,9611.105225,9645.788508,9676.029875,9822.713451
2020-06-08T20:00:00Z,9696.5,9805.5,9681.5,9784.5,9547.824809,9582.227757,9616.7903,9651.819443,9683.027948,9811.869182
2020-06-09T00:00:00Z,9784.5,9890,9565,9684,9550.817671,9584.905974,9618.993897,9653.218597,9683.090661,9280.5
2020-06-09T04:00:00Z,9684,9710,9666,9682.5,9553.711788,9587.474238,9621.076064,9654.491702,9683.052554,9292.69
2020-06-09T08:00:00Z,9682.5,9728,9625,9725,9557.476364,9591.093337,9624.483406,9657.55728,9685.75884,9304.6362
2020-06-09T12:00:00Z,9725,9752.5,9678.5,9728.5,9561.235125,9594.709301,9627.893786,9660.641746,9688.516335,9316.343476
2020-06-09T16:00:00Z,9728.5,9749,9690.5,9730.5,9564.955232,9598.282741,9631.257925,9663.679061,9691.224958,9327.816606
2020-06-09T20:00:00Z,9730.5,9838.5,9707,9777.5,9569.626546,9602.998985,9636.052747,9668.627798,9696.79109,9339.060274
2020-06-10T00:00:00Z,9779.5,9815.5,9744,9757,9573.744644,9607.051643,9640.01823,9672.470068,9700.675536,9350.079069
2020-06-10T04:00:00Z,9757,9787.5,9720.5,9752,9577.662344,9610.866073,9643.689764,9675.927891,9703.986792,9360.877487
2020-06-10T08:00:00Z,9752,9769,9702,9731.5,9581.043391,9614.04065,9646.568788,9678.344069,9705.761837,9371.459938
2020-06-10T12:00:00Z,9731.5,9783,9723,9763.5,9585.053427,9617.973791,9650.402598,9682.046501,9709.48688,9381.830739
2020-06-10T16:00:00Z,9763.5,10011,9660,9852.5,9590.931373,9624.145533,9657.028743,9689.457523,9718.713533,9391.994124
2020-06-10T20:00:00Z,9852.5,9922.5,9833,9896,9597.636178,9631.299598,9664.863866,9698.437631,9730.151369,9416.754359
2020-06-11T00:00:00Z,9896,9979,9840.5,9894.5,9604.160658,9638.225925,9672.392919,9706.962081,9740.754507,9440.524185
2020-06-11T04:00:00Z,9891,9909.5,9750,9796,9608.376907,9642.377874,9676.44561,9710.833295,9744.318732,9463.343217
2020-06-11T08:00:00Z,9796,9819.5,9750,9779,9612.126865,9645.973193,9679.808049,9713.797065,9746.556233,9485.249489
2020-06-11T12:00:00Z,9779,9787.5,9488.5,9506,9609.794407,9642.289688,9674.109425,9704.76241,9731.036476,10011
2020-06-11T16:00:00Z,9506,9545.5,9060,9277,9602.480244,9632.676802,9661.089444,9686.164044,9701.743801,10000.55
2020-06-11T20:00:00Z,9277,9364,9217,9270,9595.172986,9623.132675,9648.266839,9668.069955,9673.889362,9962.928
