time,open,high,low,close,EMA90,EMA75,EMA60,EMA45,EMA30,ParabolicSAR
2015-01-22T22:00:00Z,1.13646,1.13738,1.13388,1.13616,1.174941333,1.17064113,1.166033464,1.161768694,1.157319062,1.16591248
2015-01-23T02:00:00Z,1.13616,1.13691,1.13144,1.13358,1.174032293,1.169665837,1.164969416,1.160543099,1.15578751,1.164539181
2015-01-23T06:00:00Z,1.13358,1.13562,1.12305,1.12333,1.172917957,1.168446473,1.163604189,1.158925138,1.153693477,1.16255323
2015-01-23T10:00:00Z,1.12333,1.12475,1.11141,1.12355,1.171832947,1.167264987,1.162290937,1.157387089,1.151748736,1.159392972
2015-01-23T14:00:00Z,1.12355,1.12889,1.121,1.12552,1.17081508,1.166166434,1.161085333,1.156001563,1.15005656,1.154594674
2015-01-23T18:00:00Z,1.12552,1.12573,1.12013,1.12041,1.169707276,1.164962318,1.159751715,1.154454104,1.148143879,1.150276207
2015-01-25T22:00:00Z,1.1151,1.12015,1.1097,1.11688,1.168546237,1.163696994,1.158346085,1.152820447,1.146126854,1.146389586
2015-01-26T02:00:00Z,1.11688,1.11948,1.11513,1.11853,1.167446979,1.162508389,1.15704064,1.151329558,1.144346412,1.141986836
2015-01-26T06:00:00Z,1.11853,1.12614,1.11853,1.12504,1.166514957,1.161522378,1.155991439,1.150186534,1.143100837,1.138112416
2015-01-26T10:00:00Z,1.12504,1.12768,1.12213,1.12685,1.1656432,1.160609947,1.155035982,1.149171902,1.142052396,1.134702926
2015-01-26T14:00:00Z,1.12685,1.12952,1.12498,1.12793,1.164814339,1.159749949,1.154147261,1.148248341,1.141141274,1.131702575
2015-01-26T18:00:00Z,1.12793,1.12825,1.12321,1.12371,1.163910947,1.158801529,1.153149318,1.147181457,1.140016675,1.12952
2015-01-26T22:00:00Z,1.12371,1.12581,1.12319,1.1249,1.163053563,1.157909383,1.152223111,1.146212698,1.139041406,1.12952
2015-01-27T02:00:00Z,1.1249,1.12544,1.12358,1.12382,1.162191287,1.157012294,1.151291861,1.145239102,1.13805938,1.12825
2015-01-27T06:00:00Z,1.12382,1.13452,1.12235,1.13179,1.161523127,1.15634855,1.150652456,1.144654358,1.137654904,1.1097
2015-01-27T10:00:00Z,1.13179,1.13392,1.12605,1.13384,1.160914706,1.15575622,1.150101228,1.144184169,1.137408781,1.1101964
2015-01-27T14:00:00Z,1.13384,1.14224,1.13331,1.13522,1.160349988,1.155215793,1.149613319,1.143794422,1.137267569,1.110682872
2015-01-27T18:00:00Z,1.13522,1.13822,1.13404,1.13798,1.15985834,1.154762219,1.149231898,1.143541621,1.137313532,1.111945157
