time,open,high,low,close,EMA90,EMA75,EMA60,EMA45,EMA30,ParabolicSAR
2015-01-23T05:00:00+07:00,1.50086,1.50268,1.49988,1.5015,1.516994778,1.515805271,1.514773937,1.513951084,1.512508723,1.520278
2015-01-23T09:00:00+07:00,1.5015,1.5021,1.49805,1.49971,1.516614893,1.515381711,1.514280037,1.513331906,1.511682999,1.51935448
2015-01-23T13:00:00+07:00,1.49971,1.50071,1.49572,1.49775,1.51620028,1.514917719,1.513738069,1.512654432,1.510784096,1.518467901
2015-01-23T17:00:00+07:00,1.49775,1.49952,1.49512,1.49936,1.515830163,1.514508305,1.513266656,1.512076413,1.510047057,1.517103027
2015-01-23T21:00:00+07:00,1.49936,1.50361,1.49804,1.50171,1.51551983,1.514171508,1.51288775,1.5116257,1.509509183,1.515344385
2015-01-24T01:00:00+07:00,1.50171,1.50235,1.49787,1.49905,1.515157856,1.513773573,1.512434053,1.51107893,1.508834397,1.513726434
2015-01-26T05:00:00+07:00,1.50109,1.50291,1.49867,1.50002,1.514825156,1.513411637,1.512027035,1.510598107,1.508265726,1.512237919
2015-01-26T09:00:00+07:00,1.50002,1.50123,1.49918,1.50082,1.51451735,1.513080278,1.511659591,1.510172972,1.507785357,1.510868486
2015-01-26T13:00:00+07:00,1.50082,1.50449,1.49985,1.50104,1.514221145,1.512763429,1.511311408,1.509775886,1.507350172,1.509608607
2015-01-26T17:00:00+07:00,1.50104,1.50322,1.50015,1.50245,1.513962438,1.512492023,1.51102087,1.509457369,1.507034032,1.508449518
2015-01-26T21:00:00+07:00,1.50245,1.5099,1.50156,1.50914,1.513856451,1.512403812,1.510959202,1.509443571,1.507169901,1.49512
2015-01-27T01:00:00+07:00,1.50914,1.51033,1.5057,1.5057,1.513677188,1.512227395,1.510786769,1.509280807,1.507075069,1.4954156
2015-01-27T05:00:00+07:00,1.5057,1.51067,1.5057,1.51009,1.513598349,1.512171148,1.510763924,1.509315989,1.50726958,1.496012176
2015-01-27T09:00:00+07:00,1.51009,1.51115,1.50921,1.51047,1.513529594,1.512126381,1.510754287,1.509366163,1.507476059,1.496891645
2015-01-27T13:00:00+07:00,1.51047,1.51172,1.50595,1.50854,1.513419932,1.512032003,1.510681688,1.509330243,1.5075447,1.498032314
2015-01-27T17:00:00+07:00,1.50854,1.51843,1.50663,1.51797,1.513519934,1.512188266,1.510920649,1.509705885,1.5082173,1.499401082
2015-01-27T21:00:00+07:00,1.51797,1.52237,1.51668,1.51983,1.513658617,1.512389364,1.511212759,1.510146064,1.508966507,1.501684553
2015-01-28T01:00:00+07:00,1.51983,1.52112,1.51812,1.51948,1.513786559,1.51257596,1.511483816,1.510551887,1.509644797,1.504580515
2015-01-28T05:00:00+07:00,1.51948,1.51981,1.51541,1.51601,1.513835426,1.512666329,1.511632215,1.510789196,1.510055455,1.507071043
2015-01-28T09:00:00+07:00,1.51601,1.51729,1.51563,1.51679,1.513900362,1.512774847,1.511801323,1.511050101,1.510489942,1.509212897
2015-01-28T13:00:00+07:00,1.51679,1.51981,1.51579,1.51922,1.514017277,1.512944456,1.512044558,1.511405314,1.511053171,1.511054891
2015-01-28T17:00:00+07:00,1.51922,1.52187,1.5186,1.51974,1.514143051,1.513123286,1.512296868,1.511767692,1.511613612,1.512639007
2015-01-28T21:00:00+07:00,1.51974,1.52017,1.51603,1.51766,1.514220346,1.513242673,1.512472708,1.512023879,1.512003701,1.514001346
2015-01-29T01:00:00+07:00,1.51766,1.52023,1.51309,1.51315,1.514196822,1.513240235,1.512494915,1.512072841,1.512077656,1.52237
2015-01-29T05:00:00+07:00,1.51315,1.51555,1.51315,1.51539,1.514223046,1.513296807,1.512589835,1.512217065,1.512291356,1.5221844
2015-01-29T09:00:00+07:00,1.51539,1.51539,1.51304,1.51468,1.514233089,1.513333207,1.512658365,1.512324149,1.512445462,1.522002512
2015-01-29T13:00:00+07:00,1.51468,1.51629,1.51104,1.51373,1.514222032,1.513343649,1.512693501,1.512385273,1.512528335,1.521644012
2015-01-29T17:00:00+07:00,1.51373,1.51514,1.51151,1.51269,1.514188361,1.513326448,1.512693386,1.512398522,1.512538765,1.521007771
2015-01-29T21:00:00+07:00,1.51269,1.51415,1.50232,1.50473,1.513980485,1.513100226,1.512432292,1.512065108,1.512034974,1.520409705
2015-01-30T01:00:00+07:00,1.50473,1.50714,1.50179,1.50625,1.513810584,1.512919956,1.512229593,1.511812277,1.51166175,1.518962528
2015-01-30T05:00:00+07:00,1.50625,1.50788,1.50599,1.50747,1.513671231,1.512776537,1.512073541,1.511623483,1.511391314,1.517245275
2015-01-30T09:00:00+07:00,1.50747,1.50835,1.50668,1.50818,1.513550544,1.512655575,1.511945884,1.511473766,1.511184133,1.515699748
2015-01-30T13:00:00+07:00,1.50818,1.5096,1.50502,1.50744,1.513416247,1.512518323,1.51179815,1.511298385,1.510942576,1.514308773
2015-01-30T17:00:00+07:00,1.50744,1.50949,1.50424,1.50564,1.51324534,1.512337315,1.511596244,1.511052368,1.510600474,1.513056896
2015-01-30T21:00:00+07:00,1.50564,1.50631,1.49888,1.50195,1.512997091,1.512063964,1.511279973,1.510656613,1.510042379,1.511930206
2015-01-31T01:00:00+07:00,1.50195,1.50822,1.50183,1.50495,1.512820232,1.511876755,1.511072433,1.510408499,1.509713838,1.510364181
2015-02-02T05:00:00+07:00,1.5097,1.50979,1.50719,1.50779,1.512709677,1.511769208,1.510964812,1.510294652,1.50958972,1.49888
2015-02-02T09:00:00+07:00,1.50779,1.50871,1.50735,1.50771,1.512599794,1.511662387,1.510858097,1.510182275,1.509468448,1.4990982
2015-02-02T13:00:00+07:00,1.50771,1.50883,1.50088,1.50096,1.512343975,1.511380745,1.51053357,1.509781307,1.508919516,1.499312036
2015-02-02T17:00:00+07:00,1.50096,1.50377,1.50057,1.50356,1.51215092,1.511174936,1.510304928,1.509510815,1.50857374,1.499521595
2015-02-02T21:00:00+07:00,1.50356,1.50837,1.50099,1.50263,1.511941669,1.51095007,1.510053291,1.509211649,1.508190273,1.499726963
2015-02-03T01:00:00+07:00,1.50263,1.50502,1.50191,1.50387,1.51176427,1.510763752,1.50985056,1.508979404,1.507911546,1.499928224
2015-02-03T05:00:00+07:00,1.50387,1.50441,1.50221,1.50387,1.511590769,1.510582337,1.509654476,1.508757256,1.507650801,1.50012546
2015-02-03T09:00:00+07:00,1.50387,1.50426,1.50141,1.50213,1.51138284,1.510359908,1.509407772,1.508469114,1.50729462,1.50031875
2015-02-03T13:00:00+07:00,1.50213,1.50395,1.49881,1.5018,1.511172229,1.510134647,1.509158337,1.508179153,1.506940129,1.50979
2015-02-03T17:00:00+07:00,1.5018,1.51196,1.50171,1.51013,1.511149322,1.510134524,1.509190195,1.508263972,1.507145927,1.49881
2015-02-03T21:00:00+07:00,1.51013,1.51659,1.50816,1.51592,1.511254172,1.510286774,1.509410844,1.508596843,1.507711996,1.49881
2015-02-04T01:00:00+07:00,1.51592,1.51984,1.51488,1.51651,1.511369685,1.510450543,1.509643603,1.508940893,1.508279609,1.4995212
2015-02-04T05:00:00+07:00,1.51651,1.51667,1.5139,1.51541,1.511458483,1.510581055,1.509832665,1.509222159,1.508739634,1.500740328
2015-02-04T09:00:00+07:00,1.51541,1.51766,1.5149,1.51698,1.511579835,1.510749448,1.510067004,1.509559456,1.509271271,1.501886308
