time,open,high,low,close,%K,%D
2005-02-28T17:00:00-05:00,38.225,38.315,38.225,38.265,17.70637163,27.73723582
2005-03-01T17:00:00-05:00,38.265,38.405,38.265,38.335,22.5462963,21.68079096
2005-03-02T17:00:00-05:00,38.335,38.485,38.315,38.465,51.6468254,30.63316444
2005-03-03T17:00:00-05:00,38.465,38.545,38.375,38.4,64.51447246,46.23586472
2005-03-06T17:00:00-05:00,38.4,38.465,38.325,38.335,61.52836134,59.2298864
2005-03-07T17:00:00-05:00,38.335,38.385,38.295,38.305,35.33788515,53.79357298
2005-03-08T17:00:00-05:00,38.305,38.335,38.235,38.285,21.59658218,39.48760956
2005-03-09T17:00:00-05:00,38.285,38.345,38.215,38.255,14.17865289,23.70437341
2005-03-10T17:00:00-05:00,38.255,38.375,38.215,38.25,14.08341479,16.61954995
2005-03-13T17:00:00-05:00,38.25,38.425,38.25,38.325,26.16738817,18.14315195
2005-03-14T17:00:00-05:00,38.325,38.475,38.285,38.435,50.33211233,30.1943051
2005-03-15T17:00:00-05:00,38.435,38.505,38.345,38.425,69.8033767,48.76762573
2005-03-16T17:00:00-05:00,38.425,38.525,38.415,38.515,84.60112376,68.2455376
2005-03-17T17:00:00-05:00,38.515,38.555,38.455,38.53,86.99708845,80.4671963
2005-03-20T17:00:00-05:00,38.53,38.605,38.5,38.595,95.15082408,88.91634543
2005-03-21T17:00:00-05:00,38.595,38.675,38.545,38.635,92.18568886,91.44453379
2005-03-22T17:00:00-05:00,38.635,38.725,38.635,38.705,92.76739166,93.3679682
2005-03-23T17:00:00-05:00,38.705,38.945,38.685,38.875,89.04715356,91.33341136
2005-03-24T17:00:00-05:00,38.875,39.005,38.845,38.99,92.09745859,91.30400127
2005-03-27T17:00:00-05:00,38.99,39.275,38.99,39.265,93.79137522,91.64532913
2005-03-28T17:00:00-05:00,39.265,39.325,39.185,39.285,96.62091284,94.16991555
2005-03-29T17:00:00-05:00,39.285,39.435,39.255,39.285,90.94434518,93.78554441
2005-03-30T17:00:00-05:00,39.285,39.285,39.035,39.125,73.88684189,87.15069997
2005-03-31T17:00:00-05:00,39.125,39.255,39.125,39.24,61.21246747,75.34788485
2005-04-03T17:00:00-04:00,39.24,39.605,39.24,39.515,62.61597624,65.9050952
2005-04-04T17:00:00-04:00,39.515,39.715,39.495,39.525,70.81637504,64.88160625
2005-04-05T17:00:00-04:00,39.525,39.615,39.435,39.565,78.07017544,70.50084224
2005-04-06T17:00:00-04:00,39.565,39.685,39.545,39.635,78.81355932,75.9000366
2005-04-07T17:00:00-04:00,39.635,39.755,39.59,39.6,78.09492235,78.32621904
2005-04-10T17:00:00-04:00,39.6,39.705,39.535,39.575,66.69786353,74.5354484
2005-04-11T17:00:00-04:00,39.575,39.715,39.555,39.615,56.63430421,67.14236336
2005-04-12T17:00:00-04:00,39.615,39.615,39.465,39.495,36.7816092,53.37125898
2005-04-13T17:00:00-04:00,39.495,39.765,39.475,39.695,47.75383142,47.05658161
2005-04-14T17:00:00-04:00,39.695,39.81,39.635,39.71,52.675329,45.73692321
