time,open,high,low,close,ParabolicSAR,%K,%D
2020-01-02T02:00:00Z,30.113,30.122,30.103,30.11,29.77382756,61.85185185,62.05938979
2020-01-02T02:30:00Z,30.11,30.111,30.102,30.106,29.78187101,46.38888889,55.4382716
2020-01-02T03:00:00Z,30.106,30.11,30.102,30.107,29.78975359,32.94444444,47.0617284
2020-01-02T03:30:00Z,30.107,30.12,30.106,30.116,29.79747852,35.83333333,38.38888889
2020-01-02T04:00:00Z,30.116,30.117,30.108,30.112,29.80504895,48.33333333,39.03703704
2020-01-02T04:30:00Z,30.112,30.112,30.106,30.108,29.81246797,51.11111111,45.09259259
2020-01-02T05:00:00Z,30.108,30.11,30.106,30.11,29.81973861,42.59259259,47.34567901
2020-01-02T05:30:00Z,30.11,30.112,30.103,30.103,29.82686384,25.92592593,39.87654321
2020-01-02T06:00:00Z,30.103,30.112,30.103,30.11,29.83384656,31.48148148,33.33333333
2020-01-02T06:30:00Z,30.11,30.118,30.108,30.11,29.84068963,32.22222222,29.87654321
2020-01-02T07:00:00Z,30.11,30.111,30.104,30.108,29.84739583,43.33333333,35.67901235
2020-01-02T07:30:00Z,30.108,30.109,30.105,30.108,29.85396792,37.77777778,37.77777778
2020-01-02T08:00:00Z,30.108,30.113,30.106,30.108,29.86040856,33.33333333,38.14814815
2020-01-02T08:30:00Z,30.108,30.134,30.102,30.134,29.86672039,55.55555556,42.22222222
2020-01-02T09:00:00Z,30.134,30.177,30.133,30.154,29.87290598,67.55555556,52.14814815
2020-01-02T09:30:00Z,30.154,30.157,30.144,30.147,29.88506974,76.44444444,66.51851852
2020-01-02T10:00:00Z,30.147,30.164,30.146,30.164,29.89674695,70.66666667,71.55555556
2020-01-02T10:30:00Z,30.164,30.164,30.15,30.154,29.90795707,70.66666667,72.59259259
2020-01-02T11:00:00Z,30.154,30.16,30.152,30.159,29.91871879,70.36363636,70.56565657
2020-01-02T11:30:00Z,30.159,30.162,30.152,30.156,29.92905004,62.80808081,67.94612795
2020-01-02T12:00:00Z,30.156,30.162,30.155,30.158,29.93896804,61.91919192,65.03030303
2020-01-02T12:30:00Z,30.158,30.158,30.132,30.15,29.94848932,60.97222222,61.89983165
2020-01-02T13:00:00Z,30.15,30.15,30.135,30.142,29.95762974,52.08333333,58.32491582
2020-01-02T13:30:00Z,30.142,30.142,30.134,30.134,29.96640455,32.08333333,48.37962963
2020-01-02T14:00:00Z,30.134,30.138,30.128,30.13,29.97482837,15.29411765,33.15359477
2020-01-02T14:30:00Z,30.13,30.132,30.126,30.13,29.98291524,8.349673203,18.57570806
2020-01-02T15:00:00Z,30.13,30.132,30.128,30.129,29.99067863,10.29411765,11.31263617
2020-01-02T15:30:00Z,30.129,30.154,30.128,30.154,29.99813148,41.66666667,20.10348584
2020-01-02T16:00:00Z,30.154,30.162,30.15,30.15,30.00528622,59.72222222,37.22766885
2020-01-02T16:30:00Z,30.15,30.162,30.15,30.158,30.01215477,85.18518519,62.19135802
2020-01-02T17:00:00Z,30.158,30.162,30.155,30.156,30.01874858,79.30283224,74.73674655
2020-01-02T17:30:00Z,30.156,30.156,30.154,30.156,30.02507864,84.53159041,83.00653595
2020-01-02T18:00:00Z,30.156,30.156,30.153,30.154,30.03115549,66.0130719,76.61583152
2020-01-02T18:30:00Z,30.154,30.154,30.152,30.153,30.03698927,46.89542484,65.81336238
2020-01-02T19:00:00Z,30.153,30.156,30.15,30.15,30.0425897,19.44444444,44.11764706
2020-01-02T19:30:00Z,30.15,30.15,30.138,30.142,30.04796612,15.74074074,27.36020334
2020-01-02T20:00:00Z,30.142,30.143,30.136,30.136,30.05312747,7.407407407,14.19753086
2020-01-02T20:30:00Z,30.136,30.136,30.128,30.134,30.05808237,14.55026455,12.56613757
2020-01-02T21:00:00Z,30.134,30.152,30.134,30.152,30.06283908,35.71428571,19.22398589
2020-01-02T21:30:00Z,30.152,30.162,30.152,30.162,30.06740551,69.04761905,39.7707231
2020-01-02T22:00:00Z,30.162,30.164,30.138,30.142,30.07178929,74.86772487,59.87654321
2020-01-02T22:30:00Z,30.142,30.153,30.142,30.15,30.07599772,66.66666667,70.19400353
2020-01-02T23:00:00Z,30.15,30.15,30.148,30.148,30.08003781,48.88888889,63.47442681
2020-01-02T23:30:00Z,30.148,30.157,30.148,30.154,30.0839163,56.43874644,57.331434
2020-01-03T00:00:00Z,30.154,30.154,30.134,30.138,30.08763965,40.51282051,48.61348528
2020-01-03T00:30:00Z,30.138,30.144,30.118,30.122,30.09121406,28.37606838,41.77587844
2020-01-03T01:00:00Z,30.122,30.134,30.121,30.128,30.0946455,16.41025641,28.43304843
2020-01-03T01:30:00Z,30.128,30.19,30.116,30.165,30.09793968,34.03788404,26.27473627
2020-01-03T02:00:00Z,30.165,30.17,30.153,30.153,30.1034633,47.28574729,32.57796258
2020-01-03T02:30:00Z,30.153,30.158,30.146,30.158,30.1086555,57.65765766,46.32709633
2020-01-03T03:00:00Z,30.158,30.168,30.154,30.166,30.11353617,58.10810811,54.35050435
2020-01-03T03:30:00Z,30.166,30.178,30.164,30.165,30.118124,63.51351351,59.75975976
2020-01-03T04:00:00Z,30.165,30.167,30.164,30.164,30.12243656,63.34459459,61.65540541
2020-01-03T04:30:00Z,30.164,30.166,30.16,30.164,30.12649037,59.57207207,62.14339339
2020-01-03T05:00:00Z,30.164,30.167,30.162,30.163,30.13030095,50,57.63888889
2020-01-03T05:30:00Z,30.163,30.164,30.158,30.162,30.13388289,37.91666667,49.16291291
2020-01-03T06:30:00Z,30.162,30.163,30.16,30.162,30.13724992,33.98148148,40.63271605
2020-01-03T07:00:00Z,30.162,30.167,30.161,30.161,30.14041492,32.59259259,34.83024691
2020-01-03T07:30:00Z,30.161,30.17,30.161,30.169,30.14339002,56.48148148,41.01851852
2020-01-03T08:00:00Z,30.169,30.172,30.132,30.152,30.19,58.33333333,49.13580247
2020-01-03T08:30:00Z,30.152,30.152,30.145,30.145,30.18884,58.05555556,57.62345679
2020-01-03T09:00:00Z,30.145,30.176,30.136,30.168,30.1877032,54.77272727,57.05387205
2020-01-03T09:30:00Z,30.168,30.168,30.152,30.152,30.18658914,53.25757576,55.36195286
2020-01-03T10:00:00Z,30.152,30.156,30.15,30.154,30.18549735,59.09090909,55.70707071
2020-01-03T10:30:00Z,30.154,30.158,30.154,30.158,30.18442741,50.15151515,54.16666667
2020-01-03T11:30:00Z,30.158,30.158,30.152,30.152,30.18337886,48.33333333,52.52525253
2020-01-03T12:00:00Z,30.152,30.152,30.146,30.15,30.18235128,37.72727273,45.4040404
2020-01-03T12:30:00Z,30.15,30.152,30.15,30.152,30.18134426,36.06060606,40.70707071
2020-01-03T13:00:00Z,30.152,30.153,30.15,30.152,30.18035737,39.39393939,37.72727273
2020-01-03T13:30:00Z,30.152,30.154,30.152,30.154,30.17939022,55.55555556,43.67003367
2020-01-03T14:00:00Z,30.154,30.154,30.148,30.152,30.17844242,63.88888889,52.94612795
2020-01-03T14:30:00Z,30.152,30.152,30.148,30.15,30.17751357,58.33333333,59.25925926
2020-01-03T15:00:00Z,30.15,30.155,30.144,30.155,30.1766033,69.44444444,63.88888889
2020-01-03T15:30:00Z,30.155,30.169,30.155,30.168,30.17571123,76.44444444,68.07407407
2020-01-03T16:00:00Z,30.168,30.17,30.164,30.17,30.17483701,98.66666667,81.51851852
2020-01-03T16:30:00Z,30.17,30.18,30.17,30.178,30.132,96.81481481,90.64197531
2020-01-03T17:00:00Z,30.178,30.184,30.178,30.18,30.13296,94.81481481,96.7654321
2020-01-03T17:30:00Z,30.18,30.18,30.171,30.172,30.1350016,81.02171137,90.88378033
2020-01-03T18:00:00Z,30.172,30.175,30.172,30.174,30.13696154,66.20689655,80.68114091
2020-01-03T18:30:00Z,30.174,30.177,30.172,30.172,30.13884307,40.96880131,62.73246974
2020-01-03T19:00:00Z,30.172,30.174,30.172,30.174,30.14064935,29.12087912,45.43219233
2020-01-03T19:30:00Z,30.174,30.174,30.168,30.168,30.14238338,12.45421245,27.51463096
2020-01-03T20:00:00Z,30.168,30.168,30.168,30.168,30.14404804,7.692307692,16.42246642
