time,open,high,low,close,%K,%D
2009-02-06T02:00:00Z,75,75.5,74,75,51.11111111,61.05820106
2009-02-06T06:00:00Z,75,76,74.5,75,40,49.78835979
2009-02-10T02:00:00Z,76,76,75,75,50,47.03703704
2009-02-10T06:00:00Z,75,76.5,75,76,60,50
2009-02-11T02:00:00Z,74.5,75.5,74,75.5,63.33333333,57.77777778
2009-02-11T06:00:00Z,75,76.5,75,76,73.33333333,65.55555556
2009-02-12T02:00:00Z,76,77,75,76.5,74.44444444,70.37037037
2009-02-12T06:00:00Z,76,76.5,76,76.5,82.22222222,76.66666667
2009-02-13T02:00:00Z,76,77,76,77,88.88888889,81.85185185
2009-02-13T06:00:00Z,76.5,78,76.5,77.5,88.88888889,86.66666667
2009-02-16T02:00:00Z,77.5,77.5,76.5,76.5,77.77777778,85.18518519
2009-02-16T06:00:00Z,76.5,77.5,76.5,77.5,69.44444444,78.7037037
2009-02-17T02:00:00Z,76.5,77,75.5,76,48.33333333,65.18518519
2009-02-17T06:00:00Z,76,76.5,76,76,38.33333333,52.03703704
2009-02-18T02:00:00Z,75.5,76.5,75.5,76.5,30,38.88888889
2009-02-18T06:00:00Z,76.5,77.5,76.5,77,48.33333333,38.88888889
2009-02-19T02:00:00Z,77.5,80.5,77.5,80,71.66666667,50
2009-02-19T06:00:00Z,80,80.5,79,79,78.33333333,66.11111111
2009-02-20T02:00:00Z,78.5,79,78,78.5,73.33333333,74.44444444
2009-02-20T06:00:00Z,78.5,79,78,78,55.83333333,69.16666667
2009-02-23T02:00:00Z,78,78.5,77.5,77.5,32.5,53.88888889
2009-02-23T06:00:00Z,78,78.5,77.5,78,18.05555556,35.46296296
2009-02-24T02:00:00Z,77,77,76.5,77,12.22222222,20.92592593
2009-02-24T06:00:00Z,76.5,77.5,76.5,77.5,25.55555556,18.61111111
2009-02-25T02:00:00Z,78,78.5,78,78.5,53.33333333,30.37037037
2009-02-25T06:00:00Z,78,80.5,78,79.5,71.66666667,50.18518519
2009-02-26T02:00:00Z,80,81,79.5,79.5,80.55555556,68.51851852
2009-02-26T06:00:00Z,79.5,81.5,79.5,81,77.22222222,76.48148148
2009-02-27T02:00:00Z,81,81.5,80,81.5,85.55555556,81.11111111
2009-02-27T06:00:00Z,81.5,82.5,80.5,80.5,81.85185185,81.54320988
2009-03-02T02:00:00Z,80.5,81,79.5,80,57.40740741,74.9382716
2009-03-02T06:00:00Z,80,81.5,80,81.5,46.2962963,61.85185185
2009-03-03T02:00:00Z,79,80,78.5,80,40.27777778,47.99382716
2009-03-03T06:00:00Z,79.5,80,79,79,38.88888889,41.82098765
2009-03-04T02:00:00Z,79,79,78,79,26.19047619,35.11904762
2009-03-04T06:00:00Z,78.5,80,78.5,79.5,27.97619048,31.01851852
2009-03-05T02:00:00Z,80,81.5,79,81.5,57.14285714,37.1031746
2009-03-05T06:00:00Z,81,81.5,79.5,80.5,71.42857143,52.18253968
2009-03-06T02:00:00Z,81,82,80.5,81.5,86.30952381,71.62698413
2009-03-06T06:00:00Z,81.5,82,81.5,82,86.30952381,81.34920635
2009-03-09T02:00:00Z,82,82,80,81,84.72222222,85.78042328
2009-03-09T06:00:00Z,80,84,80,83.5,85.18518519,85.40564374
2009-03-10T02:00:00Z,82.5,83,81,81,60.18518519,76.69753086
2009-03-10T06:00:00Z,81,81.5,80,81,46.2962963,63.88888889
2009-03-11T02:00:00Z,81.5,81.5,80.5,81,25,43.82716049
2009-03-11T06:00:00Z,80.5,81,80,80,16.66666667,29.32098765
2009-03-12T02:00:00Z,80,80.5,79,79.5,12.5,18.05555556
2009-03-12T06:00:00Z,79,81,79,81,30.83333333,20
2009-03-13T02:00:00Z,81.5,81.5,80.5,81,57.5,33.61111111
2009-03-13T06:00:00Z,81,81,80,80.5,73.33333333,53.88888889
2009-03-16T02:00:00Z,81,81.5,80.5,80.5,66.66666667,65.83333333
2009-03-16T06:00:00Z,80.5,82,80.5,81,62.22222222,67.40740741
2009-03-17T02:00:00Z,80.5,81.5,80.5,81.5,67.22222222,65.37037037
2009-03-17T06:00:00Z,81.5,82,80.5,80.5,55.55555556,61.66666667
2009-03-18T02:00:00Z,81,81.5,80.5,81.5,55.55555556,59.44444444
2009-03-18T06:00:00Z,81,82.5,81,82.5,63.88888889,58.33333333
2009-03-19T02:00:00Z,82.5,84,82.5,84,88.88888889,69.44444444
2009-03-19T06:00:00Z,84,84.5,83,84.5,100,84.25925926
2009-03-20T02:00:00Z,85,85,83,83.5,88.88888889,92.59259259
2009-03-20T06:00:00Z,83.5,83.5,81.5,82.5,68.05555556,85.64814815
2009-03-23T02:00:00Z,83.5,84,82.5,83,49.00793651,68.65079365
2009-03-23T06:00:00Z,83,84,82.5,82.5,36.30952381,51.12433862
2009-03-24T02:00:00Z,83,83,80,81,30.47619048,38.5978836
2009-03-24T06:00:00Z,81,81.5,80.5,80.5,20.35714286,29.04761905
2009-03-25T02:00:00Z,80.5,81.5,80.5,81,19.16666667,23.33333333
2009-03-25T06:00:00Z,81,81.5,80.5,81.5,25,21.50793651
2009-03-26T02:00:00Z,82,82.5,81.5,82.5,48.61111111,30.92592593
2009-03-26T06:00:00Z,82.5,83.5,82,83,68.05555556,47.22222222
2009-03-27T02:00:00Z,83.5,84,82.5,82.5,74.6031746,63.75661376
2009-03-27T06:00:00Z,83,83.5,82.5,83.5,75.3968254,72.68518519
2009-03-30T02:00:00Z,82.75,84,82.75,83.5,74.28571429,74.76190476
2009-03-30T06:00:00Z,83.5,83.5,83,83.25,76.07142857,75.25132275
2009-03-31T02:00:00Z,83.25,83.5,82.5,82.5,47.5,65.95238095
2009-03-31T06:00:00Z,82.75,83,82.5,82.75,26.38888889,49.98677249
2009-04-01T02:00:00Z,82.75,82.75,81.5,81.5,5.555555556,26.48148148
2009-04-01T06:00:00Z,81.75,81.75,81.5,81.5,5.555555556,12.5
2009-04-02T02:00:00Z,82,82,81.25,81.75,7.407407407,6.172839506
2009-04-02T06:00:00Z,81.75,82,81.25,82,21.69312169,11.55202822
2009-04-03T02:00:00Z,81.25,81.5,80.5,80.75,25.3968254,18.16578483
