index,status,open_price,high_bar,low_bar,range,TP_bar,side,setup,consec,profit%
1,Sell win,0.84963,56,112,45,21,Sell,0.333333333,0,55
2,Sell win,0.84782,39,30,40,1,Sell,-0.130434783,1,25
3,Buy win,0.853,75,25,45,13,Buy,0.5,2,60
4,Sell win,0.85225,50,39,25,2,Sell,-0.123595506,3,15
5,Sell win,0.84904,9,21,10,1,Sell,0.4,4,55
6,Buy loss,0.84529,33,39,20,0,Buy,-0.083333333,5,-160
7,Sell win,0.84191,42,48,20,12,Sell,0.066666667,0,20
8,Sell win,0.84078,14,22,15,1,Sell,0.222222222,1,30
9,Buy win,0.84423,31,13,10,2,Buy,0.409090909,2,60
10,Buy loss,0.84855,80,46,25,0,Buy,0.26984127,3,-215
11,Sell win,0.84348,87,53,25,1,Sell,-0.242857143,0,5
12,Sell win,0.84152,21,33,20,3,Sell,0.222222222,1,55
13,Buy win,0.85228,12,93,130,2,Buy,-0.771428571,2,5
14,Sell win,0.84656,48,26,70,4,Sell,-0.297297297,3,15
15,Buy loss,0.85026,22,43,30,0,Buy,-0.323076923,4,-130
16,Sell win,0.84641,33,54,30,2,Sell,0.24137931,0,55
17,Sell loss,0.82979,7,138,40,0,Sell,0.903448276,1,-30
18,Buy win,0.83097,37,168,40,11,Buy,-0.63902439,0,15
19,Buy win,0.83686,11,71,65,11,Buy,-0.731707317,1,60
20,Sell loss,0.83459,43,102,60,0,Sell,0.406896552,2,-45
21,Buy win,0.83726,74,133,60,5,Buy,-0.285024155,0,25
22,Buy win,0.87395,47,74,145,26,Buy,-0.223140496,1,0
23,Buy win,0.869,14,49,55,3,Buy,-0.555555556,2,5
24,Buy win,0.87347,25,10,65,23,Buy,0.428571429,3,10
25,Buy win,0.87601,38,11,55,2,Buy,0.551020408,4,30
26,Buy win,0.88023,25,20,75,33,Buy,0.111111111,5,55
27,Buy win,0.89662,25,13,85,1,Buy,0.315789474,6,25
28,Sell win,0.90928,36,24,40,2,Sell,-0.2,7,45
29,Buy win,0.91657,51,15,60,1,Buy,0.545454545,8,10
30,Sell win,0.91493,18,32,170,14,Sell,0.28,9,60
31,Buy win,0.92396,23,41,210,2,Buy,-0.28125,10,15
32,Sell win,0.91291,13,34,80,5,Sell,0.446808511,11,50
33,Sell win,0.88899,13,37,65,1,Sell,0.48,12,35
34,Sell win,0.88152,15,46,85,39,Sell,0.508196721,13,30
35,Sell win,0.87623,55,17,20,19,Sell,-0.527777778,14,60
36,Sell win,0.8699,20,38,20,16,Sell,0.310344828,15,45
37,Sell win,0.8719,107,19,130,86,Sell,-0.698412698,16,5
38,Sell win,0.87102,33,20,25,1,Sell,-0.245283019,17,60
39,Sell win,0.87164,33,12,35,2,Sell,-0.466666667,18,20
40,Buy loss,0.88029,18,82,125,0,Buy,-0.64,19,-30
41,Sell win,0.87658,33,97,125,7,Sell,0.492307692,0,5
42,Buy win,0.87685,24,7,55,94,Buy,0.548387097,1,55
43,Buy win,0.88065,51,40,45,3,Buy,0.120879121,2,40
44,Buy win,0.8882,89,33,40,2,Buy,0.459016393,3,30
45,Buy win,0.89551,75,45,50,55,Buy,0.25,4,5
46,Sell win,0.89569,5,9,30,39,Sell,0.285714286,5,45
47,Sell win,0.89298,19,61,20,18,Sell,0.525,6,0
48,Sell win,0.89838,9,13,30,23,Sell,0.181818182,7,50
49,Sell loss,0.88927,11,19,20,0,Sell,0.266666667,8,-115
50,Buy loss,0.89156,21,29,20,0,Buy,-0.16,7,-130
51,Sell win,0.88902,38,46,20,3,Sell,0.095238095,0,40
52,Buy loss,0.8964,8,106,85,0,Buy,-0.859649123,1,-90
53,Sell win,0.88881,83,181,85,37,Sell,0.371212121,0,10
54,Sell win,0.89,10,25,20,4,Sell,0.428571429,1,60
55,Sell loss,0.89501,6,24,30,0,Sell,0.6,2,-140
56,Buy win,0.89905,22,40,30,24,Buy,-0.290322581,0,60
57,Sell win,0.89448,5,11,25,4,Sell,0.375,1,55
58,Buy win,0.89879,54,85,65,2,Buy,-0.223021583,2,25
59,Sell loss,0.90145,29,23,20,0,Sell,-0.115384615,3,-105
60,Buy win,0.90356,36,30,20,3,Buy,0.090909091,0,60
61,Buy loss,0.90732,96,27,50,0,Buy,0.56097561,1,-95
62,Sell win,0.90258,138,69,50,50,Sell,-0.333333333,0,40
63,Buy win,0.9037,9,20,10,1,Buy,-0.379310345,1,40
64,Sell win,0.90515,85,23,110,2,Sell,-0.574074074,2,5
65,Sell win,0.90137,51,75,15,24,Sell,0.19047619,3,55
66,Sell win,0.89893,49,82,60,57,Sell,0.251908397,4,10
67,Buy win,0.89985,118,46,60,10,Buy,0.43902439,5,60
68,Buy win,0.90979,51,36,35,6,Buy,0.172413793,6,50
69,Buy loss,0.91326,31,17,50,0,Buy,0.291666667,7,-120
70,Sell win,0.90732,42,28,50,3,Sell,-0.2,0,40
71,Sell win,0.90993,28,8,20,20,Sell,-0.555555556,1,45
72,Buy loss,0.91396,10,50,45,0,Buy,-0.666666667,2,-85
73,Sell win,0.91002,51,91,45,10,Sell,0.281690141,0,25
74,Sell win,0.90467,8,28,30,2,Sell,0.555555556,1,35
75,Sell win,0.90211,12,41,35,5,Sell,0.547169811,2,55
76,Buy win,0.90357,7,32,25,15,Buy,-0.641025641,3,45
77,Buy loss,0.90396,24,48,50,0,Buy,-0.333333333,4,-105
78,Sell loss,0.8989,79,103,50,0,Sell,0.131868132,3,-110
79,Buy win,0.90439,172,196,50,123,Buy,-0.065217391,0,15
80,Sell loss,0.90046,80,18,60,25,Sell,-0.632653061,1,-60
81,Buy win,0.90403,80,18,60,14,Buy,0.632653061,0,0
82,Sell win,0.89702,5,15,10,8,Sell,0.5,1,55
83,Sell win,0.90044,41,18,30,2,Sell,-0.389830508,2,35
84,Sell win,0.89349,12,45,30,2,Sell,0.578947368,3,55
85,Sell win,0.89211,40,27,40,2,Sell,-0.194029851,4,30
86,Sell loss,0.88754,14,22,25,0,Sell,0.222222222,5,-120
87,Buy win,0.89053,38,46,25,5,Buy,-0.095238095,0,45
88,Buy win,0.89419,28,15,30,5,Buy,0.302325581,1,60
89,Buy win,0.8992,37,22,25,2,Buy,0.254237288,2,60
90,Buy win,0.91376,48,38,55,1,Buy,0.11627907,3,40
91,Buy loss,0.92628,42,12,45,0,Buy,0.555555556,4,-120
92,Sell win,0.92075,90,60,45,56,Sell,-0.2,0,50
93,Buy win,0.9202,213,166,115,25,Buy,0.124010554,1,0
94,Sell win,0.91748,9,18,35,4,Sell,0.333333333,2,45
95,Sell win,0.91202,47,62,40,3,Sell,0.137614679,3,55
96,Sell loss,0.90635,43,71,80,0,Sell,0.245614035,4,-70
97,Buy win,0.91206,189,217,80,2,Buy,-0.068965517,0,0
98,Sell win,0.90705,18,68,50,41,Sell,0.581395349,1,60
99,Sell loss,0.90269,11,91,85,0,Sell,0.784313725,2,-85
100,Buy win,0.90978,187,267,85,15,Buy,-0.176211454,0,45
101,Sell win,0.90566,30,22,30,1,Sell,-0.153846154,1,0
102,Buy win,0.90753,10,17,10,3,Buy,-0.259259259,2,55
103,Sell win,0.90137,41,53,45,46,Sell,0.127659574,3,30
104,Sell win,0.89926,60,50,50,2,Sell,-0.090909091,4,20
105,Sell win,0.90086,54,16,45,4,Sell,-0.542857143,5,50
106,Sell win,0.88942,31,20,40,1,Sell,-0.215686275,6,50
107,Buy win,0.89173,24,12,50,31,Buy,0.333333333,7,60
108,Sell win,0.89573,126,75,45,47,Sell,-0.253731343,8,45
109,Sell win,0.89124,59,116,45,14,Sell,0.325714286,9,55
110,Buy win,0.8941,36,85,35,1,Buy,-0.404958678,10,35
111,Buy win,0.90049,61,121,85,32,Buy,-0.32967033,11,35
112,Sell loss,0.89946,10,41,60,0,Sell,0.607843137,12,-200
113,Buy win,0.91155,47,78,60,1,Buy,-0.248,0,25
114,Sell win,0.90406,39,18,55,2,Sell,-0.368421053,1,0
115,Sell win,0.90453,14,59,100,31,Sell,0.616438356,2,20
116,Buy win,0.90497,94,30,65,37,Buy,0.516129032,3,55
117,Sell win,0.90813,32,65,60,14,Sell,0.340206186,4,55
118,Sell loss,0.8952,108,198,135,0,Sell,0.294117647,5,-75
119,Buy win,0.90515,185,275,135,72,Buy,-0.195652174,0,5
120,Sell win,0.90138,29,38,35,4,Sell,0.134328358,1,50
121,Sell win,0.89951,19,38,35,25,Sell,0.333333333,2,60
122,Sell win,0.89196,25,33,20,2,Sell,0.137931034,3,50
123,Sell win,0.88825,39,49,30,36,Sell,0.113636364,4,45
124,Buy win,0.89085,35,19,25,3,Buy,0.296296296,5,50
125,Sell win,0.88263,142,192,80,137,Sell,0.149700599,6,0
126,Sell loss,0.87994,37,47,40,0,Sell,0.119047619,7,-80
127,Buy loss,0.88311,122,132,40,0,Buy,-0.039370079,6,-110
128,Sell win,0.87866,137,147,40,1,Sell,0.035211268,0,5
129,Buy loss,0.87916,45,9,30,0,Buy,0.666666667,1,-105
130,Sell win,0.87616,90,54,30,37,Sell,-0.25,0,0
131,Sell win,0.87493,17,68,35,22,Sell,0.6,1,50
132,Sell win,0.87023,8,21,30,15,Sell,0.448275862,2,5
133,Sell win,0.86894,25,7,25,14,Sell,-0.5625,3,20
134,Sell win,0.86448,17,57,30,30,Sell,0.540540541,4,25
135,Buy win,0.86134,31,50,45,1,Buy,-0.234567901,5,20
136,Buy win,0.86629,15,35,25,2,Buy,-0.4,6,20
137,Sell win,0.86257,25,46,25,2,Sell,0.295774648,7,50
138,Sell win,0.86034,7,19,10,2,Sell,0.461538462,8,45
139,Sell win,0.85594,23,48,20,21,Sell,0.352112676,9,30
140,Buy loss,0.85787,42,49,25,0,Buy,-0.076923077,10,-120
141,Sell loss,0.85505,55,62,25,0,Sell,0.05982906,9,-100
142,Buy win,0.85737,61,68,25,35,Buy,-0.054263566,0,45
143,Buy win,0.85969,52,11,35,32,Buy,0.650793651,1,60
144,Buy win,0.85974,17,95,60,2,Buy,-0.696428571,2,15
145,Sell win,0.85157,188,37,100,1,Sell,-0.671111111,3,15
146,Buy loss,0.8552,42,55,40,0,Buy,-0.134020619,4,-105
147,Sell win,0.85084,89,102,40,48,Sell,0.068062827,0,10
148,Buy win,0.85003,28,41,25,2,Buy,-0.188405797,1,60
149,Buy win,0.85941,17,49,105,2,Buy,-0.484848485,2,0
150,Buy win,0.86657,50,17,30,4,Buy,0.492537313,3,30
151,Buy loss,0.86801,23,16,15,0,Buy,0.179487179,4,-120
152,Sell win,0.86645,25,18,15,4,Sell,-0.162790698,0,55
153,Sell loss,0.86489,5,37,40,0,Sell,0.761904762,1,-110
154,Buy win,0.86923,64,96,40,131,Buy,-0.2,0,60
155,Sell win,0.86225,8,16,30,2,Sell,0.333333333,1,25
156,Buy win,0.86403,17,6,25,38,Buy,0.47826087,2,60
157,Buy loss,0.87182,15,62,45,0,Buy,-0.61038961,3,-45
158,Sell win,0.86963,30,77,45,1,Sell,0.439252336,0,15
159,Sell win,0.86851,38,54,20,87,Sell,0.173913043,1,10
160,Buy win,0.86999,22,47,20,11,Buy,-0.362318841,2,35
161,Sell win,0.8666,48,28,40,5,Sell,-0.263157895,3,15
162,Sell win,0.86461,12,17,35,25,Sell,0.172413793,4,60
163,Buy loss,0.8694,46,86,65,0,Buy,-0.303030303,5,-60
164,Sell win,0.86528,78,118,65,3,Sell,0.204081633,0,15
165,Sell win,0.85855,14,42,20,25,Sell,0.5,1,10
166,Buy win,0.86149,37,22,25,52,Buy,0.254237288,2,30
167,Buy win,0.86305,14,64,45,39,Buy,-0.641025641,3,15
168,Buy win,0.86195,13,41,25,2,Buy,-0.518518519,4,45
169,Buy win,0.86506,49,9,25,4,Buy,0.689655172,5,45
170,Sell win,0.86353,7,13,20,31,Sell,0.3,6,20
171,Buy win,0.85905,9,21,10,4,Buy,-0.4,7,50
172,Buy win,0.86108,37,88,35,2,Buy,-0.408,8,45
173,Buy win,0.86091,51,38,30,12,Buy,0.146067416,9,60
174,Sell loss,0.85923,34,20,30,0,Sell,-0.259259259,10,-110
175,Buy win,0.86275,46,32,30,37,Buy,0.179487179,0,30
176,Buy loss,0.8599,7,18,15,0,Buy,-0.44,1,-110
177,Sell win,0.85816,17,28,15,1,Sell,0.244444444,0,55
178,Sell loss,0.85702,67,156,50,0,Sell,0.399103139,1,-25
179,Buy win,0.85836,146,235,50,4,Buy,-0.233595801,0,10
180,Sell win,0.85494,28,81,50,41,Sell,0.486238532,1,0
181,Buy win,0.85863,38,26,25,10,Buy,0.1875,2,55
182,Sell win,0.85829,32,25,15,4,Sell,-0.122807018,3,60
183,Buy loss,0.8598,15,40,30,0,Buy,-0.454545455,4,-30
184,Sell loss,0.85899,48,73,30,0,Sell,0.20661157,3,-40
185,Buy win,0.86019,60,85,30,1,Buy,-0.172413793,0,0
186,Buy loss,0.86117,96,35,35,0,Buy,0.465648855,1,-120
187,Sell win,0.85684,176,115,35,52,Sell,-0.209621993,0,60
188,Buy win,0.85807,35,41,35,51,Buy,-0.078947368,1,45
189,Sell win,0.85364,24,48,25,37,Sell,0.333333333,2,0
190,Sell win,0.85211,38,19,30,4,Sell,-0.333333333,3,10
191,Buy win,0.85589,9,41,45,4,Buy,-0.64,4,10
192,Buy win,0.85499,25,41,35,16,Buy,-0.242424242,5,35
193,Buy win,0.8641,62,38,15,1,Buy,0.24,6,50
194,Sell win,0.85488,9,45,20,4,Sell,0.666666667,7,55
195,Sell win,0.85035,11,27,10,1,Sell,0.421052632,8,5
196,Sell win,0.85198,12,20,10,1,Sell,0.25,9,30
197,Sell win,0.85095,38,32,15,3,Sell,-0.085714286,10,30
198,Sell win,0.84686,47,20,15,3,Sell,-0.402985075,11,40
199,Sell loss,0.84607,46,21,20,0,Sell,-0.373134328,12,-105
200,Buy win,0.84829,61,36,20,3,Buy,0.257731959,0,55
201,Sell loss,0.85078,74,16,25,0,Sell,-0.644444444,1,-125
202,Buy win,0.85393,90,32,25,2,Buy,0.475409836,0,35
203,Buy win,0.85663,28,63,20,53,Buy,-0.384615385,1,50
204,Buy win,0.85804,8,84,15,2,Buy,-0.826086957,2,20
205,Buy loss,0.85988,25,15,15,0,Buy,0.25,3,-155
206,Sell win,0.85777,73,63,15,38,Sell,-0.073529412,0,0
207,Buy win,0.85798,27,33,15,2,Buy,-0.1,1,20
208,Sell win,0.85815,8,29,15,20,Sell,0.567567568,2,45
209,Sell win,0.85322,57,39,55,6,Sell,-0.1875,3,20
210,Sell win,0.85267,12,8,10,27,Sell,-0.2,4,30
211,Sell loss,0.8514,9,43,20,11,Sell,0.653846154,5,-120
212,Buy win,0.85378,9,43,20,6,Buy,-0.653846154,0,55
213,Sell win,0.85327,23,14,20,35,Sell,-0.243243243,1,30
214,Buy win,0.85329,7,23,10,2,Buy,-0.533333333,2,50
215,Buy win,0.85932,44,14,20,37,Buy,0.517241379,3,55
216,Sell loss,0.85311,19,82,40,0,Sell,0.623762376,4,-145
217,Buy win,0.85889,71,134,40,3,Buy,-0.307317073,0,30
218,Sell win,0.86154,40,54,35,4,Sell,0.14893617,1,55
219,Sell win,0.85784,6,37,30,5,Sell,0.720930233,2,50
220,Sell win,0.85046,100,35,65,4,Sell,-0.481481481,3,15
