time,open,high,low,close,%K,%D
2009-02-06T02:00:00Z,72.5,75,72.5,75,80,75.31746032
2009-02-06T06:00:00Z,75,76.5,74.5,75.5,80,76.82539683
2009-02-10T02:00:00Z,76,76.5,73.5,73.5,73.33333333,77.77777778
2009-02-10T06:00:00Z,74,74.5,73.5,73.5,53.33333333,68.88888889
2009-02-11T02:00:00Z,73,74,72.5,73.5,35,53.88888889
2009-02-11T06:00:00Z,73.5,75,73.5,74,34.16666667,40.83333333
2009-02-12T02:00:00Z,74,75,74,75,41.66666667,36.94444444
2009-02-12T06:00:00Z,74.5,75,74.5,74.5,60,45.27777778
2009-02-13T02:00:00Z,75.5,77.5,75.5,77,77.5,59.72222222
2009-02-13T06:00:00Z,77,78.5,77,78.5,90,75.83333333
2009-02-16T02:00:00Z,78,78.5,76.5,77,85.55555556,84.35185185
2009-02-16T06:00:00Z,77,78,76.5,77.5,80.55555556,85.37037037
2009-02-17T02:00:00Z,76.5,76.5,74.5,75.5,55.55555556,73.88888889
2009-02-17T06:00:00Z,74.5,74.5,73.5,74,36.66666667,57.59259259
2009-02-18T02:00:00Z,73.5,74,73,73.5,14.6969697,35.63973064
2009-02-18T06:00:00Z,74,75,74,75,19.6969697,23.68686869
2009-02-19T02:00:00Z,75,76.5,75,76,44.93506494,26.44300144
2009-02-19T06:00:00Z,76,77,75.5,76,66.9047619,43.84559885
2009-02-20T02:00:00Z,75.5,75.5,74,74.5,66.07142857,59.3037518
2009-02-20T06:00:00Z,74.5,74.5,74,74.5,43.05555556,58.67724868
2009-02-23T02:00:00Z,74,75,73.5,73.5,18.05555556,42.39417989
2009-02-23T06:00:00Z,73.5,74.5,73.5,74.5,15.07936508,25.3968254
2009-02-24T02:00:00Z,73,73.5,71.5,72,13.69047619,15.60846561
2009-02-24T06:00:00Z,72,72.5,71.5,72.5,23.21428571,17.32804233
2009-02-25T02:00:00Z,73.5,73.5,72.5,73,27.97619048,21.62698413
2009-02-25T06:00:00Z,73,73,72.5,72.5,34.92063492,28.7037037
2009-02-26T02:00:00Z,73,73.5,72.5,73,50.3968254,37.76455026
2009-02-26T06:00:00Z,73,75,73,75,69.44444444,51.58730159
2009-02-27T02:00:00Z,75,75.5,74,75,86.11111111,68.65079365
2009-02-27T06:00:00Z,74.5,75.5,74.5,74.5,83.33333333,79.62962963
2009-03-02T02:00:00Z,74.5,74.5,72,72.5,54.76190476,74.73544974
2009-03-02T06:00:00Z,72,72.5,70.5,70.5,26.98412698,55.02645503
2009-03-03T02:00:00Z,70.5,71,69,70,9.89010989,30.54538055
2009-03-03T06:00:00Z,70,70,68.5,69,7.509157509,14.79446479
2009-03-04T02:00:00Z,69,71,69,71,21.3980464,12.93243793
2009-03-04T06:00:00Z,71,72,71,71.5,41.26984127,23.39234839
2009-03-05T02:00:00Z,72,74.5,71.5,74,69.44444444,44.03744404
2009-03-05T06:00:00Z,74,75,74,74,83.76068376,64.82498982
2009-03-06T02:00:00Z,74,75.5,73,74.5,86.96581197,80.05698006
2009-03-06T06:00:00Z,74.5,75.5,73.5,74,78.63247863,83.11965812
2009-03-09T02:00:00Z,74,74.5,72.5,73,62.92735043,76.17521368
2009-03-09T06:00:00Z,72.5,73,72,72,34.72222222,58.76068376
2009-03-10T02:00:00Z,73,73,72,72.5,17.26190476,38.3038258
2009-03-10T06:00:00Z,72.5,73,72,73,14.28571429,22.08994709
2009-03-11T02:00:00Z,74,74.5,73,74,40.95238095,24.16666667
2009-03-11T06:00:00Z,73.5,73.5,71.5,72,41.74603175,32.32804233
2009-03-12T02:00:00Z,72,73.5,72,73.5,54.44444444,45.71428571
2009-03-12T06:00:00Z,73,74.5,73,74.5,61.11111111,52.43386243
2009-03-13T02:00:00Z,75,76,74.5,76,88.88888889,68.14814815
2009-03-13T06:00:00Z,76,76.5,72,76.5,100,83.33333333
2009-03-16T02:00:00Z,76,77,75.5,76.5,96.66666667,95.18518519
2009-03-16T06:00:00Z,76.5,77.5,76,77,93.63636364,96.76767677
2009-03-17T02:00:00Z,76.5,76.5,75,76,84.54545455,91.61616162
2009-03-17T06:00:00Z,76,76.5,75,75.5,75.75757576,84.64646465
2009-03-18T02:00:00Z,76,76.5,75.5,75.5,52.12121212,70.80808081
2009-03-18T06:00:00Z,76,77,75.5,77,54.54545455,60.80808081
2009-03-19T02:00:00Z,77,77.5,76.5,77.5,66.66666667,57.77777778
2009-03-19T06:00:00Z,77.5,77.5,76,76.5,80,67.07070707
2009-03-20T02:00:00Z,76,76.5,75.5,76.5,70,72.22222222
2009-03-20T06:00:00Z,76,76,75,76,50,66.66666667
2009-03-23T02:00:00Z,76.5,77.5,76.5,77.5,63.33333333,61.11111111
2009-03-23T06:00:00Z,77.5,77.5,76.5,76.5,66.66666667,60
2009-03-24T02:00:00Z,77.5,78,76.5,78,86.66666667,72.22222222
2009-03-24T06:00:00Z,77.5,78.5,77,77.5,77.14285714,76.82539683
2009-03-25T02:00:00Z,76.5,77,76,76.5,63.80952381,75.87301587
2009-03-25T06:00:00Z,76,76,75,76,40,60.31746032
2009-03-26T02:00:00Z,76.5,77,76,76,25.71428571,43.17460317
2009-03-26T06:00:00Z,76.5,77,76,76,28.57142857,31.42857143
