time,open,high,low,close,%K,%D
2009-02-06T02:00:00Z,15.6,16.1,15.6,15.9,65.47619048,52.77777778
2009-02-06T06:00:00Z,16.1,16.7,16.1,16.5,68.68131868,61.38583639
2009-02-10T02:00:00Z,16.5,16.6,16.1,16.2,72.52747253,68.89499389
2009-02-10T06:00:00Z,16.2,16.4,16.2,16.3,70.94017094,70.71632072
2009-02-11T02:00:00Z,16,16.1,15.9,16.1,57.88655789,67.11806712
2009-02-11T06:00:00Z,16,16.4,16,16.3,54.04040404,60.95571096
2009-02-12T02:00:00Z,16.1,16.2,15.9,16,36.58008658,49.5023495
2009-02-12T06:00:00Z,16,16.1,15.9,16,28.0952381,39.57190957
2009-02-13T02:00:00Z,16.2,16.4,16.1,16.4,44.76190476,36.47907648
2009-02-13T06:00:00Z,16.3,16.5,16.3,16.4,67.77777778,46.87830688
2009-02-16T02:00:00Z,16.5,16.5,16.1,16.2,77.77777778,63.43915344
2009-02-16T06:00:00Z,16.2,16.4,16.2,16.3,66.66666667,70.74074074
2009-02-17T02:00:00Z,16.1,16.2,15.9,16,44.44444444,62.96296296
2009-02-17T06:00:00Z,15.9,16,15.7,15.9,36.11111111,49.07407407
2009-02-18T02:00:00Z,15.7,15.9,15.7,15.8,18.05555556,32.87037037
2009-02-18T06:00:00Z,15.8,16,15.8,15.9,22.02380952,25.3968254
2009-02-19T02:00:00Z,15.9,16,15.8,15.9,27.02380952,22.36772487
2009-02-19T06:00:00Z,15.8,16,15.8,15.9,45.07936508,31.37566138
2009-02-20T02:00:00Z,15.8,16,15.7,15.8,46.66666667,39.58994709
2009-02-20T06:00:00Z,15.8,15.8,15.6,15.6,33.33333333,41.69312169
2009-02-23T02:00:00Z,15.5,15.7,15.4,15.7,27.77777778,35.92592593
2009-02-23T06:00:00Z,15.6,15.9,15.6,15.7,33.33333333,31.48148148
2009-02-24T02:00:00Z,15.4,15.5,15.3,15.5,42.85714286,34.65608466
2009-02-24T06:00:00Z,15.5,15.6,15.4,15.6,42.85714286,39.68253968
2009-02-25T02:00:00Z,15.7,15.8,15.7,15.8,53.96825397,46.56084656
2009-02-25T06:00:00Z,15.7,16,15.7,15.8,68.25396825,55.02645503
2009-02-26T02:00:00Z,15.8,16,15.8,15.8,75.3968254,65.87301587
2009-02-26T06:00:00Z,15.8,15.8,15.4,15.5,53.17460317,65.60846561
2009-02-27T02:00:00Z,15.6,15.7,15.4,15.6,40.47619048,56.34920635
2009-02-27T06:00:00Z,15.5,15.7,15.5,15.6,27.77777778,40.47619048
2009-03-02T02:00:00Z,15.4,15.5,15.2,15.3,26.38888889,31.54761905
2009-03-02T06:00:00Z,15.2,15.2,15.1,15.1,15.27777778,23.14814815
2009-03-03T02:00:00Z,14.8,15.1,14.7,15,14.16666667,18.61111111
2009-03-03T06:00:00Z,14.9,15,14.8,15,20,16.48148148
2009-03-04T02:00:00Z,14.9,15,14.8,14.9,28.33333333,20.83333333
2009-03-04T06:00:00Z,15,15.1,14.9,15,38.33333333,28.88888889
2009-03-05T02:00:00Z,14.8,15,14.7,14.9,45,37.22222222
2009-03-05T06:00:00Z,14.8,14.9,14.5,14.5,36.66666667,40
2009-03-06T02:00:00Z,14.3,14.5,14.2,14.4,24.07407407,35.24691358
2009-03-06T06:00:00Z,14.4,14.6,14.4,14.6,22.22222222,27.65432099
2009-03-09T02:00:00Z,14.4,14.6,14.3,14.4,30.55555556,25.61728395
2009-03-09T06:00:00Z,14.3,14.4,14.1,14.1,23.14814815,25.30864198
2009-03-10T02:00:00Z,14.3,14.4,14.2,14.4,28.33333333,27.34567901
2009-03-10T06:00:00Z,14.4,14.6,14.4,14.6,53.33333333,34.9382716
2009-03-11T02:00:00Z,14.8,14.9,14.6,14.7,78.33333333,53.33333333
2009-03-11T06:00:00Z,14.6,14.6,14.4,14.4,70.83333333,67.5
2009-03-12T02:00:00Z,14.4,14.5,14.3,14.4,47.02380952,65.3968254
2009-03-12T06:00:00Z,14.4,14.5,14.3,14.4,27.57936508,48.47883598
2009-03-13T02:00:00Z,14.7,15.2,14.7,15.2,48.41269841,41.00529101
2009-03-13T06:00:00Z,15.2,15.2,14.9,15,64.81481481,46.9356261
2009-03-16T02:00:00Z,14.9,14.9,14.7,14.7,74.07407407,62.43386243
2009-03-16T06:00:00Z,14.8,14.9,14.8,14.9,62.96296296,67.28395062
2009-03-17T02:00:00Z,14.9,15.1,14.9,15.1,63.7037037,66.91358025
2009-03-17T06:00:00Z,15.1,15.2,14.7,14.7,48.88888889,58.51851852
2009-03-18T02:00:00Z,14.9,14.9,14.7,14.8,33.33333333,48.64197531
2009-03-18T06:00:00Z,14.8,14.9,14.8,14.8,13.33333333,31.85185185
2009-03-19T02:00:00Z,14.8,15.3,14.8,15.1,35.55555556,27.40740741
2009-03-19T06:00:00Z,15.1,15.1,14.9,14.9,40,29.62962963
2009-03-20T02:00:00Z,15.2,15.3,15.1,15.2,61.11111111,45.55555556
2009-03-20T06:00:00Z,15.1,15.2,15,15.1,58.88888889,53.33333333
2009-03-23T02:00:00Z,15.3,15.7,15.2,15.7,81.11111111,67.03703704
