status,Index,result,profit,prob
Sell,1,loss,-0.0935,-1.58434E-05
Buy,2,loss,-0.0785,-1.32637E-05
Sell,3,loss,-0.045,-7.62167E-06
Buy,4,loss,-0.064,-1.08248E-05
Sell,5,win,0.1805,3.05892E-05
Buy,6,win,0.357,6.08373E-05
Sell,7,win,0.2505,4.22234E-05
Buy,8,loss,-0.053,-9.0023E-06
Sell,9,loss,-0.0485,-8.25139E-06
Buy,10,win,0.979,0.000166311
Sell,11,loss,-0.094,-1.55019E-05
Buy,12,loss,-0.241,-3.9633E-05
Sell,13,loss,-0.2835,-4.69591E-05
Buy,14,win,0.0225,3.6955E-06
Sell,15,loss,-0.105,-1.72342E-05
Buy,16,win,2.1625,0.000353838
Sell,17,loss,-0.1315,-2.02215E-05
Buy,18,win,0.2665,4.08318E-05
Sell,19,win,0.8985,0.000136654
Buy,20,win,0.1245,1.94156E-05
Sell,21,loss,-0.2605,-4.04823E-05
Buy,22,loss,-0.1595,-2.46064E-05
Sell,23,loss,-0.23,-3.56413E-05
Buy,24,win,0.182,2.80223E-05
Sell,25,loss,-0.049,-7.5064E-06
Buy,26,win,0.1735,2.65427E-05
Sell,27,win,0.6425,9.78222E-05
Buy,28,win,0.022,3.40993E-06
Sell,29,win,0.463,7.17193E-05
Buy,30,loss,-0.0105,-1.64785E-06
Sell,31,loss,-0.105,-1.64835E-05
Buy,32,loss,-0.1105,-1.72953E-05
Sell,33,win,0.1415,2.22169E-05
Buy,34,loss,-0.1,-1.57644E-05
Sell,35,loss,-0.209,-3.30418E-05
Buy,36,win,0.475,7.46486E-05
Sell,37,win,0.351,5.4426E-05
Buy,38,loss,-0.054,-8.45654E-06
Sell,39,loss,-0.102,-1.5998E-05
Buy,40,loss,-0.1885,-2.94795E-05
Sell,41,loss,-0.0925,-1.45437E-05
Buy,42,loss,-0.0975,-1.52896E-05
Sell,43,win,0.109,1.71404E-05
Buy,44,loss,-0.2335,-3.68324E-05
Sell,45,win,0.155,2.46139E-05
Buy,46,win,0.1255,2.00185E-05
Sell,47,loss,-0.0155,-2.46348E-06
Buy,48,win,0.1035,1.64423E-05
Sell,49,loss,-0.2195,-3.4767E-05
Buy,50,loss,-0.0835,-1.3143E-05
Sell,51,loss,-0.278,-4.38619E-05
Buy,52,win,0.3275,5.12648E-05
Sell,53,loss,-0.064,-9.92606E-06
Buy,54,loss,-0.116,-1.79587E-05
Sell,55,loss,-0.222,-3.44814E-05
Buy,56,win,0.011,1.69794E-06
Sell,57,win,0.726,0.00011203
Buy,58,loss,-0.0645,-1.0159E-05
Sell,59,win,0.015,2.36692E-06
Buy,60,win,0.0585,9.23494E-06
Sell,61,win,0.5025,7.91934E-05
Buy,62,loss,-0.158,-2.52627E-05
Sell,63,loss,-0.1055,-1.6946E-05
Buy,64,loss,-0.015,-2.40201E-06
Sell,65,loss,-0.1425,-2.2829E-05
Buy,66,loss,-0.0935,-1.49174E-05
Sell,67,win,0.471,7.53488E-05
Buy,68,loss,-0.1485,-2.4085E-05
Sell,69,loss,-0.096,-1.56382E-05
Buy,70,loss,-0.074,-1.20205E-05
Sell,71,win,0.6335,0.000103129
Buy,72,loss,-0.053,-8.79214E-06
Sell,73,loss,-0.125,-2.07692E-05
Buy,74,loss,-0.1945,-3.21959E-05
Sell,75,win,0.0685,1.14054E-05
Buy,76,win,0.123,2.05221E-05
Sell,77,win,0.046,7.64652E-06
Buy,78,loss,-0.055,-9.15525E-06
Sell,79,win,0.5,8.33677E-05
Buy,80,loss,-0.0295,-4.99405E-06
Sell,81,loss,-0.128,-2.16887E-05
Buy,82,loss,-0.1565,-2.64142E-05
Sell,83,win,1.046,0.000177393
Buy,84,loss,-0.0555,-9.72456E-06
Sell,85,loss,-0.0385,-6.75776E-06
Buy,86,loss,-0.1965,-3.44488E-05
Sell,87,loss,-0.2455,-4.33091E-05
Buy,88,loss,-0.1535,-2.68686E-05
Sell,89,win,0.147,2.58566E-05
Buy,90,loss,-0.1015,-1.79373E-05
Sell,91,loss,-0.1165,-2.06552E-05
Buy,92,loss,-0.103,-1.81936E-05
Sell,93,loss,-0.031,-5.49385E-06
Buy,94,win,0.635,0.000112423
Sell,95,loss,-0.253,-4.38991E-05
Buy,96,loss,-0.157,-2.7027E-05
Sell,97,loss,-0.211,-3.65014E-05
Buy,98,loss,-0.214,-3.67774E-05
Sell,99,loss,-0.118,-2.0415E-05
Buy,100,win,1.136,0.000195814
Sell,101,loss,-1.464,-0.000243715
Buy,102,loss,-1.407,-0.00022433
Sell,103,loss,-0.085,-1.41258E-05
Buy,104,loss,-0.116,-1.92284E-05
Sell,105,win,0.442,7.35229E-05
Buy,106,loss,-0.129,-2.17474E-05
Sell,107,loss,-0.076,-1.28631E-05
Buy,108,win,0.052,8.78061E-06
Sell,109,loss,-0.074,-1.24757E-05
Buy,110,win,0.067,1.12701E-05
Sell,111,loss,-0.176,-2.95447E-05
Buy,112,loss,-0.176,-2.93876E-05
Sell,113,loss,-0.164,-2.75303E-05
Buy,114,loss,-0.159,-2.65586E-05
