,index,status,open_price,weeknum_open,close_price,open_time,high_setup,real_high,high_bar,low_setup,real_low,low_bar,range,DD_point,DD_bar,DD_point2,DD_point%,weeknum_close,TP_get,TP_bar,TP_same,side,result,profit,profit%,prob,acc_prob,TP_con,re_count_up,re_count_down,accum_winrate,accum_profit%,setup,accum_winrate20,accum_winrate50
0,1,Sell win,107.934,1,107.934,2020-01-03 17:00:00,108.219,108.219,5,107.945,107.945,19,2740.0,108.124,8,-0.18999999999999773,-70.0,1,107.934,10.0,107.934,Sell,win,0.0,0.0,0.0,0.0,same_hi,0,0,100.0,1.0,0.5833333333333334,,
1,2,Buy win,108.121,2,108.22506,2020-01-06 13:30:00,108.12,108.12,13,107.95,107.95,9,1700.0,108.067,1,-0.054000000000002046,-30.0,2,108.22506,3.0,0.0,Buy,win,0.6121176470588412,60.0,0.0017146152578679024,0.0008573076289339512,normal,2,0,100.0,61.0,0.18181818181818182,,
2,3,Buy win,108.678,2,109.165672,2020-01-08 10:30:00,108.607,108.607,38,107.703,107.703,21,9040.0,108.478,0,-0.20000000000000284,-20.0,2,109.165672,15.0,0.0,Buy,win,0.5394601769911564,55.0,0.0015110929327483375,0.0010752360635387466,normal,0,0,100.0,116.0,0.288135593220339,,
3,4,Sell loss,109.847,3,110.171,2020-01-15 11:30:00,110.156,110.156,70,109.853,109.853,24,3030.0,110.171,57,-0.3240000000000123,-105.0,3,109.66574599999998,0.0,0.0,Sell,loss,-1.0693069306930694,-105.0,-0.002995257508944172,5.761267041801696e-05,loss,0,3,75.0,11.0,-0.48936170212765956,,
4,5,Buy win,110.171,3,110.18999000000001,2020-01-16 16:00:00,110.156,110.156,127,109.853,110.101,81,3030.0,110.046,46,-0.125,-40.0,4,110.18999000000001,64.0,110.261,Buy,win,0.06267326732673784,5.0,0.0001755553706631312,8.12012104670398e-05,swap_TP,0,12,80.0,16.0,0.22115384615384615,,
5,6,Sell win,109.737,4,109.610668,2020-01-22 23:30:00,110.054,110.054,42,109.78,109.78,57,2740.0,109.803,0,-0.0660000000000025,-25.0,4,109.610668,3.0,0.0,Sell,win,0.46106569343062176,45.0,0.0012915005418224698,0.0002829177656929448,normal,1,0,83.33333333333333,61.0,0.15151515151515152,,
6,7,Sell win,109.241,4,109.06260999999999,2020-01-24 21:00:00,109.637,109.637,25,109.282,109.282,58,3550.0,109.295,0,-0.054000000000002046,-15.0,4,109.06260999999999,2.0,0.0,Sell,win,0.5025070422535363,50.0,0.0014075827514104656,0.0004435841922240192,normal,0,7,85.71428571428571,111.0,0.39759036144578314,,
7,8,Sell loss,108.806,5,109.159,2020-01-28 09:00:00,109.124,109.084,50,108.85,108.85,17,2740.0,109.159,12,-0.35300000000000864,-130.0,5,108.806,0.0,108.806,Sell,loss,-1.288321167883239,-130.0,-0.003608742767179941,-6.29566777014758e-05,loss,0,0,75.0,-19.0,-0.4925373134328358,,
8,9,Buy win,109.159,5,109.22861200000001,2020-01-28 15:00:00,109.124,109.084,62,108.85,108.85,29,2740.0,109.007,0,-0.15200000000000102,-55.0,5,109.22861200000001,15.0,0.0,Buy,win,0.2540583941606066,25.0,0.0007116481629148645,2.31105268114509e-05,swap_TP,0,6,77.77777777777777,6.0,0.3626373626373626,,
9,10,Sell win,109.012,5,108.89745599999999,2020-01-29 21:30:00,109.234,109.234,46,109.026,109.026,25,2080.0,109.079,0,-0.06699999999999307,-30.0,5,108.89745599999999,9.0,0.0,Sell,win,0.5506923076923567,55.0,0.0015425554837320914,0.00017505502250351494,normal,1,2,80.0,61.0,-0.29577464788732394,,
