,index,status,open_price,weeknum_open,close_price,open_time,high_setup,real_high,high_bar,low_setup,real_low,low_bar,range,DD_point,DD_bar,DD_point2,DD_point%,weeknum_close,TP_get,TP_bar,TP_same,side,result,profit,profit%,prob,acc_prob,TP_con,re_count_up,re_count_down,accum_winrate,accum_profit%,setup,
0,1,Sell loss,40.765,43,41.38,2005-10-26 17:00:00-04:00,41.345,41.345,42,40.815,40.815,55,5300,41.38,26,-0.615,-115,48,40.765,0,40.765,Sell,loss,-1.160377358,-115,-0.023681171,-0.023681171,loss,0,9,0,-114,0.134020619,
1,2,Buy loss,41.38,1,40.765,2006-01-02 17:00:00-05:00,41.345,41.345,68,40.815,40.815,81,5300,40.765,22,-0.615,-115,1,41.38,0,41.38,Buy,loss,-1.160377358,-115,-0.023681171,-0.023681171,loss,0,15,0,-229,-0.087248322,
2,3,Sell win,40.765,1,40.285,2006-01-02 17:00:00-05:00,41.345,41.345,90,40.815,40.815,103,5300,41.08,0,-0.315,-60,1,40.285,2,41.38,Sell,win,0.905660377,90,0.018482865,-0.009626492,same_hi,4,15,33.33333333,-139,0.067357513,
3,4,Sell win,37.41,32,36.3,2006-08-10 17:00:00-04:00,38.61,38.61,40,37.455,37.455,74,11550,37.955,27,-0.545,-45,48,36.3,77,0,Sell,win,0.961038961,95,0.01961304,-0.002316609,normal,0,1,50,-44,0.298245614,
4,5,Sell win,29.4,2,29.4,2008-01-09 17:00:00-05:00,33.25,32.35,103,29.41,29.41,122,38400,32.601,23,-3.201,-85,9,29.4,36,29.4,Sell,win,0,0,0,-0.001853287,same_hi,1,1,60,-44,0.084444444,
5,6,Buy win,34.881,44,35.23,2008-10-27 17:00:00-04:00,34.775,34.775,33,33.75,34.32,25,10250,34.18,37,-0.701,-70,8,35.23,80,35.66,Buy,win,0.340487805,35,0.006948731,-0.000386284,swap_TP,1,0,66.66666667,-9,0.137931034,
6,7,Sell win,33.963,41,33.86,2009-10-06 17:00:00-04:00,36.28,34.09,139,33.975,33.975,34,23050,34.024,0,-0.061,-5,41,33.86,18,0,Sell,win,0.044685466,5,0.000911948,-0.000200822,swap_TP,0,3,71.42857143,-4,-0.606936416,
7,8,Sell win,33.032,1,32.856,2010-01-10 17:00:00-05:00,33.38,33.38,10,33.118,33.118,22,2620,33.14,0,-0.108,-40,2,32.856,3,0,Sell,win,0.671755725,65,0.013709301,0.001537943,normal,0,2,75,61,0.375,
8,9,Sell win,32.838,8,32.478,2010-02-28 17:00:00-05:00,33.204,33.204,16,32.841,32.841,30,3630,33.048,0,-0.21,-60,11,32.478,11,0,Sell,win,0.991735537,100,0.020239501,0.003615894,normal,3,0,77.77777778,161,0.304347826,
9,10,Sell win,32.177,31,31.716,2010-08-02 17:00:00-04:00,32.648,32.648,41,32.182,32.182,75,4660,32.21,0,-0.033,-5,33,31.716,11,0,Sell,win,0.989270386,100,0.020189192,0.005273224,normal,0,0,80,261,0.293103448,
10,11,Buy win,30.414,1,30.555,2011-01-06 17:00:00-05:00,30.28,30.28,30,30.005,30.005,26,2750,30.231,0,-0.183,-65,1,30.555,1,0,Buy,win,0.512727273,50,0.010463822,0.005745096,normal,0,2,81.81818182,311,0.071428571,
11,12,Sell loss,29.847,29,31.111,2011-07-20 17:00:00-04:00,30.986,30.986,17,29.851,29.851,58,11350,31.111,47,-1.264,-110,38,29.68,0,29.68,Sell,loss,-1.113656388,-110,-0.022727681,0.003372365,loss,0,1,75,201,0.546666667,
12,13,Buy win,31.111,38,31.204,2011-09-25 17:00:00-04:00,30.986,30.986,64,29.851,30.479,105,11350,30.471,24,-0.64,-55,46,31.204,40,31.204,Buy,win,0.081938326,10,0.001672211,0.003241584,same_hi,0,23,76.92307692,211,-0.24260355,
