Index,status,open_time,open_price,high_setup,real_high,high_bar,low_setup,real_low,low_bar,DD_point,DD_bar,TP_get,TP_bar,TP_same,side,result,profit,prob
0,Sell loss,2019-01-08T07:00:00Z,0.69844,0.70084,0.70084,14,0.69854,0.69854,17,0.70269,16,0.6971186,0,0,Sell,loss,-1.847826087,-0.008176222
1,Buy win,2019-01-08T23:00:00Z,0.70269,0.70084,0.70084,30,0.69854,0.69854,33,0.70051,0,0.7022614,1,0,Buy,win,0.186347826,0.000824548
2,Sell win,2019-01-14T02:00:00Z,0.70744,0.71053,0.70976,15,0.70763,0.70763,11,0.7089,0,0.70631366,4,0,Sell,win,0.388393103,0.001718554
3,Sell win,2019-01-22T06:00:00Z,0.71187,0.71412,0.71412,12,0.71202,0.71202,29,0.71243,0,0.7107222,2,0,Sell,win,0.546571429,0.002418458
4,Buy win,2019-01-30T01:00:00Z,0.71495,0.71465,0.71465,46,0.70525,0.70901,88,0.7136,0,0.71813552,10,0,Buy,win,0.338885106,0.001499492
5,Sell loss,2019-02-04T23:00:00Z,0.71978,0.72376,0.72376,57,0.71995,0.71995,44,0.72406,4,0.71759542,0,0,Sell,loss,-1.12335958,-0.004970618
6,Buy win,2019-02-05T03:00:00Z,0.72406,0.72376,0.72376,61,0.71995,0.71995,48,0.71906,0,0.72611458,8,0,Buy,win,0.539259843,0.002386105
7,Buy win,2019-02-14T03:00:00Z,0.71761,0.7171,0.7171,23,0.71506,0.71506,16,0.71573,0,0.71836072,4,0,Buy,win,0.368,0.001628319
8,Buy loss,2019-02-21T05:00:00Z,0.71973,0.71792,0.71792,23,0.71404,0.71404,40,0.71146,5,0.72031784,0,0,Buy,loss,-2.131443299,-0.009431165
9,Sell win,2019-02-21T05:00:00Z,0.71146,0.71792,0.71792,28,0.71404,0.71404,45,0.71701,0,0.71164216,1,0,Sell,win,0.046948454,0.000207737
10,Sell win,2019-02-28T05:00:00Z,0.71319,0.71522,0.71522,6,0.7133,0.7133,14,0.71361,0,0.71211344,1,0,Sell,win,0.560708333,0.00248101
11,Sell loss,2019-03-05T00:00:00Z,0.70736,0.71051,0.71051,36,0.70761,0.70761,53,0.71164,17,0.70631,0,0.70631,Sell,loss,-1.475862069,-0.006530363
12,Buy win,2019-03-05T17:00:00Z,0.71164,0.71051,0.71051,53,0.70761,0.70761,70,0.70851,0,0.7123022,7,0.70631,Buy,win,0.228344828,0.001010375
13,Buy win,2019-03-11T07:00:00Z,0.7109,0.71065,0.71065,40,0.70741,0.70741,26,0.70974,0,0.71265232,6,0,Buy,win,0.540839506,0.002393095
14,Sell win,2019-03-20T00:00:00Z,0.70583,0.71272,0.71272,42,0.70766,0.70766,86,0.70934,18,0.70583,19,0.70583,Sell,win,0,0
15,Sell win,2019-03-22T19:00:00Z,0.70488,0.70907,0.70674,50,0.7049,0.7049,9,0.70687,2,0.70376288,8,0,Sell,win,0.267894484,0.001185374
16,Buy win,2019-04-04T14:00:00Z,0.71099,0.71091,0.71091,69,0.70439,0.70439,39,0.71016,0,0.71257,22,0.71257,Buy,win,0.242331288,0.001072262
17,Buy win,2019-04-10T06:00:00Z,0.71458,0.71439,0.71439,18,0.71139,0.71139,5,0.71365,6,0.716244,8,0,Buy,win,0.554666667,0.002454277
18,Buy win,2019-04-12T15:00:00Z,0.71886,0.71886,0.71886,47,0.71413,0.71413,14,0.7176,15,0.71956,19,0.71956,Buy,win,0.147991543,0.00065483
19,Buy win,2019-04-16T11:00:00Z,0.72074,0.72066,0.72066,19,0.71733,0.71733,4,0.71847,0,0.72271794,5,0,Buy,win,0.593975976,0.002628212
20,Sell win,2019-04-23T05:00:00Z,0.7234,0.72606,0.72543,57,0.7236,0.7236,17,0.7261,8,0.72246906,20,0,Sell,win,0.378430894,0.001674473
21,Buy win,2019-04-29T04:00:00Z,0.71918,0.71914,0.71914,17,0.71726,0.71726,8,0.71809,5,0.72030184,20,0,Buy,win,0.596723404,0.002640369
22,Sell win,2019-05-08T08:00:00Z,0.71386,0.71622,0.71622,18,0.71417,0.71417,15,0.71475,0,0.7129031,1,0,Sell,win,0.466780488,0.0020654
23,Sell win,2019-05-15T07:00:00Z,0.69676,0.70116,0.70116,14,0.69797,0.69797,33,0.6996,11,0.69662,18,0.69662,Sell,win,0.043887147,0.000194191
24,Sell win,2019-05-22T11:00:00Z,0.69363,0.70055,0.69645,53,0.69407,0.69407,28,0.6955,0,0.69259916,15,0,Sell,win,0.159080247,0.000703895
25,Buy win,2019-05-28T12:00:00Z,0.69693,0.69633,0.69633,28,0.69422,0.69422,17,0.69611,0,0.69763398,1,0,Buy,win,0.33363981,0.001476282
26,Sell win,2019-06-04T01:00:00Z,0.69124,0.69507,0.69507,10,0.69165,0.69165,18,0.69513,32,0.69124,35,0.69124,Sell,win,0,0
27,Sell win,2019-06-10T06:00:00Z,0.69003,0.69291,0.69291,20,0.69044,0.69044,39,0.69092,0,0.68891354,10,0,Sell,win,0.452008097,0.002000036
28,Sell loss,2019-06-12T12:00:00Z,0.68842,0.69087,0.69087,16,0.68843,0.68842,23,0.69117,7,0.68692208,7,0,Sell,loss,-1.12704918,-0.004986943
29,Buy loss,2019-06-13T02:00:00Z,0.69117,0.69087,0.69087,16,0.68843,0.68842,23,0.68719,14,0.69117,0,0.69117,Buy,loss,-1.631147541,-0.007217467
30,Sell win,2019-06-13T02:00:00Z,0.68719,0.69087,0.69087,30,0.68843,0.68842,37,0.6886,0,0.6869059,1,0.69117,Sell,win,0.116434426,0.000515197
31,Sell loss,2019-06-17T02:00:00Z,0.68533,0.68749,0.68749,16,0.68567,0.68468,22,0.68767,20,0.68454524,20,0,Sell,loss,-1.285714286,-0.005689001
32,Buy loss,2019-06-17T16:00:00Z,0.68767,0.68749,0.68749,16,0.68567,0.68468,22,0.6845,14,0.68772,0,0.68772,Buy,loss,-1.741758242,-0.007706895
33,Sell win,2019-06-17T16:00:00Z,0.6845,0.68749,0.68749,30,0.68567,0.68468,36,0.68487,0,0.68294342,9,0.68772,Sell,win,0.855263736,0.003784353
34,Sell win,2019-06-20T14:00:00Z,0.67961,0.68866,0.68866,38,0.68115,0.68115,55,0.68201,0,0.67879,19,0.67879,Sell,win,0.10918775,0.000483132
35,Sell loss,2019-06-25T08:00:00Z,0.67545,0.6798,0.6798,22,0.67587,0.67501,30,0.67981,6,0.67344126,6,0,Sell,loss,-1.109414758,-0.004908915
36,Buy win,2019-06-25T08:00:00Z,0.67981,0.6798,0.6798,22,0.67587,0.67501,30,0.67725,6,0.68276022,25,0,Buy,win,0.750692112,0.003321647
37,Buy win,2019-06-30T21:00:00Z,0.68786,0.68597,0.68597,41,0.68287,0.68287,13,0.68741,0,0.6878858,1,0,Buy,win,0.008322581,3.68E-05
38,Sell win,2019-07-09T08:00:00Z,0.69008,0.69447,0.6936,85,0.69124,0.69124,63,0.6916,0,0.68978152,1,0,Sell,win,0.092408669,0.000408888
39,Buy win,2019-07-15T02:00:00Z,0.69275,0.69249,0.69249,21,0.68886,0.68886,14,0.69016,9,0.69275,13,0.69275,Buy,win,0,0
40,Buy win,2019-07-16T11:00:00Z,0.69395,0.6934,0.6934,7,0.69045,0.69186,24,0.69269,0,0.69435172,3,0,Buy,win,0.136176271,0.00060255
41,Sell loss,2019-07-18T00:00:00Z,0.69077,0.694,0.694,14,0.69164,0.69164,22,0.69496,10,0.69077,0,0.69077,Sell,loss,-1.775423729,-0.007855857
42,Buy win,2019-07-18T10:00:00Z,0.69496,0.694,0.694,24,0.69164,0.69164,32,0.69289,0,0.69545848,4,0.69077,Buy,win,0.211220339,0.000934603
43,Sell win,2019-07-31T18:00:00Z,0.67951,0.6836,0.6836,14,0.68013,0.68013,18,0.68358,8,0.67798554,23,0,Sell,win,0.439325648,0.001943919
44,Sell win,2019-08-07T02:00:00Z,0.65595,0.6642,0.6642,13,0.65624,0.65624,29,0.66084,0,0.65132072,1,0,Sell,win,0.581567839,0.002573309
45,Sell loss,2019-08-13T12:00:00Z,0.65326,0.66587,0.66382,71,0.65392,0.65392,15,0.66401,62,0.65326,0,0.65326,Sell,loss,-0.89958159,-0.00398045
46,Buy win,2019-08-16T02:00:00Z,0.66401,0.66587,0.66382,133,0.65392,0.65392,77,0.66239,0,0.66502,19,0.66502,Buy,win,0.084518828,0.000373977
47,Buy win,2019-08-21T12:00:00Z,0.66664,0.66576,0.66576,31,0.66246,0.66433,15,0.66368,26,0.66664374,44,0.66675,Buy,win,0.001133333,5.01E-06
48,Buy loss,2019-08-29T01:00:00Z,0.66453,0.66438,0.66438,21,0.66054,0.66054,7,0.65967,36,0.66453,0,0.66453,Buy,loss,-1.265625,-0.005600111
49,Sell loss,2019-08-29T01:00:00Z,0.65967,0.66438,0.66438,57,0.66054,0.66054,43,0.66487,30,0.65906,0,0.65906,Sell,loss,-1.354166667,-0.005991888
50,Buy win,2019-08-30T07:00:00Z,0.66487,0.66438,0.66438,87,0.66054,0.66054,73,0.66276,0,0.66675312,7,0.65906,Buy,win,0.490395833,0.002169893
