Index,status,open_time,open_price,high_setup,real_high,high_bar,low_setup,real_low,low_bar,DD_point,DD_bar,TP_get,TP_bar,TP_same,side,result,profit,prob
0,Sell win,2020-01-06T14:30:00Z,0.69277,0.69553,0.69553,9,0.69356,0.69356,17,0.69424,16,0.69234254,30,0,Sell,win,0.216984772,0.000733057
1,Sell win,2020-01-09T19:00:00Z,0.68513,0.68782,0.68782,52,0.68518,0.68518,56,0.68586,5,0.68512,10,0.68512,Sell,win,0.003787879,1.28E-05
2,Buy loss,2020-01-14T01:00:00Z,0.69107,0.69098,0.69098,27,0.68963,0.68963,20,0.68952,33,0.6918143,0,0.69184,Buy,loss,-1.148148148,-0.003878879
3,Sell win,2020-01-14T01:00:00Z,0.68952,0.69098,0.69098,60,0.68963,0.68963,53,0.69056,0,0.6887957,1,0.69184,Sell,win,0.536518519,0.001812563
4,Buy win,2020-01-16T09:30:00Z,0.69195,0.69158,0.69158,33,0.69,0.69,27,0.6913,0,0.69255644,3,0,Buy,win,0.383822785,0.001296699
5,Sell win,2020-01-17T13:00:00Z,0.68889,0.69295,0.69086,48,0.68902,0.68902,38,0.68944,0,0.68788288,5,0,Sell,win,0.256264631,0.000865759
6,Sell win,2020-01-21T02:30:00Z,0.68585,0.68794,0.68794,5,0.68599,0.68599,24,0.68677,2,0.6847849,11,0,Sell,win,0.546205128,0.001845288
7,Sell win,2020-01-21T19:00:00Z,0.68458,0.68721,0.68721,12,0.68476,0.68476,22,0.68493,0,0.6832459,12,0,Sell,win,0.544530612,0.00183963
8,Sell win,2020-01-24T15:00:00Z,0.68248,0.68755,0.68755,73,0.6832,0.6832,123,0.68425,0,0.6805117,16,0,Sell,win,0.452482759,0.001528658
9,Buy loss,2020-01-29T14:30:00Z,0.67638,0.67636,0.67636,36,0.67411,0.67411,29,0.67403,30,0.67762,0,0.67762,Buy,loss,-1.044444444,-0.003528529
10,Sell win,2020-01-29T14:30:00Z,0.67403,0.67636,0.67636,66,0.67411,0.67411,59,0.6763,10,0.6727195,33,0.67762,Sell,win,0.582444444,0.001967718
11,Buy loss,2020-01-31T08:00:00Z,0.67231,0.67214,0.67214,7,0.67047,0.67047,19,0.67035,14,0.67317206,0,0,Buy,loss,-1.173652695,-0.003965043
12,Sell win,2020-01-31T08:00:00Z,0.67035,0.67214,0.67214,21,0.67047,0.67047,33,0.67101,0,0.66943794,2,0,Sell,win,0.546143713,0.00184508
13,Buy win,2020-02-04T03:30:00Z,0.67151,0.67053,0.67053,41,0.66845,0.66845,83,0.66848,0,0.67181544,1,0,Buy,win,0.146846154,0.000496102
14,Buy win,2020-02-04T14:30:00Z,0.67327,0.6732,0.6732,13,0.67088,0.67088,10,0.67236,0,0.67403,22,0.67403,Buy,win,0.327586207,0.00110671
15,Sell win,2020-02-06T15:00:00Z,0.67339,0.67713,0.67567,59,0.67419,0.67419,11,0.67442,3,0.67327536,8,0,Sell,win,0.038993197,0.000131734
16,Buy win,2020-02-11T02:30:00Z,0.67058,0.67057,0.67057,41,0.66733,0.66733,18,0.66993,22,0.67257232,24,0,Buy,win,0.61491358,0.002077411
17,Buy win,2020-02-12T01:30:00Z,0.67308,0.67294,0.67294,22,0.67084,0.67084,14,0.67235,10,0.6742378,13,0,Buy,win,0.551333333,0.001862613
18,Sell win,2020-02-13T23:00:00Z,0.67125,0.67382,0.67298,17,0.67133,0.67133,47,0.67316,8,0.67125,25,0.67125,Sell,win,0,0
