,time,open,high,low,close,EMA90,EMA75,EMA60,EMA45,EMA,ParabolicSAR,loop,step,open_price,Max_bar,Max_TP,Long_ba,close_price,DD_bar,DD_point,status,Index,TotalDD_bar,side,result,profit,prob,results
0,2015-01-26T13:00:00+07:00,1.39228,1.40439,1.39226,1.4012,1.401905986,1.40361813,1.402471831,1.402364056,1.402549099,1.405661399,3,1,1.40702,0,1.40952,8,1.4012,3,1.38029,Buy,1,8,Buy,loss,-0.005819999999999936,-0.41364017569046185,Buyloss
1,2015-01-28T17:00:00+07:00,1.41262,1.41585,1.40868,1.41211,1.403441656,1.404926937,1.404477081,1.404977935,1.406060019,1.396446892,3,2,1.4012,0,1.38818,14,1.41211,0,1.41585,Sell,2,14,Sell,loss,-0.010909999999999975,-0.7786183271481569,Sellloss
2,2015-02-09T05:00:00+07:00,1.41605,1.41798,1.41467,1.41734,1.417668387,1.419529057,1.420901171,1.422501353,1.42351736,1.42923851,3,1,1.41211,12,1.44909,45,1.41734,2,1.40513,Buy,3,45,Buy,win,0.005230000000000068,0.37036774755508195,Buywin
3,2015-02-12T01:00:00+07:00,1.42718,1.43238,1.42645,1.43165,1.418382883,1.419725793,1.42062568,1.421489445,1.421983911,1.413365652,3,2,1.41734,10,1.4074,18,1.43165,17,1.43408,Sell,4,18,Sell,loss,-0.014310000000000045,-1.0096377721647625,Sellloss
4,2015-02-18T01:00:00+07:00,1.41535,1.41701,1.41131,1.41353,1.41895463,1.419669121,1.419933061,1.419842788,1.418993743,1.423595527,3,1,1.43165,1,1.43327,24,1.41353,22,1.40948,Buy,5,24,Buy,loss,-0.018120000000000136,-1.265672475814629,Buyloss
5,2015-02-23T13:00:00+07:00,1.42881,1.42908,1.42336,1.42395,1.419423268,1.419940081,1.420185735,1.420336318,1.420571881,1.408584185,3,2,1.41353,17,1.4056,22,1.42395,19,1.43149,Sell,6,22,Sell,loss,-0.010420000000000096,-0.7371615742149156,Sellloss
6,2015-02-26T05:00:00+07:00,1.41269,1.41469,1.4122,1.41344,1.419464296,1.419766278,1.41980258,1.41963514,1.419125425,1.424671263,3,1,1.42395,7,1.43309,16,1.41344,13,1.40692,Buy,7,16,Buy,loss,-0.01051000000000002,-0.7380877137539955,Buyloss
7,2015-03-19T04:00:00+07:00,1.3645,1.36745,1.36087,1.3641,1.369350698,1.36557517,1.361571776,1.357790761,1.355320585,1.348806315,3,2,1.41344,72,1.33865,91,1.3641,1,1.41469,Sell,8,91,Sell,win,0.04933999999999994,3.4907742811863214,Sellwin
8,2015-04-02T00:00:00+07:00,1.35773,1.35911,1.35611,1.35836,1.366376116,1.365392631,1.364871704,1.364873863,1.365030237,1.373742179,3,1,1.3641,41,1.37652,59,1.35836,2,1.34718,Buy,9,59,Buy,loss,-0.005740000000000078,-0.42079026464336033,Buyloss
9,2015-04-04T00:00:00+07:00,1.3685,1.37067,1.36805,1.36993,1.366372212,1.365670638,1.365401808,1.365586284,1.366018624,1.360448482,3,2,1.35836,0,1.35587,13,1.36993,11,1.37396,Sell,10,13,Sell,loss,-0.01157000000000008,-0.8517624193880915,Sellloss
