,time,open,high,low,close,EMA90,EMA75,EMA60,EMA45,EMA,ParabolicSAR,loop,step,open_price,Max_bar,Max_TP,Max_AFDD,Max_AFDDBar,Long_ba,close_price,DD_bar,DD_point,status,Index,TotalDD_bar,ac,accum_winrate,side,result,profit,prob,results
0,2015-02-09T09:00:00+07:00,134.606,134.745,134.588,134.686,135.0048941,134.6320897,134.3247665,134.1566333,134.1871185,133.1127682,3,2,134.667,6,130.143,135.357,48,67,134.686,19,135.357,Sell,1,67,,,Sell,loss,-0.019000000000005457,-0.014108875968132845,Sellloss
1,2015-03-02T17:00:00+07:00,134.434,134.599,134.299,134.436,134.8270481,134.7460866,134.6754788,134.5863517,134.4360434,134.6292447,3,1,134.686,17,136.688,133.438,87,92,134.436,5,133.438,Buy,2,92,,,Buy,loss,-0.25,-0.1856169163832915,Buyloss
2,2015-03-25T16:00:00+07:00,131.118,131.433,130.914,131.172,130.4387547,130.2329972,130.0799662,130.0386842,130.2088009,130.27631,3,2,134.436,57,126.902,131.75,75,103,131.172,102,134.599,Sell,3,103,,,Sell,win,3.26400000000001,2.427921092564499,Sellwin
3,2015-04-01T20:00:00+07:00,129.176,129.218,128.402,128.822,130.0365686,129.8820166,129.7558489,129.6546032,129.5287815,129.7063078,3,1,131.172,0,131.433,128.402,-1,31,128.822,31,128.402,Buy,4,31,,,Buy,loss,-2.3499999999999943,-1.7915408776263184,Buyloss
4,2015-04-06T12:00:00+07:00,130.68,130.745,130.505,130.727,130.057747,129.964498,129.9136084,129.9153178,129.9842092,129.983688,3,2,128.822,1,128.402,130.969,13,17,130.727,4,130.969,Sell,5,17,,,Sell,loss,-1.9050000000000011,-1.478784679635467,Sellloss
5,2015-04-10T08:00:00+07:00,128.615,128.781,128.58,128.687,129.9238907,129.8436832,129.7819374,129.7216339,129.609314,129.1205512,3,1,130.727,2,131.294,128.241,20,23,128.687,3,128.241,Buy,6,23,,,Buy,loss,-2.039999999999992,-1.5605039509818108,Buyloss
6,2015-04-22T16:00:00+07:00,128.723,128.954,128.178,128.349,128.5006826,128.3618209,128.2342397,128.1333641,128.1087101,127.6119351,3,2,128.687,14,126.095,128.967,50,51,128.349,1,128.967,Sell,7,51,,,Sell,win,0.3380000000000223,0.2626527932114528,Sellwin
7,2015-05-23T00:00:00+07:00,134.099,134.137,133.749,133.767,134.2767388,134.5012352,134.6878911,134.7919409,134.7551941,135.339,3,1,128.349,107,136.959,133.723,133,134,133.767,129,127.875,Buy,8,134,,,Buy,win,5.418000000000006,4.221302853937317,Buywin
8,2015-05-29T20:00:00+07:00,136.033,136.41,135.852,136.188,134.4588983,134.6047486,134.7220441,134.8153686,134.9467859,135.427,3,2,133.767,9,133.1,136.41,8,30,136.188,30,136.41,Sell,9,30,,,Sell,loss,-2.4209999999999923,-1.809863419228952,Sellloss
9,2015-06-15T04:00:00+07:00,138.11,138.588,138.063,138.573,137.9113687,138.2375203,138.5637895,138.8618917,139.0443149,139.3432544,3,1,136.188,23,141.055,137.979,58,62,138.573,58,135.131,Buy,10,62,,,Buy,win,2.3850000000000193,1.751255617235013,Buywin
10,2015-06-23T04:00:00+07:00,139.866,140.027,139.816,139.953,138.7752105,139.0120598,139.2255465,139.4023418,139.5388797,139.0999134,3,2,138.573,1,138.063,140.666,23,37,139.953,14,140.666,Sell,11,37,,,Sell,loss,-1.3799999999999955,-0.9958649953454103,Sellloss
11,2015-06-25T12:00:00+07:00,138.56,138.89,138.376,138.401,138.7513995,138.91001,139.0228933,139.0668858,139.0121563,139.2302854,3,1,139.953,0,140.027,138.209,5,14,138.401,9,138.209,Buy,12,14,,,Buy,loss,-1.5519999999999925,-1.1089437168192124,Buyloss
12,2015-07-14T08:00:00+07:00,135.869,135.969,135.816,135.906,136.2461205,136.0706999,135.8688491,135.6799938,135.6022852,135.6060509,3,2,138.401,64,133.306,137.797,73,78,135.906,77,138.89,Sell,13,78,,,Sell,win,2.4950000000000045,1.8027326392150378,Sellwin
13,2015-07-17T20:00:00+07:00,134.824,134.908,134.457,134.656,135.917666,135.7635534,135.6016652,135.4563331,135.3443509,135.8900435,3,1,135.906,2,136.452,134.457,1,21,134.656,21,134.457,Buy,14,21,,,Buy,loss,-1.25,-0.9197533589392668,Buyloss
14,2015-07-24T12:00:00+07:00,135.948,136.214,135.532,135.624,135.6651866,135.567553,135.4902459,135.4602434,135.5125126,135.3235215,3,2,134.656,2,134.32,136.438,24,29,135.624,5,136.438,Sell,15,29,,,Sell,loss,-0.9679999999999893,-0.7188688212927677,Sellloss
15,2015-08-05T00:00:00+07:00,135.894,135.894,135.274,135.335,135.9599542,135.9532038,135.9648624,135.988309,135.9890419,136.7926017,3,1,135.624,32,137.346,135.274,31,45,135.335,45,135.274,Buy,16,45,,,Buy,loss,-0.28899999999998727,-0.21308912876776034,Buyloss
16,2015-08-11T00:00:00+07:00,137.328,137.416,137.197,137.319,136.0576464,136.074827,136.1117857,136.170795,136.2646026,135.6756678,3,2,135.335,4,134.995,137.421,24,25,137.319,1,137.421,Sell,17,25,,,Sell,loss,-1.9839999999999804,-1.4659917981305504,Sellloss
17,2015-08-28T04:00:00+07:00,136.03,136.282,135.92,136.15,137.2166516,137.2363759,137.2196613,137.1279709,136.89207,137.578214,3,1,137.319,54,138.997,135.259,77,79,136.15,2,135.259,Buy,18,79,,,Buy,loss,-1.1689999999999827,-0.8513024417596857,Buyloss
18,2015-09-10T12:00:00+07:00,135.252,135.578,135.165,135.341,135.2325066,135.0406922,134.8151884,134.5780786,134.416354,134.751,3,2,136.15,35,132.229,135.885,56,57,135.341,54,136.616,Sell,19,57,,,Sell,win,0.8089999999999975,0.5941975762027157,Sellwin
19,2015-09-23T00:00:00+07:00,133.458,133.746,133.318,133.573,135.5329437,135.486244,135.4443889,135.3953444,135.2660425,135.6821546,3,1,135.341,33,137.443,133.318,32,51,133.573,51,133.318,Buy,20,51,,,Buy,loss,-1.7680000000000007,-1.3063299369740142,Buyloss
20,2015-10-07T16:00:00+07:00,134.959,135.378,134.791,135.075,134.852014,134.8051836,134.7723747,134.7668162,134.8205843,134.4740398,3,2,133.573,4,133.156,135.716,53,65,135.075,12,135.716,Sell,21,65,,,Sell,loss,-1.5019999999999811,-1.1244787494478532,Sellloss
21,2015-10-26T08:00:00+07:00,133.537,133.751,133.453,133.639,135.2424863,135.2143622,135.1601924,135.046997,134.8057945,134.234934,3,1,135.075,13,136.957,133.371,72,76,133.639,4,133.371,Buy,22,76,,,Buy,loss,-1.4359999999999786,-1.063113085322953,Buyloss
