,time,open,high,low,close,EMA90,EMA75,EMA60,EMA,EMA30,ParabolicSAR,loop,step,open_price,Max_bar,Max_TP,Long_ba,close_price,DD_bar,DD_point,status,Index,TotalDD_bar,side,result,profit,prob,results
0,2015-02-18T13:00:00+07:00,1.5359,1.54366,1.53418,1.54363,1.526792263,1.528205652,1.530041246,1.532295313,1.534818902,1.53113,3,2,1.5015,3,1.49512,110,1.54363,98,1.54401,Sell,1,110,Sell,loss,-0.04213,-2.8058608058608057,Sellloss
1,2015-03-10T04:00:00+07:00,1.51271,1.51311,1.5093,1.51016,1.529565835,1.528856995,1.527427656,1.524831519,1.520462896,1.514139727,3,1,1.54363,35,1.55524,82,1.51016,75,1.50214,Buy,2,82,Buy,loss,-0.03347000000000011,-2.1682657113427513,Buyloss
2,2015-04-28T08:00:00+07:00,1.523,1.52382,1.52224,1.52332,1.496544929,1.49821211,1.500689079,1.504246112,1.509243253,1.5147932,3,2,1.51016,147,1.45658,212,1.52332,209,1.52615,Sell,3,212,Sell,loss,-0.01316000000000006,-0.871430841765115,Sellloss
3,2015-06-02T04:00:00+07:00,1.51989,1.52076,1.51907,1.52033,1.540613732,1.540333474,1.539035851,1.536318817,1.531905805,1.52718,3,1,1.52332,74,1.58148,149,1.52033,31,1.50889,Buy,4,149,Buy,loss,-0.002990000000000048,-0.1962818055300297,Buyloss
4,2015-06-24T16:00:00+07:00,1.57924,1.57947,1.57319,1.57509,1.563636083,1.566368096,1.569603841,1.573329472,1.57690185,1.571058,3,2,1.52033,3,1.51796,100,1.57509,76,1.59301,Sell,5,100,Sell,loss,-0.05476000000000014,-3.601849598442453,Sellloss
5,2015-09-04T20:00:00+07:00,1.51989,1.52094,1.5165,1.51991,1.545160244,1.542991645,1.540126416,1.536314818,1.531411837,1.52766,3,1,1.57509,264,1.58191,313,1.51991,0,1.5165,Buy,6,313,Buy,loss,-0.05518000000000001,-3.5032918753848987,Buyloss
6,2016-03-11T17:00:00+07:00,1.42775,1.43098,1.42775,1.42889,1.417570323,1.417220778,1.417473294,1.418696671,1.421207672,1.413318847,3,2,1.51991,744,1.38354,798,1.42889,60,1.5659,Sell,7,798,Sell,win,0.0910200000000001,5.988512477712503,Sellwin
7,2016-07-05T20:00:00+07:00,1.30557,1.30955,1.29994,1.30515,1.374598938,1.366690537,1.357202078,1.345948464,1.333463263,1.337797668,3,1,1.42889,447,1.50186,493,1.30515,0,1.29994,Buy,8,493,Buy,loss,-0.12373999999999996,-8.659868849246614,Buyloss
8,2016-09-07T04:00:00+07:00,1.34369,1.34375,1.34076,1.34105,1.320135203,1.321397286,1.323190732,1.325656019,1.329110764,1.330518768,3,2,1.30515,4,1.27893,273,1.34105,46,1.34805,Sell,9,273,Sell,loss,-0.03590000000000004,-2.750641688694789,Sellloss
9,2016-09-27T00:00:00+07:00,1.29769,1.29769,1.29623,1.29732,1.310612816,1.309228672,1.307331146,1.304796754,1.301736418,1.304231402,3,1,1.34105,0,1.34375,83,1.29732,76,1.29149,Buy,10,83,Buy,loss,-0.04373000000000005,-3.2608776704820883,Buyloss
10,2016-12-02T21:00:00+07:00,1.26262,1.26886,1.26259,1.26854,1.247328994,1.248275349,1.24949003,1.251087915,1.253515009,1.254479513,3,2,1.29732,50,1.19048,294,1.26854,14,1.3058,Sell,11,294,Sell,win,0.028780000000000028,2.218419510991893,Sellwin
11,2016-12-23T21:00:00+07:00,1.22415,1.22739,1.22322,1.22716,1.24595271,1.244712369,1.242798968,1.239941109,1.235934992,1.230101719,3,1,1.26854,10,1.27747,90,1.22716,89,1.22284,Buy,12,90,Buy,loss,-0.04137999999999997,-3.262017752692069,Buyloss
12,2017-02-01T17:00:00+07:00,1.26035,1.26602,1.25941,1.26473,1.244533132,1.246271164,1.248523441,1.251219435,1.253912038,1.24444449,3,2,1.22716,83,1.1986,156,1.26473,131,1.26736,Sell,13,156,Sell,loss,-0.03756999999999988,-3.0615404674207016,Sellloss
13,2017-03-02T21:00:00+07:00,1.22836,1.22895,1.22583,1.2265,1.243135758,1.242468755,1.241438092,1.23987611,1.237382386,1.232690454,3,1,1.26473,5,1.2706,127,1.2265,0,1.22583,Buy,14,127,Buy,loss,-0.038229999999999986,-3.022779565598981,Buyloss
