,index,status,open_price,weeknum_open,close_price,open_time,high_setup,real_high,high_bar,low_setup,real_low,low_bar,range,DD_point,DD_bar,DD_point2,DD_point%,weeknum_close,TP_get,TP_bar,TP_same,side,result,profit,profit%,prob,acc_prob,TP_con,re_count_up,re_count_down,accum_winrate,accum_profit%,setup,accum_winrate20,accum_winrate50
0,1,Buy win,1.31591,2,1.3165,2020-01-06 10:00:00,1.31549,1.31549,67,1.30681,1.30681,23,85.0,1.31332,8,-0.00258999999999987,-30.0,2,1.3165,12.0,1.3165,Buy,win,0.067972350230425,5.0,0.00015881390240753504,0.00015881390240753504,same_hi,0,1,100.0,6.0,0.4888888888888889,,
1,2,Sell win,1.31199,2,1.31037224,2020-01-08 09:30:00,1.31898,1.31898,49,1.31366,1.31366,86,55.0,1.31505,0,-0.0030600000000000627,-60.0,2,1.31037224,1.0,0.0,Sell,win,0.3040902255639147,30.0,0.0007104911812240997,0.00043465254181581736,normal,0,40,100.0,36.0,0.2740740740740741,,
2,3,Sell win,1.3016,3,1.29593068,2020-01-13 07:00:00,1.31169,1.31169,98,1.30195,1.30195,87,95.0,1.30274,0,-0.0011399999999999189,-10.0,3,1.29593068,50.0,0.0,Sell,win,0.5820657084189068,60.0,0.0013599666084553898,0.0007430905640290081,normal,0,0,100.0,96.0,-0.05945945945945946,,
3,4,Sell loss,1.30143,3,1.30879,2020-01-15 08:00:00,1.30845,1.30845,147,1.30165,1.30165,21,70.0,1.30879,93,-0.007359999999999811,-110.0,3,1.2974476,0.0,0.0,Sell,loss,-1.082352941176456,-110.0,-0.0025288620120945235,-7.489758000187475e-05,loss,0,1,75.0,-14.0,-0.75,,
4,5,Buy loss,1.30879,3,1.30153,2020-01-17 19:00:00,1.30845,1.30845,240,1.30165,1.30165,114,70.0,1.30153,25,-0.007259999999999822,-105.0,3,1.31113,0.0,1.31113,Buy,loss,-1.0676470588235163,-105.0,-0.0024945024738867202,-0.0005588185587788438,loss,0,15,60.0,-119.0,0.3559322033898305,,
5,6,Sell win,1.30153,3,1.2974476,2020-01-17 19:00:00,1.30845,1.30845,265,1.30165,1.30165,139,70.0,1.30222,1,-0.0006899999999998574,-10.0,4,1.2974476,25.0,1.31113,Sell,win,0.6003529411765003,60.0,0.0014026937877955614,-0.0002318998343497763,same_hi,7,16,66.66666666666667,-59.0,-0.3118811881188119,,
6,7,Buy win,1.30133,4,1.3017386799999997,2020-01-21 03:30:00,1.30096,1.30096,12,1.29698,1.2997,37,40.0,1.30041,0,-0.0009200000000000319,-25.0,4,1.3017386799999997,3.0,0.0,Buy,win,0.10268341708533144,10.0,0.0002399145259003071,-0.00016449778288547866,swap_TP,1,0,71.42857142857143,-49.0,-0.5102040816326531,,
7,8,Buy win,1.30891,4,1.3095624399999999,2020-01-22 11:00:00,1.30735,1.30735,43,1.30377,1.30377,15,35.0,1.30597,0,-0.0029399999999999427,-80.0,4,1.3095624399999999,1.0,0.0,Buy,win,0.18224581005583257,20.0,0.0004258079674201696,-9.070956409727262e-05,normal,0,1,75.0,-29.0,0.4827586206896552,,
8,9,Buy win,1.31504,4,1.3172883,2020-01-24 09:00:00,1.3146,1.3146,66,1.31025,1.31025,30,45.0,1.30846,0,-0.00658000000000003,-150.0,4,1.3172883,1.0,0.0,Buy,win,0.5168505747126303,50.0,0.0012075948007304446,5.3546476439140404e-05,normal,0,0,77.77777777777777,21.0,0.375,,
9,10,Sell win,1.30519,5,1.30465874,2020-01-27 17:00:00,1.30954,1.30639,15,1.30532,1.30532,28,40.0,1.30652,16,-0.0013299999999998313,-30.0,5,1.30465874,27.0,1.30464,Sell,win,0.12589099526067468,15.0,0.0002941378393940997,7.760561273463633e-05,same_hi,0,3,80.0,36.0,0.3023255813953488,,
10,11,Sell loss,1.29815,5,1.30272,2020-01-30 11:00:00,1.30243,1.30243,14,1.299,1.29815,37,35.0,1.30272,6,-0.004570000000000185,-135.0,5,1.29688026,6.0,0.0,Sell,loss,-1.3323615160350222,-135.0,-0.0031129941963435096,-0.00021244891536337693,loss,0,0,72.72727272727273,-99.0,0.45098039215686275,,
11,12,Buy win,1.30272,5,1.30454974,2020-01-30 11:00:00,1.30243,1.30243,14,1.299,1.299,37,35.0,1.30082,0,-0.0019000000000000128,-55.0,5,1.30454974,1.0,0.0,Buy,win,0.5334518950436672,55.0,0.0012463829323450168,-9.08795947210108e-05,normal,2,3,75.0,-44.0,-0.45098039215686275,,
12,13,Buy win,1.31143,5,1.3120832,2020-01-31 11:00:00,1.3106,1.3106,37,1.3082,1.3082,32,25.0,1.31005,0,-0.0013800000000001589,-60.0,5,1.3120832,1.0,0.0,Buy,win,0.2721666666666337,25.0,0.0006359034267912002,-3.4973208450840714e-05,normal,8,1,76.92307692307692,-19.0,0.07246376811594203,,
