,time,open,high,low,close,EMA90,EMA75,EMA60,EMA45,EMA,ParabolicSAR,loop,step,open_price,Max_bar,Max_TP,Long_ba,close_price,DD_bar,DD_point,status,Index,TotalDD_bar,side,result,profit,prob,results
0,2015-03-09T12:00:00+07:00,120.946,121.072,120.723,120.736,119.5127278,119.6209882,119.749104,119.9053788,120.10854270000002,120.181752,3,2,118.531,43,116.87299999999999,188,120.736,184,121.28399999999999,Sell,1,188,Sell,loss,-2.2049999999999983,-1.8602728400165343,Sellloss
1,2015-04-06T04:00:00+07:00,118.845,119.06200000000001,118.79799999999999,119.03,119.83481409999999,119.78904909999999,119.7211975,119.6358247,119.54498819999999,119.9365011,3,1,120.736,5,122.024,118,119.03,78,118.33,Buy,2,118,Buy,loss,-1.706000000000003,-1.4130002650410838,Buyloss
2,2015-05-21T08:00:00+07:00,121.074,121.209,121.02600000000001,121.045,119.91667959999998,119.9689504,120.04256229999999,120.1517831,120.3345225,120.912,3,2,119.03,111,118.49600000000001,200,121.045,198,121.485,Sell,3,200,Sell,loss,-2.0150000000000006,-1.6928505418801987,Sellloss
3,2015-07-08T00:00:00+07:00,122.275,122.652,122.215,122.522,123.0247193,122.9885741,122.9281176,122.84600659999998,122.7457753,122.81866000000001,3,1,121.045,69,125.85600000000001,202,122.522,7,120.64,Buy,4,202,Buy,win,1.4770000000000039,1.2202073608988424,Buywin
4,2015-07-20T08:00:00+07:00,124.10600000000001,124.194,124.103,124.141,123.1820496,123.228711,123.30555149999999,123.4399424,123.6666422,123.7155029,3,2,122.522,7,120.413,51,124.141,44,124.23100000000001,Sell,5,51,Sell,loss,-1.6189999999999998,-1.3213953412448374,Sellloss
5,2015-08-24T16:00:00+07:00,120.685,120.715,119.54,119.639,123.74396370000001,123.6728277,123.54868190000002,123.333122,122.9425163,121.87737879999999,3,1,124.141,102,125.28,152,119.639,0,119.54,Buy,6,152,Buy,loss,-4.5020000000000095,-3.6265214554418037,Buyloss
6,2015-10-30T08:00:00+07:00,120.899,121.486,120.29299999999999,121.31299999999999,120.2957524,120.3499915,120.4303365,120.54325130000001,120.6898997,120.15246869999999,3,2,119.639,2,116.08200000000001,293,121.31299999999999,27,121.738,Sell,7,293,Sell,loss,-1.6739999999999924,-1.3992092879412168,Sellloss
7,2015-12-23T09:00:00+07:00,121.00399999999999,121.04799999999999,120.977,121.01799999999999,121.8560355,121.7733981,121.6679222,121.54197140000001,121.397038,121.6693925,3,1,121.31299999999999,82,123.756,228,121.01799999999999,6,120.256,Buy,8,228,Buy,loss,-0.2950000000000017,-0.24317261958734987,Buyloss
8,2016-02-01T05:00:00+07:00,121.324,121.48700000000001,121.102,121.277,118.65605579999999,118.65683130000001,118.7282369,118.90978700000001,119.2654749,119.282624,3,2,121.01799999999999,110,115.97,156,121.277,154,121.68799999999999,Sell,9,156,Sell,loss,-0.25900000000001455,-0.2140177494257173,Sellloss
9,2016-02-10T21:00:00+07:00,114.851,115.197,113.726,114.14399999999999,117.5795057,117.3849989,117.1281493,116.7464373,116.13169640000001,115.61570719999999,3,1,121.277,0,121.48700000000001,46,114.14399999999999,0,113.726,Buy,10,46,Buy,loss,-7.13300000000001,-5.881576885971792,Buyloss
