time,open,high,low,close,%K,%D,,,,,,
2007-04-01T21:00:00Z,0.809,0.8181,0.8082,0.8169,67.45789924,55.53050199,,,,,,
2007-04-02T21:00:00Z,0.8169,0.8173,0.8114,0.813,73.06978736,62.62204066,,,,,,
2007-04-03T21:00:00Z,0.813,0.8194,0.8063,0.819,84.40765584,74.97844748,,,,,,
2007-04-04T21:00:00Z,0.819,0.821,0.8165,0.8198,84.59047955,80.68930758,,,,,,
2007-04-05T21:00:00Z,0.8198,0.8201,0.8152,0.8158,84.68720822,84.5617812,,,,,,
2007-04-08T21:00:00Z,0.8158,0.8175,0.8151,0.8165,75.39015606,81.55594794,,,,,,
2007-04-09T21:00:00Z,0.8165,0.8266,0.8158,0.8266,78.00453515,79.36063314,,,,,,
2007-04-10T21:00:00Z,0.8266,0.8266,0.8234,0.8243,83.1292517,78.8413143,,,,,,
2007-04-11T21:00:00Z,0.8243,0.8295,0.8232,0.8288,91.71296296,84.28224994,,,,,,
2007-04-12T21:00:00Z,0.8288,0.8338,0.8286,0.833,90.28693801,88.37638422,,,,,,
2007-04-15T21:00:00Z,0.8335,0.8358,0.8313,0.8326,91.62027134,91.2067241,,,,,,
2007-04-16T21:00:00Z,0.8326,0.8385,0.8315,0.837,89.97266786,90.62662573,,,,,,
2007-04-17T21:00:00Z,0.837,0.8388,0.8315,0.838,89.6892911,90.4274101,,,,,,
2007-04-18T21:00:00Z,0.838,0.8392,0.8282,0.8355,83.81050322,87.82415406,,,,,,
2007-04-19T21:00:00Z,0.8355,0.8379,0.8339,0.8375,81.92696193,85.14225208,,,,,,
2007-04-22T21:00:00Z,0.8375,0.8378,0.8316,0.832,61.81818182,75.85188232,,,,,,
2007-04-23T21:00:00Z,0.832,0.834,0.8234,0.8276,48.55772919,64.10095765,,,,,,
2007-04-24T21:00:00Z,0.8276,0.8348,0.8272,0.8332,41.05101649,50.4756425,,,,,,
2007-04-25T21:00:00Z,0.8332,0.8358,0.8249,0.8263,36.20253165,41.93709244,,,,,,
2007-04-26T21:00:00Z,0.8263,0.8338,0.824,0.8301,42.85103141,40.03485985,,,,,,
2007-04-29T21:00:00Z,0.8301,0.833,0.8257,0.83,39.91786141,39.65714149,,,,,,
2007-04-30T21:00:00Z,0.83,0.8327,0.8272,0.8274,42.85571452,41.87486911,,,,,,
2007-05-01T21:00:00Z,0.8274,0.8282,0.8219,0.8248,34.30089171,39.02482255,,,,,,
2007-05-02T21:00:00Z,0.8248,0.8258,0.8223,0.8238,21.88108508,33.01256377,,,,,,
2007-05-03T21:00:00Z,0.8238,0.8242,0.817,0.8214,21.44323197,25.87506958,,,,,,
2007-05-06T21:00:00Z,0.8214,0.8265,0.8204,0.8246,30.62467662,24.64966456,,,,,,
2007-05-07T21:00:00Z,0.8246,0.8309,0.824,0.8289,53.83971803,35.30254221,,,,,,
2007-05-08T21:00:00Z,0.8289,0.8306,0.8265,0.8276,70.09271564,51.51903676,,,,,,
2007-05-09T21:00:00Z,0.8276,0.8335,0.8262,0.8268,73.75481433,65.89574933,,,,,,
2007-05-10T21:00:00Z,0.8268,0.8328,0.823,0.8316,73.7163718,72.52130059,,,,,,
2007-05-13T21:00:00Z,0.8316,0.8352,0.8311,0.8321,73.16009551,73.54376055,,,,,,
2007-05-14T21:00:00Z,0.8321,0.8348,0.8303,0.8338,82.87031243,76.58225992,,,,,,
2007-05-15T21:00:00Z,0.8338,0.8342,0.8235,0.8242,57.65027322,71.22689372,,,,,,
2007-05-16T21:00:00Z,0.8242,0.8269,0.8203,0.8236,40.16943558,60.23000708,,,,,,
2007-05-17T21:00:00Z,0.8236,0.8258,0.8206,0.8237,18.26750284,38.69573722,,,,,,
2007-05-20T21:00:00Z,0.8237,0.825,0.8181,0.8219,22.57364466,27.00352769,,,,,,
2007-05-21T21:00:00Z,0.8219,0.823,0.8186,0.819,17.05444836,19.29853195,,,,,,
2007-05-22T21:00:00Z,0.819,0.8267,0.8187,0.8236,30.28151771,23.30320358,,,,,,
2007-05-23T21:00:00Z,0.8236,0.8239,0.8181,0.8184,23.85947807,23.73181471,,,,,,
2007-05-24T21:00:00Z,0.8184,0.8218,0.8175,0.8184,25.2569936,26.46599646,,,,,,
2007-05-27T21:00:00Z,0.8184,0.8199,0.8179,0.8195,11.67003707,20.26216958,,,,,,
2007-05-28T21:00:00Z,0.8195,0.8211,0.8162,0.8187,18.44375431,18.45692833,,,,,,
2007-05-29T21:00:00Z,0.8187,0.8236,0.8171,0.8234,46.35171592,25.48850243,,,,,,
2007-05-30T21:00:00Z,0.8234,0.8292,0.8217,0.8278,68.84892885,44.54813303,,,,,,
2007-05-31T21:00:00Z,0.8278,0.8329,0.8269,0.8321,92.64894786,69.28319754,,,,,,
2007-06-03T21:00:00Z,0.8321,0.8347,0.831,0.8342,93.91254912,85.13680861,,,,,,
2007-06-04T21:00:00Z,0.8342,0.8407,0.8337,0.8371,92.41754695,92.99301464,,,,,,
2007-06-05T21:00:00Z,0.8371,0.8439,0.8366,0.8408,89.35969868,91.89659825,,,,,,
2007-06-06T21:00:00Z,0.8408,0.8476,0.84,0.8406,78.98845788,86.92190117,,,,,,
2007-06-07T21:00:00Z,0.8406,0.8449,0.8366,0.8439,76.64348476,81.66388044,,,,,,
2007-06-10T21:00:00Z,0.8439,0.8446,0.8393,0.8436,71.70581328,75.77925197,,,,,,
2007-06-11T21:00:00Z,0.8436,0.8446,0.84,0.84,59.94765196,69.43231667,,,,,,
2007-06-12T21:00:00Z,0.84,0.8426,0.8359,0.8405,47.1494506,59.60097195,,,,,,
2007-06-13T21:00:00Z,0.8405,0.8409,0.8332,0.8356,30.24605025,45.78105093,,,,,,
